,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss
361,1024,65,128,0.5,512,0.01,adam,15,0.05,0.4526,0.1651
659,2048,65,8,0.1,2048,0.0005,adam,45,0.05,0.4486,0.1284
371,1024,65,128,0.5,2048,0.0005,adam,45,0.05,0.4385,0.1593
620,2048,65,4,0.5,512,0.01,sgd,15,0.005,0.4381,0.1415
617,2048,65,4,0.5,512,0.01,adam,15,0.05,0.4356,0.185
633,2048,65,4,0.5,2048,0.01,adam,15,0.05,0.4353,0.2221
275,1024,65,8,0.1,2048,0.0005,adam,45,0.05,0.4341,0.1159
413,2048,40,4,0.1,2048,0.01,sgd,15,0.05,0.4338,0.1871
701,2048,65,8,0.5,2048,0.01,sgd,15,0.05,0.4319,0.154
299,1024,65,8,0.5,512,0.01,adam,45,0.05,0.4318,0.238
51,1024,40,4,0.5,2048,0.0005,adam,45,0.05,0.4293,0.1169
307,1024,65,8,0.5,2048,0.0005,adam,45,0.05,0.429,0.1172
747,2048,65,128,0.5,512,0.01,adam,45,0.05,0.4289,0.217
179,1024,40,128,0.5,2048,0.0005,adam,45,0.05,0.4241,0.1691
691,2048,65,8,0.5,2048,0.0005,adam,45,0.05,0.4238,0.0956
379,1024,65,128,0.5,2048,0.01,adam,45,0.05,0.4236,0.1261
163,1024,40,128,0.5,512,0.0005,adam,45,0.05,0.4229,0.1752
690,2048,65,8,0.5,2048,0.0005,adam,45,0.005,0.4216,0.1221
283,1024,65,8,0.1,2048,0.01,adam,45,0.05,0.4202,0.2073
269,1024,65,8,0.1,512,0.01,sgd,15,0.05,0.4157,0.1443
618,2048,65,4,0.5,512,0.01,adam,45,0.005,0.4157,0.1399
385,2048,40,4,0.1,512,0.0005,adam,15,0.05,0.4138,0.1213
547,2048,40,128,0.5,512,0.0005,adam,45,0.05,0.4122,0.1748
386,2048,40,4,0.1,512,0.0005,adam,45,0.005,0.4122,0.1451
306,1024,65,8,0.5,2048,0.0005,adam,45,0.005,0.4112,0.1239
