,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss
508,256,35,32,0.25,2560,0.025,sgd,15,0.05,0.4912,0.1791
657,256,55,32,0.1,2560,0.01,adam,15,0.075,0.475,0.1683
327,128,55,64,0.1,1024,0.01,sgd,45,0.075,0.4693,0.1301
712,256,55,64,0.1,1024,0.025,adam,15,0.05,0.4593,0.1474
606,256,55,8,0.1,2560,0.025,sgd,45,0.05,0.4538,0.1352
597,256,55,8,0.1,2560,0.01,sgd,15,0.075,0.4462,0.1731
283,128,55,32,0.1,2560,0.025,adam,45,0.075,0.4456,0.1582
609,256,55,8,0.25,1024,0.01,adam,15,0.075,0.4448,0.1841
671,256,55,32,0.1,2560,0.025,sgd,45,0.075,0.4447,0.1354
640,256,55,32,0.1,1024,0.01,adam,15,0.05,0.442,0.1866
282,128,55,32,0.1,2560,0.025,adam,45,0.05,0.441,0.1399
404,256,35,8,0.1,2560,0.01,sgd,15,0.05,0.4408,0.2013
736,256,55,64,0.25,1024,0.01,adam,15,0.05,0.4408,0.1398
190,128,35,64,0.25,2560,0.025,sgd,45,0.05,0.4401,0.1759
55,128,35,8,0.25,2560,0.01,sgd,45,0.075,0.44,0.1941
258,128,55,32,0.1,1024,0.01,adam,45,0.05,0.4395,0.1557
701,256,55,32,0.25,2560,0.025,sgd,15,0.075,0.4385,0.1338
705,256,55,64,0.1,1024,0.01,adam,15,0.075,0.4355,0.1882
582,256,55,8,0.1,1024,0.01,sgd,45,0.05,0.4347,0.1464
2,128,35,8,0.1,1024,0.01,adam,45,0.05,0.4345,0.1762
599,256,55,8,0.1,2560,0.01,sgd,45,0.075,0.4339,0.165
322,128,55,64,0.1,1024,0.01,adam,45,0.05,0.4326,0.1744
398,256,35,8,0.1,1024,0.025,sgd,45,0.05,0.4317,0.179
733,256,55,64,0.1,2560,0.025,sgd,15,0.075,0.4311,0.1296
764,256,55,64,0.25,2560,0.025,sgd,15,0.05,0.4298,0.1098
66,128,35,32,0.1,1024,0.01,adam,45,0.05,0.4291,0.1844
206,128,55,8,0.1,1024,0.025,sgd,45,0.05,0.4277,0.1291
122,128,35,32,0.25,2560,0.025,adam,45,0.05,0.4263,0.1456
107,128,35,32,0.25,1024,0.025,adam,45,0.075,0.4253,0.1959
402,256,35,8,0.1,2560,0.01,adam,45,0.05,0.4244,0.1969
294,128,55,32,0.25,1024,0.01,sgd,45,0.05,0.4242,0.1349
622,256,55,8,0.25,1024,0.025,sgd,45,0.05,0.4237,0.1597
22,128,35,8,0.1,2560,0.01,sgd,45,0.05,0.4232,0.1599
163,128,35,64,0.25,1024,0.01,adam,45,0.075,0.4228,0.2046
598,256,55,8,0.1,2560,0.01,sgd,45,0.05,0.4227,0.1635
543,256,35,64,0.1,2560,0.025,sgd,45,0.075,0.4227,0.1592
741,256,55,64,0.25,1024,0.01,sgd,15,0.075,0.4225,0.1957
400,256,35,8,0.1,2560,0.01,adam,15,0.05,0.4221,0.224
278,128,55,32,0.1,2560,0.01,sgd,45,0.05,0.422,0.1613
430,256,35,8,0.25,1024,0.025,sgd,45,0.05,0.422,0.1476
358,128,55,64,0.25,1024,0.01,sgd,45,0.05,0.4215,0.1555
418,256,35,8,0.25,1024,0.01,adam,45,0.05,0.4209,0.2234
653,256,55,32,0.1,1024,0.025,sgd,15,0.075,0.4206,0.1498
379,128,55,64,0.25,2560,0.025,adam,45,0.075,0.4205,0.1146
370,128,55,64,0.25,2560,0.01,adam,45,0.05,0.42,0.1158
403,256,35,8,0.1,2560,0.01,adam,45,0.075,0.4198,0.1743
686,256,55,32,0.25,1024,0.025,sgd,45,0.05,0.4194,0.1666
375,128,55,64,0.25,2560,0.01,sgd,45,0.075,0.4192,0.1206
495,256,35,32,0.25,1024,0.025,sgd,45,0.075,0.4187,0.1966
415,256,35,8,0.1,2560,0.025,sgd,45,0.075,0.4185,0.1773
666,256,55,32,0.1,2560,0.025,adam,45,0.05,0.4181,0.1233
34,128,35,8,0.25,1024,0.01,adam,45,0.05,0.418,0.1641
74,128,35,32,0.1,1024,0.025,adam,45,0.05,0.4175,0.1168
42,128,35,8,0.25,1024,0.025,adam,45,0.05,0.4174,0.1542
175,128,35,64,0.25,1024,0.025,sgd,45,0.075,0.4172,0.1771
167,128,35,64,0.25,1024,0.01,sgd,45,0.075,0.4168,0.1893
526,256,35,64,0.1,1024,0.025,sgd,45,0.05,0.4166,0.1627
342,128,55,64,0.1,2560,0.01,sgd,45,0.05,0.4166,0.1626
673,256,55,32,0.25,1024,0.01,adam,15,0.075,0.416,0.1501
39,128,35,8,0.25,1024,0.01,sgd,45,0.075,0.4159,0.1556
98,128,35,32,0.25,1024,0.01,adam,45,0.05,0.4158,0.1786
655,256,55,32,0.1,1024,0.025,sgd,45,0.075,0.4155,0.1536
470,256,35,32,0.1,2560,0.01,sgd,45,0.05,0.4154,0.219
575,256,35,64,0.25,2560,0.025,sgd,45,0.075,0.4154,0.1717
510,256,35,32,0.25,2560,0.025,sgd,45,0.05,0.4148,0.1762
214,128,55,8,0.1,2560,0.01,sgd,45,0.05,0.4148,0.1643
38,128,35,8,0.25,1024,0.01,sgd,45,0.05,0.4145,0.1685
535,256,35,64,0.1,2560,0.01,sgd,45,0.075,0.4141,0.1703
446,256,35,8,0.25,2560,0.025,sgd,45,0.05,0.4132,0.1861
654,256,55,32,0.1,1024,0.025,sgd,45,0.05,0.4131,0.176
463,256,35,32,0.1,1024,0.025,sgd,45,0.075,0.413,0.188
230,128,55,8,0.25,1024,0.01,sgd,45,0.05,0.413,0.1653
728,256,55,64,0.1,2560,0.025,adam,15,0.05,0.4129,0.129
287,128,55,32,0.1,2560,0.025,sgd,45,0.075,0.4125,0.1419
455,256,35,32,0.1,1024,0.01,sgd,45,0.075,0.412,0.1845
604,256,55,8,0.1,2560,0.025,sgd,15,0.05,0.4119,0.1471
747,256,55,64,0.25,1024,0.025,adam,45,0.075,0.4116,0.1351
623,256,55,8,0.25,1024,0.025,sgd,45,0.075,0.4115,0.1532
227,128,55,8,0.25,1024,0.01,adam,45,0.075,0.4115,0.1435
218,128,55,8,0.1,2560,0.025,adam,45,0.05,0.4114,0.1255
387,256,35,8,0.1,1024,0.01,adam,45,0.075,0.4111,0.1742
423,256,35,8,0.25,1024,0.01,sgd,45,0.075,0.4109,0.1851
759,256,55,64,0.25,2560,0.01,sgd,45,0.075,0.4109,0.1408
439,256,35,8,0.25,2560,0.01,sgd,45,0.075,0.4108,0.192
637,256,55,8,0.25,2560,0.025,sgd,15,0.075,0.4103,0.1403
574,256,35,64,0.25,2560,0.025,sgd,45,0.05,0.4102,0.1784
391,256,35,8,0.1,1024,0.01,sgd,45,0.075,0.41,0.169
306,128,55,32,0.25,2560,0.01,adam,45,0.05,0.4097,0.1468
755,256,55,64,0.25,2560,0.01,adam,45,0.075,0.4095,0.1752
274,128,55,32,0.1,2560,0.01,adam,45,0.05,0.4092,0.153
511,256,35,32,0.25,2560,0.025,sgd,45,0.075,0.4085,0.1532
54,128,35,8,0.25,2560,0.01,sgd,45,0.05,0.4082,0.1338
639,256,55,8,0.25,2560,0.025,sgd,45,0.075,0.4081,0.1352
658,256,55,32,0.1,2560,0.01,adam,45,0.05,0.4079,0.1696
442,256,35,8,0.25,2560,0.025,adam,45,0.05,0.4079,0.1263
527,256,35,64,0.1,1024,0.025,sgd,45,0.075,0.4078,0.1661
323,128,55,64,0.1,1024,0.01,adam,45,0.075,0.4078,0.1149
416,256,35,8,0.25,1024,0.01,adam,15,0.05,0.4076,0.2
330,128,55,64,0.1,1024,0.025,adam,45,0.05,0.4074,0.102
494,256,35,32,0.25,1024,0.025,sgd,45,0.05,0.4071,0.1646
580,256,55,8,0.1,1024,0.01,sgd,15,0.05,0.407,0.1519
71,128,35,32,0.1,1024,0.01,sgd,45,0.075,0.4068,0.1807
566,256,35,64,0.25,2560,0.01,sgd,45,0.05,0.4064,0.1851
219,128,55,8,0.1,2560,0.025,adam,45,0.075,0.4063,0.1642
203,128,55,8,0.1,1024,0.025,adam,45,0.075,0.4062,0.123
142,128,35,64,0.1,1024,0.025,sgd,45,0.05,0.406,0.1746
558,256,35,64,0.25,1024,0.025,sgd,45,0.05,0.4056,0.2179
247,128,55,8,0.25,2560,0.01,sgd,45,0.075,0.4056,0.1448
410,256,35,8,0.1,2560,0.025,adam,45,0.05,0.4053,0.1442
719,256,55,64,0.1,1024,0.025,sgd,45,0.075,0.4052,0.1433
279,128,55,32,0.1,2560,0.01,sgd,45,0.075,0.4051,0.1431
486,256,35,32,0.25,1024,0.01,sgd,45,0.05,0.4049,0.1813
766,256,55,64,0.25,2560,0.025,sgd,45,0.05,0.4049,0.1765
300,128,55,32,0.25,1024,0.025,sgd,15,0.05,0.4048,0.1245
450,256,35,32,0.1,1024,0.01,adam,45,0.05,0.4047,0.1809
551,256,35,64,0.25,1024,0.01,sgd,45,0.075,0.4047,0.1683
756,256,55,64,0.25,2560,0.01,sgd,15,0.05,0.4046,0.143
674,256,55,32,0.25,1024,0.01,adam,45,0.05,0.4044,0.1693
579,256,55,8,0.1,1024,0.01,adam,45,0.075,0.4043,0.1515
502,256,35,32,0.25,2560,0.01,sgd,45,0.05,0.4034,0.1886
642,256,55,32,0.1,1024,0.01,adam,45,0.05,0.4033,0.1782
174,128,35,64,0.25,1024,0.025,sgd,45,0.05,0.4032,0.1514
235,128,55,8,0.25,1024,0.025,adam,45,0.075,0.4032,0.1435
479,256,35,32,0.1,2560,0.025,sgd,45,0.075,0.4031,0.1805
215,128,55,8,0.1,2560,0.01,sgd,45,0.075,0.4028,0.1894
630,256,55,8,0.25,2560,0.01,sgd,45,0.05,0.4028,0.1485
670,256,55,32,0.1,2560,0.025,sgd,45,0.05,0.4028,0.1472
118,128,35,32,0.25,2560,0.01,sgd,45,0.05,0.4026,0.1692
540,256,35,64,0.1,2560,0.025,sgd,15,0.05,0.4023,0.1548
684,256,55,32,0.25,1024,0.025,sgd,15,0.05,0.4019,0.1609
314,128,55,32,0.25,2560,0.025,adam,45,0.05,0.4015,0.1267
