,batch_size,bce_pos_class_weight,dropout_p,hidden_layer_size,input_layer_norm,lr,num_layers,optimizer_type,sequence_length,weight_decay,tss,hss
19,128,30,0.1,2,False,0.005,1,adam,45,0.01,0.5257,0.2111
51,128,30,0.1,4,False,0.005,1,adam,45,0.01,0.5012,0.2458
467,256,30,0.1,12,False,0.005,1,adam,45,0.01,0.495,0.2319
147,128,30,0.5,4,False,0.005,1,adam,45,0.01,0.4932,0.2424
313,128,50,0.5,2,False,0.01,1,adam,40,0.01,0.4887,0.1917
635,256,50,0.1,4,False,0.01,1,adam,45,0.01,0.4869,0.2091
595,256,50,0.1,2,False,0.005,1,adam,45,0.01,0.4826,0.1474
433,256,30,0.1,4,False,0.005,1,adam,40,0.01,0.4824,0.2937
209,128,50,0.1,2,False,0.005,1,adam,40,0.01,0.4736,0.185
123,128,30,0.5,2,False,0.01,1,adam,45,0.01,0.4732,0.2411
339,128,50,0.5,4,False,0.005,1,adam,45,0.01,0.4709,0.1895
145,128,30,0.5,4,False,0.005,1,adam,40,0.01,0.47,0.2242
753,256,50,0.5,12,False,0.005,1,adam,40,0.01,0.4691,0.1935
625,256,50,0.1,4,False,0.005,1,adam,40,0.01,0.4661,0.1972
208,128,50,0.1,2,False,0.005,1,adam,40,0.001,0.4637,0.1639
219,128,50,0.1,2,False,0.01,1,adam,45,0.01,0.4636,0.1678
306,128,50,0.5,2,False,0.005,1,adam,45,0.001,0.4622,0.1612
659,256,50,0.1,12,False,0.005,1,adam,45,0.01,0.4599,0.1844
728,256,50,0.5,4,False,0.01,1,adam,40,0.001,0.4588,0.2073
627,256,50,0.1,4,False,0.005,1,adam,45,0.01,0.4568,0.1513
757,256,50,0.5,12,False,0.005,2,adam,40,0.01,0.4562,0.2001
155,128,30,0.5,4,False,0.01,1,adam,45,0.01,0.4552,0.2241
328,128,50,0.5,4,True,0.01,1,adam,40,0.001,0.4549,0.1746
48,128,30,0.1,4,False,0.005,1,adam,40,0.001,0.4538,0.2162
49,128,30,0.1,4,False,0.005,1,adam,40,0.01,0.4536,0.2465
251,128,50,0.1,4,False,0.01,1,adam,45,0.01,0.4534,0.1998
216,128,50,0.1,2,False,0.01,1,adam,40,0.001,0.4499,0.2088
249,128,50,0.1,4,False,0.01,1,adam,40,0.01,0.4499,0.1857
153,128,30,0.5,4,False,0.01,1,adam,40,0.01,0.4482,0.2111
304,128,50,0.5,2,False,0.005,1,adam,40,0.001,0.448,0.1992
539,256,30,0.5,4,False,0.01,1,adam,45,0.01,0.4474,0.2141
441,256,30,0.1,4,False,0.01,1,adam,40,0.01,0.4473,0.236
469,256,30,0.1,12,False,0.005,2,adam,40,0.01,0.4471,0.2438
639,256,50,0.1,4,False,0.01,2,adam,45,0.01,0.4468,0.1725
729,256,50,0.5,4,False,0.01,1,adam,40,0.01,0.4459,0.2029
755,256,50,0.5,12,False,0.005,1,adam,45,0.01,0.445,0.192
345,128,50,0.5,4,False,0.01,1,adam,40,0.01,0.4449,0.1935
81,128,30,0.1,12,False,0.005,1,adam,40,0.01,0.4431,0.238
315,128,50,0.5,2,False,0.01,1,adam,45,0.01,0.4423,0.1597
761,256,50,0.5,12,False,0.01,1,adam,40,0.01,0.4418,0.2121
658,256,50,0.1,12,False,0.005,1,adam,45,0.001,0.4414,0.1877
59,128,30,0.1,4,False,0.01,1,adam,45,0.01,0.4413,0.195
465,256,30,0.1,12,False,0.005,1,adam,40,0.01,0.4401,0.2417
243,128,50,0.1,4,False,0.005,1,adam,45,0.01,0.4391,0.2026
204,128,50,0.1,2,True,0.01,2,adam,40,0.001,0.439,0.1758
