,batch_size,bce_pos_class_weight,dropout_p,hidden_layer_size,input_layer_norm,lr,num_layers,optimizer_type,sequence_length,weight_decay,tss,hss
1011,1024,75,0.5,8,False,0.01,1,adam,45,0.01,0.4905,0.143
304,256,75,0.1,2,False,0.01,1,adam,15,0.0001,0.4831,0.1651
882,1024,75,0.1,8,False,0.01,1,adam,45,0.0001,0.4806,0.1603
482,256,75,0.5,8,False,0.005,1,adam,45,0.0001,0.476,0.1527
354,256,75,0.1,8,False,0.005,1,adam,45,0.0001,0.4709,0.1393
755,1024,30,0.5,8,False,0.01,1,adam,45,0.01,0.4696,0.2214
355,256,75,0.1,8,False,0.005,1,adam,45,0.01,0.461,0.1587
273,256,75,0.1,2,True,0.01,1,adam,15,0.01,0.4571,0.1298
227,256,30,0.5,8,False,0.005,1,adam,45,0.01,0.4565,0.1985
1010,1024,75,0.5,8,False,0.01,1,adam,45,0.0001,0.456,0.1608
400,256,75,0.5,2,True,0.01,1,adam,15,0.0001,0.4554,0.1225
627,1024,30,0.1,8,False,0.01,1,adam,45,0.01,0.4519,0.2118
865,1024,75,0.1,8,False,0.005,1,adam,15,0.01,0.4458,0.1652
689,1024,30,0.5,2,False,0.01,1,adam,15,0.01,0.4361,0.2211
883,1024,75,0.1,8,False,0.01,1,adam,45,0.01,0.4355,0.1412
416,256,75,0.5,2,False,0.005,1,adam,15,0.0001,0.4354,0.1238
419,256,75,0.5,2,False,0.005,1,adam,45,0.01,0.4353,0.1365
373,256,75,0.1,8,False,0.01,1,sgd,15,0.01,0.4325,0.1543
115,256,30,0.1,8,False,0.01,1,adam,45,0.01,0.4321,0.2185
502,256,75,0.5,8,False,0.01,1,sgd,45,0.0001,0.4304,0.1064
256,256,75,0.1,2,True,0.005,1,adam,15,0.0001,0.4302,0.1098
881,1024,75,0.1,8,False,0.01,1,adam,15,0.01,0.4276,0.1698
33,256,30,0.1,2,False,0.005,1,adam,15,0.01,0.4268,0.2349
753,1024,30,0.5,8,False,0.01,1,adam,15,0.01,0.4264,0.2187
912,1024,75,0.5,2,True,0.01,1,adam,15,0.0001,0.4263,0.1367
498,256,75,0.5,8,False,0.01,1,adam,45,0.0001,0.4259,0.1373
404,256,75,0.5,2,True,0.01,1,sgd,15,0.0001,0.4256,0.1155
512,1024,30,0.1,2,True,0.005,1,adam,15,0.0001,0.4245,0.1717
993,1024,75,0.5,8,False,0.005,1,adam,15,0.01,0.4238,0.1511
433,256,75,0.5,2,False,0.01,1,adam,15,0.01,0.4208,0.1053
306,256,75,0.1,2,False,0.01,1,adam,45,0.0001,0.4202,0.1068
626,1024,30,0.1,8,False,0.01,1,adam,45,0.0001,0.4195,0.1999
499,256,75,0.5,8,False,0.01,1,adam,45,0.01,0.4192,0.1483
816,1024,75,0.1,2,False,0.01,1,adam,15,0.0001,0.4169,0.1904
995,1024,75,0.5,8,False,0.005,1,adam,45,0.01,0.4167,0.1517
817,1024,75,0.1,2,False,0.01,1,adam,15,0.01,0.4161,0.1337
370,256,75,0.1,8,False,0.01,1,adam,45,0.0001,0.4157,0.1383
376,256,75,0.1,8,False,0.01,4,adam,15,0.0001,0.4134,0.1664
481,256,75,0.5,8,False,0.005,1,adam,15,0.01,0.4131,0.1426
453,256,75,0.5,8,True,0.005,1,sgd,15,0.01,0.4108,0.1074
688,1024,30,0.5,2,False,0.01,1,adam,15,0.0001,0.4081,0.1924
467,256,75,0.5,8,True,0.01,1,adam,45,0.01,0.4078,0.1361
401,256,75,0.5,2,True,0.01,1,adam,15,0.01,0.4066,0.1048
288,256,75,0.1,2,False,0.005,1,adam,15,0.0001,0.4063,0.1028
450,256,75,0.5,8,True,0.005,1,adam,45,0.0001,0.4062,0.1219
739,1024,30,0.5,8,False,0.005,1,adam,45,0.01,0.4055,0.206
97,256,30,0.1,8,False,0.005,1,adam,15,0.01,0.4049,0.1933
117,256,30,0.1,8,False,0.01,1,sgd,15,0.01,0.4044,0.1697
484,256,75,0.5,8,False,0.005,1,sgd,15,0.0001,0.4041,0.1265
309,256,75,0.1,2,False,0.01,1,sgd,15,0.01,0.4037,0.0958
485,256,75,0.5,8,False,0.005,1,sgd,15,0.01,0.4035,0.1107
289,256,75,0.1,2,False,0.005,1,adam,15,0.01,0.4023,0.1299
320,256,75,0.1,8,True,0.005,1,adam,15,0.0001,0.4014,0.1443
50,256,30,0.1,2,False,0.01,1,adam,45,0.0001,0.4013,0.1887
243,256,30,0.5,8,False,0.01,1,adam,45,0.01,0.4012,0.1758
483,256,75,0.5,8,False,0.005,1,adam,45,0.01,0.4012,0.1561
321,256,75,0.1,8,True,0.005,1,adam,15,0.01,0.3997,0.1264
992,1024,75,0.5,8,False,0.005,1,adam,15,0.0001,0.3996,0.1388
1008,1024,75,0.5,8,False,0.01,1,adam,15,0.0001,0.3989,0.1485
163,256,30,0.5,2,False,0.005,1,adam,45,0.01,0.3987,0.153
52,256,30,0.1,2,False,0.01,1,sgd,15,0.0001,0.3986,0.1818
452,256,75,0.5,8,True,0.005,1,sgd,15,0.0001,0.3974,0.1054
1014,1024,75,0.5,8,False,0.01,1,sgd,45,0.0001,0.3969,0.0732
819,1024,75,0.1,2,False,0.01,1,adam,45,0.01,0.3964,0.0991
625,1024,30,0.1,8,False,0.01,1,adam,15,0.01,0.3958,0.1995
372,256,75,0.1,8,False,0.01,1,sgd,15,0.0001,0.3943,0.1266
179,256,30,0.5,2,False,0.01,1,adam,45,0.01,0.3936,0.1703
874,1024,75,0.1,8,False,0.005,4,adam,45,0.0001,0.3935,0.1391
976,1024,75,0.5,8,True,0.01,1,adam,15,0.0001,0.3927,0.1371
468,256,75,0.5,8,True,0.01,1,sgd,15,0.0001,0.3925,0.1167
1018,1024,75,0.5,8,False,0.01,4,adam,45,0.0001,0.392,0.1623
232,256,30,0.5,8,False,0.005,4,adam,15,0.0001,0.3915,0.1723
434,256,75,0.5,2,False,0.01,1,adam,45,0.0001,0.3914,0.1165
213,256,30,0.5,8,True,0.01,1,sgd,15,0.01,0.3903,0.1709
177,256,30,0.5,2,False,0.01,1,adam,15,0.01,0.39,0.1936
611,1024,30,0.1,8,False,0.005,1,adam,45,0.01,0.3894,0.1627
257,256,75,0.1,2,True,0.005,1,adam,15,0.01,0.3891,0.1129
1002,1024,75,0.5,8,False,0.005,4,adam,45,0.0001,0.3889,0.1235
274,256,75,0.1,2,True,0.01,1,adam,45,0.0001,0.3882,0.1116
84,256,30,0.1,8,True,0.01,1,sgd,15,0.0001,0.3876,0.1623
116,256,30,0.1,8,False,0.01,1,sgd,15,0.0001,0.3867,0.1693
469,256,75,0.5,8,True,0.01,1,sgd,15,0.01,0.3864,0.1105
209,256,30,0.5,8,True,0.01,1,adam,15,0.01,0.3857,0.1709
1009,1024,75,0.5,8,False,0.01,1,adam,15,0.01,0.3852,0.1373
752,1024,30,0.5,8,False,0.01,1,adam,15,0.0001,0.3848,0.1865
818,1024,75,0.1,2,False,0.01,1,adam,45,0.0001,0.3848,0.1243
244,256,30,0.5,8,False,0.01,1,sgd,15,0.0001,0.3847,0.1969
609,1024,30,0.1,8,False,0.005,1,adam,15,0.01,0.3846,0.1847
36,256,30,0.1,2,False,0.005,1,sgd,15,0.0001,0.3839,0.1394
225,256,30,0.5,8,False,0.005,1,adam,15,0.01,0.3836,0.1813
465,256,75,0.5,8,True,0.01,1,adam,15,0.01,0.3829,0.1042
98,256,30,0.1,8,False,0.005,1,adam,45,0.0001,0.3825,0.1729
371,256,75,0.1,8,False,0.01,1,adam,45,0.01,0.3824,0.1335
229,256,30,0.5,8,False,0.005,1,sgd,15,0.01,0.3823,0.1659
3,256,30,0.1,2,True,0.005,1,adam,45,0.01,0.3823,0.1586
561,1024,30,0.1,2,False,0.01,1,adam,15,0.01,0.382,0.1988
