,batch_size,bce_pos_class_weight,dropout_p,hidden_layer_size,input_layer_norm,lr,num_layers,optimizer_type,sequence_length,weight_decay,tss,hss
575,256,30,0.5,16,False,0.0075,2,adam,45,0.025,0.4923,0.2395
221,128,30,0.5,2,False,0.005,1,adam,45,0.025,0.4842,0.2376
485,256,30,0.1,16,False,0.005,1,adam,45,0.025,0.4746,0.2309
557,256,30,0.5,16,False,0.005,1,adam,45,0.025,0.4721,0.2518
217,128,30,0.5,2,False,0.005,1,adam,15,0.025,0.4693,0.2437
161,128,30,0.1,2,False,0.0075,1,adam,45,0.025,0.4679,0.2471
569,256,30,0.5,16,False,0.0075,1,adam,45,0.025,0.4674,0.2325
216,128,30,0.5,2,False,0.005,1,adam,15,0.0075,0.4631,0.2517
556,256,30,0.5,16,False,0.005,1,adam,45,0.0075,0.459,0.2416
113,128,15,0.5,4,False,0.0075,1,adam,45,0.025,0.4579,0.2858
255,128,30,0.5,4,False,0.0075,1,adam,30,0.025,0.4535,0.2037
231,128,30,0.5,2,False,0.0075,1,adam,30,0.025,0.4522,0.2274
243,128,30,0.5,4,False,0.005,1,adam,30,0.025,0.4494,0.2238
147,128,30,0.1,2,False,0.005,1,adam,30,0.025,0.449,0.2009
245,128,30,0.5,4,False,0.005,1,adam,45,0.025,0.4477,0.219
497,256,30,0.1,16,False,0.0075,1,adam,45,0.025,0.4462,0.222
146,128,30,0.1,2,False,0.005,1,adam,30,0.0075,0.4426,0.262
185,128,30,0.1,4,False,0.0075,1,adam,45,0.025,0.4424,0.2146
433,256,30,0.1,2,False,0.005,1,adam,15,0.025,0.4417,0.2405
145,128,30,0.1,2,False,0.005,1,adam,15,0.025,0.4385,0.2345
178,128,30,0.1,4,False,0.005,2,adam,45,0.0075,0.4384,0.2279
563,256,30,0.5,16,False,0.005,2,adam,45,0.025,0.4379,0.2228
169,128,30,0.1,4,False,0.005,1,adam,15,0.025,0.437,0.2233
542,256,30,0.5,4,False,0.0075,1,adam,30,0.0075,0.4355,0.1725
519,256,30,0.5,2,False,0.0075,1,adam,30,0.025,0.4353,0.2096
51,128,15,0.1,16,False,0.005,1,adam,30,0.025,0.4346,0.2527
173,128,30,0.1,4,False,0.005,1,adam,45,0.025,0.4325,0.233
472,256,30,0.1,4,False,0.0075,1,adam,45,0.0075,0.4321,0.2359
137,128,15,0.5,16,False,0.0075,1,adam,45,0.025,0.4311,0.2498
504,256,30,0.5,2,False,0.005,1,adam,15,0.0075,0.4287,0.2308
574,256,30,0.5,16,False,0.0075,2,adam,45,0.0075,0.4283,0.2197
59,128,15,0.1,16,False,0.005,2,adam,45,0.025,0.427,0.2713
176,128,30,0.1,4,False,0.005,2,adam,30,0.0075,0.427,0.2109
45,128,15,0.1,4,False,0.0075,2,adam,30,0.025,0.4267,0.2475
125,128,15,0.5,16,False,0.005,1,adam,45,0.025,0.4258,0.2489
253,128,30,0.5,4,False,0.0075,1,adam,15,0.025,0.4254,0.2001
131,128,15,0.5,16,False,0.005,2,adam,45,0.025,0.425,0.2812
172,128,30,0.1,4,False,0.005,1,adam,45,0.0075,0.4246,0.2181
241,128,30,0.5,4,False,0.005,1,adam,15,0.025,0.4242,0.2009
63,128,15,0.1,16,False,0.0075,1,adam,30,0.025,0.4237,0.2496
257,128,30,0.5,4,False,0.0075,1,adam,45,0.025,0.422,0.1942
187,128,30,0.1,4,False,0.0075,2,adam,15,0.025,0.4211,0.1732
517,256,30,0.5,2,False,0.0075,1,adam,15,0.025,0.4209,0.202
490,256,30,0.1,16,False,0.005,2,adam,45,0.0075,0.4205,0.2029
158,128,30,0.1,2,False,0.0075,1,adam,30,0.0075,0.4203,0.1985
430,256,15,0.5,16,False,0.0075,2,adam,45,0.0075,0.42,0.2772
484,256,30,0.1,16,False,0.005,1,adam,45,0.0075,0.4191,0.1951
262,128,30,0.5,4,False,0.0075,2,adam,45,0.0075,0.419,0.2137
65,128,15,0.1,16,False,0.0075,1,adam,45,0.025,0.4181,0.2413
235,128,30,0.5,2,False,0.0075,2,adam,15,0.025,0.4172,0.176
189,128,30,0.1,4,False,0.0075,2,adam,30,0.025,0.4166,0.1875
260,128,30,0.5,4,False,0.0075,2,adam,30,0.0075,0.4165,0.1825
110,128,15,0.5,4,False,0.0075,1,adam,30,0.0075,0.4162,0.2577
516,256,30,0.5,2,False,0.0075,1,adam,15,0.0075,0.4161,0.2072
117,128,15,0.5,4,False,0.0075,2,adam,30,0.025,0.4149,0.2413
157,128,30,0.1,2,False,0.0075,1,adam,15,0.025,0.4148,0.207
85,128,15,0.5,2,False,0.0075,1,adam,15,0.025,0.4142,0.2789
261,128,30,0.5,4,False,0.0075,2,adam,30,0.025,0.4139,0.1926
186,128,30,0.1,4,False,0.0075,2,adam,15,0.0075,0.4138,0.2013
98,128,15,0.5,4,False,0.005,1,adam,30,0.0075,0.4133,0.2669
242,128,30,0.5,4,False,0.005,1,adam,30,0.0075,0.4129,0.2127
353,256,15,0.1,16,False,0.0075,1,adam,45,0.025,0.4122,0.221
506,256,30,0.5,2,False,0.005,1,adam,30,0.0075,0.4114,0.1779
341,256,15,0.1,16,False,0.005,1,adam,45,0.025,0.411,0.2378
