,batch_size,bce_pos_class_weight,dropout_p,hidden_layer_size,input_layer_norm,lr,num_layers,optimizer_type,sequence_length,weight_decay,tss,hss
604,256,35,0.1,4,False,0.01,1,adam,45,0.001,0.4993,0.2375
303,128,65,0.1,2,False,0.025,1,adam,40,0.075,0.4993,0.147
360,128,65,0.3,2,False,0.01,1,adam,15,0.001,0.4934,0.169
389,128,65,0.3,4,False,0.01,1,adam,45,0.075,0.4918,0.1733
617,256,35,0.1,4,False,0.025,1,adam,45,0.075,0.4901,0.2277
736,256,65,0.1,2,False,0.025,1,adam,45,0.001,0.4863,0.1501
615,256,35,0.1,4,False,0.025,1,adam,40,0.075,0.4836,0.2164
357,128,65,0.1,64,False,0.025,2,adam,40,0.075,0.4782,0.1412
185,128,35,0.1,4,False,0.025,1,adam,45,0.075,0.4773,0.2278
377,128,65,0.3,2,False,0.025,1,adam,45,0.075,0.4765,0.1385
603,256,35,0.1,4,False,0.01,1,adam,40,0.075,0.4762,0.2662
749,256,65,0.1,4,False,0.01,1,adam,45,0.075,0.4752,0.2244
171,128,35,0.1,4,False,0.01,1,adam,40,0.075,0.4749,0.2287
217,128,35,0.3,2,False,0.01,1,adam,15,0.075,0.4741,0.2221
639,256,35,0.1,64,False,0.025,1,adam,40,0.075,0.4737,0.2287
689,256,35,0.3,4,False,0.025,1,adam,45,0.075,0.4736,0.2312
374,128,65,0.3,2,False,0.025,1,adam,40,0.001,0.4734,0.1638
686,256,35,0.3,4,False,0.025,1,adam,40,0.001,0.4731,0.2078
742,256,65,0.1,2,False,0.025,2,adam,45,0.001,0.4718,0.1649
809,256,65,0.3,2,False,0.025,1,adam,45,0.075,0.4698,0.2057
819,256,65,0.3,4,False,0.01,1,adam,40,0.075,0.4693,0.2238
243,128,35,0.3,4,False,0.01,1,adam,40,0.075,0.4689,0.2454
677,256,35,0.3,4,False,0.01,1,adam,45,0.075,0.4678,0.2402
257,128,35,0.3,4,False,0.025,1,adam,45,0.075,0.4675,0.2177
713,256,35,0.3,64,False,0.025,1,adam,45,0.075,0.4672,0.2513
293,128,65,0.1,2,False,0.01,1,adam,45,0.075,0.466,0.2033
771,256,65,0.1,64,False,0.01,1,adam,40,0.075,0.465,0.1936
173,128,35,0.1,4,False,0.01,1,adam,45,0.075,0.4643,0.2077
245,128,35,0.3,4,False,0.01,1,adam,45,0.075,0.4642,0.2147
255,128,35,0.3,4,False,0.025,1,adam,40,0.075,0.4639,0.2118
241,128,35,0.3,4,False,0.01,1,adam,15,0.075,0.4638,0.2243
317,128,65,0.1,4,False,0.01,1,adam,45,0.075,0.4633,0.155
316,128,65,0.1,4,False,0.01,1,adam,45,0.001,0.463,0.1549
831,256,65,0.3,4,False,0.025,1,adam,40,0.075,0.4626,0.1429
664,256,35,0.3,2,False,0.025,1,adam,45,0.001,0.4622,0.1755
183,128,35,0.1,4,False,0.025,1,adam,40,0.075,0.4621,0.2036
164,128,35,0.1,2,False,0.025,2,adam,40,0.001,0.462,0.2192
145,128,35,0.1,2,False,0.01,1,adam,15,0.075,0.461,0.2375
362,128,65,0.3,2,False,0.01,1,adam,40,0.001,0.4609,0.1533
747,256,65,0.1,4,False,0.01,1,adam,40,0.075,0.459,0.2124
315,128,65,0.1,4,False,0.01,1,adam,40,0.075,0.4589,0.1735
161,128,35,0.1,2,False,0.025,1,adam,45,0.075,0.4586,0.2259
233,128,35,0.3,2,False,0.025,1,adam,45,0.075,0.4583,0.2536
218,128,35,0.3,2,False,0.01,1,adam,40,0.001,0.4558,0.1738
195,128,35,0.1,64,False,0.01,1,adam,40,0.075,0.4555,0.2206
277,128,35,0.3,64,False,0.025,1,adam,15,0.075,0.455,0.1659
849,256,65,0.3,64,False,0.01,2,adam,40,0.075,0.4549,0.173
687,256,35,0.3,4,False,0.025,1,adam,40,0.075,0.4543,0.1986
397,128,65,0.3,4,False,0.025,1,adam,15,0.075,0.4538,0.1182
699,256,35,0.3,64,False,0.01,1,adam,40,0.075,0.4532,0.2188
629,256,35,0.1,64,False,0.01,1,adam,45,0.075,0.4527,0.1997
221,128,35,0.3,2,False,0.01,1,adam,45,0.075,0.4526,0.2416
773,256,65,0.1,64,False,0.01,1,adam,45,0.075,0.4517,0.1717
711,256,35,0.3,64,False,0.025,1,adam,40,0.075,0.4501,0.2231
392,128,65,0.3,4,False,0.01,2,adam,40,0.001,0.4501,0.1825
339,128,65,0.1,64,False,0.01,1,adam,40,0.075,0.4484,0.1656
851,256,65,0.3,64,False,0.01,2,adam,45,0.075,0.4473,0.1665
399,128,65,0.3,4,False,0.025,1,adam,40,0.075,0.4473,0.1518
401,128,65,0.3,4,False,0.025,1,adam,45,0.075,0.4471,0.1607
818,256,65,0.3,4,False,0.01,1,adam,40,0.001,0.4469,0.1843
748,256,65,0.1,4,False,0.01,1,adam,45,0.001,0.4462,0.1734
327,128,65,0.1,4,False,0.025,1,adam,40,0.075,0.4462,0.1485
329,128,65,0.1,4,False,0.025,1,adam,45,0.075,0.4452,0.153
449,256,15,0.1,2,False,0.025,1,adam,45,0.075,0.4451,0.2824
785,256,65,0.1,64,False,0.025,1,adam,45,0.075,0.4449,0.1446
830,256,65,0.3,4,False,0.025,1,adam,40,0.001,0.4432,0.1743
857,256,65,0.3,64,False,0.025,1,adam,45,0.075,0.4428,0.1612
590,256,35,0.1,2,False,0.025,1,adam,40,0.001,0.4427,0.2158
627,256,35,0.1,64,False,0.01,1,adam,40,0.075,0.4427,0.2096
387,128,65,0.3,4,False,0.01,1,adam,40,0.075,0.4417,0.1574
373,128,65,0.3,2,False,0.025,1,adam,15,0.075,0.441,0.1213
207,128,35,0.1,64,False,0.025,1,adam,40,0.075,0.4409,0.2055
281,128,35,0.3,64,False,0.025,1,adam,45,0.075,0.4406,0.1881
411,128,65,0.3,64,False,0.01,1,adam,40,0.075,0.4386,0.1577
701,256,35,0.3,64,False,0.01,1,adam,45,0.075,0.4384,0.1855
794,256,65,0.3,2,False,0.01,1,adam,40,0.001,0.4383,0.1639
783,256,65,0.1,64,False,0.025,1,adam,40,0.075,0.4378,0.1665
301,128,65,0.1,2,False,0.025,1,adam,15,0.075,0.4376,0.1428
817,256,65,0.3,4,False,0.01,1,adam,15,0.075,0.4375,0.1611
863,256,65,0.3,64,False,0.025,2,adam,45,0.075,0.437,0.1745
779,256,65,0.1,64,False,0.01,2,adam,45,0.075,0.4369,0.1534
279,128,35,0.3,64,False,0.025,1,adam,40,0.075,0.4366,0.2033
843,256,65,0.3,64,False,0.01,1,adam,40,0.075,0.4348,0.1609
833,256,65,0.3,4,False,0.025,1,adam,45,0.075,0.4343,0.1684
855,256,65,0.3,64,False,0.025,1,adam,40,0.075,0.4339,0.1614
693,256,35,0.3,4,False,0.025,2,adam,40,0.075,0.4338,0.1688
267,128,35,0.3,64,False,0.01,1,adam,40,0.075,0.433,0.1944
147,128,35,0.1,2,False,0.01,1,adam,40,0.075,0.4328,0.213
269,128,35,0.3,64,False,0.01,1,adam,45,0.075,0.4327,0.1907
41,128,15,0.1,4,False,0.025,1,adam,45,0.075,0.431,0.2737
275,128,35,0.3,64,False,0.01,2,adam,45,0.075,0.4306,0.1969
582,256,35,0.1,2,False,0.01,2,adam,15,0.001,0.4305,0.1937
423,128,65,0.3,64,False,0.025,1,adam,40,0.075,0.4303,0.1463
325,128,65,0.1,4,False,0.025,1,adam,15,0.075,0.43,0.1452
265,128,35,0.3,64,False,0.01,1,adam,15,0.075,0.4292,0.1967
38,128,15,0.1,4,False,0.025,1,adam,40,0.001,0.4288,0.2558
766,256,65,0.1,4,False,0.025,2,adam,45,0.001,0.4283,0.1654
292,128,65,0.1,2,False,0.01,1,adam,45,0.001,0.4278,0.1554
581,256,35,0.1,2,False,0.01,1,adam,45,0.075,0.4275,0.2128
253,128,35,0.3,4,False,0.025,1,adam,15,0.075,0.427,0.1918
193,128,35,0.1,64,False,0.01,1,adam,15,0.075,0.427,0.1879
649,256,35,0.3,2,False,0.01,1,adam,15,0.075,0.4269,0.1965
761,256,65,0.1,4,False,0.025,1,adam,45,0.075,0.4267,0.1559
364,128,65,0.3,2,False,0.01,1,adam,45,0.001,0.4267,0.1351
431,128,65,0.3,64,False,0.025,2,adam,45,0.075,0.4265,0.1011
209,128,35,0.1,64,False,0.025,1,adam,45,0.075,0.4263,0.1593
176,128,35,0.1,4,False,0.01,2,adam,40,0.001,0.4254,0.2073
759,256,65,0.1,4,False,0.025,1,adam,40,0.075,0.4253,0.1547
156,128,35,0.1,2,False,0.025,1,adam,15,0.001,0.4248,0.1919
170,128,35,0.1,4,False,0.01,1,adam,40,0.001,0.424,0.2008
332,128,65,0.1,4,False,0.025,2,adam,40,0.001,0.424,0.191
764,256,65,0.1,4,False,0.025,2,adam,40,0.001,0.424,0.1755
