,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss
595,4096,60,64,0.1,512,0.05,sgd,60,0.01,0.3685,0.0879
445,4096,20,64,0.3,512,0.05,adam,60,0.01,0.3607,0.1092
594,4096,60,64,0.1,512,0.05,sgd,60,0.001,0.3596,0.1244
481,4096,20,256,0.1,512,0.005,adam,60,0.01,0.3538,0.1618
730,4096,60,256,0.3,512,0.005,sgd,300,0.001,0.3534,0.1349
643,4096,60,64,0.3,512,0.05,sgd,60,0.01,0.3515,0.1111
667,4096,60,64,0.3,2048,0.05,sgd,60,0.01,0.3493,0.1231
444,4096,20,64,0.3,512,0.05,adam,60,0.001,0.3477,0.1095
631,4096,60,64,0.3,512,0.005,sgd,60,0.01,0.3463,0.1229
750,4096,60,256,0.3,2048,0.005,sgd,60,0.001,0.3449,0.1295
727,4096,60,256,0.3,512,0.005,sgd,60,0.01,0.3443,0.1061
767,4096,60,256,0.3,2048,0.05,sgd,300,0.01,0.3405,0.097
700,4096,60,256,0.1,2048,0.005,adam,300,0.001,0.3395,0.118
654,4096,60,64,0.3,2048,0.005,sgd,60,0.001,0.3355,0.1302
726,4096,60,256,0.3,512,0.005,sgd,60,0.001,0.3342,0.1131
678,4096,60,256,0.1,512,0.005,sgd,60,0.001,0.3306,0.1286
633,4096,60,64,0.3,512,0.005,sgd,120,0.01,0.3299,0.1061
651,4096,60,64,0.3,2048,0.005,adam,120,0.01,0.3294,0.0797
659,4096,60,64,0.3,2048,0.005,sgd,300,0.01,0.3286,0.1282
456,4096,20,64,0.3,2048,0.005,adam,60,0.001,0.3278,0.1433
409,4096,20,64,0.1,2048,0.005,adam,60,0.01,0.3275,0.1671
635,4096,60,64,0.3,512,0.005,sgd,300,0.01,0.327,0.147
728,4096,60,256,0.3,512,0.005,sgd,120,0.001,0.3258,0.1089
745,4096,60,256,0.3,2048,0.005,adam,60,0.01,0.3235,0.0912
552,4096,20,256,0.3,2048,0.005,adam,60,0.001,0.3229,0.1299
754,4096,60,256,0.3,2048,0.005,sgd,300,0.001,0.3223,0.1446
625,4096,60,64,0.3,512,0.005,adam,60,0.01,0.3222,0.0886
647,4096,60,64,0.3,512,0.05,sgd,300,0.01,0.3192,0.1605
439,4096,20,64,0.3,512,0.005,sgd,60,0.01,0.3179,0.1615
751,4096,60,256,0.3,2048,0.005,sgd,60,0.01,0.3175,0.1152
607,4096,60,64,0.1,2048,0.005,sgd,60,0.01,0.3153,0.1428
459,4096,20,64,0.3,2048,0.005,adam,120,0.01,0.3149,0.114
507,4096,20,256,0.1,2048,0.005,adam,120,0.01,0.3143,0.11
673,4096,60,256,0.1,512,0.005,adam,60,0.01,0.3139,0.0797
632,4096,60,64,0.3,512,0.005,sgd,120,0.001,0.3129,0.1109
602,4096,60,64,0.1,2048,0.005,adam,120,0.001,0.3127,0.0805
649,4096,60,64,0.3,2048,0.005,adam,60,0.01,0.3125,0.0846
691,4096,60,256,0.1,512,0.05,sgd,60,0.01,0.3125,0.0757
572,4096,20,256,0.3,2048,0.05,sgd,120,0.001,0.3117,0.191
387,4096,20,64,0.1,512,0.005,adam,120,0.01,0.3107,0.1479
658,4096,60,64,0.3,2048,0.005,sgd,300,0.001,0.3106,0.1186
571,4096,20,256,0.3,2048,0.05,sgd,60,0.01,0.3104,0.1535
458,4096,20,64,0.3,2048,0.005,adam,120,0.001,0.3082,0.1234
524,4096,20,256,0.1,2048,0.05,sgd,120,0.001,0.308,0.1685
753,4096,60,256,0.3,2048,0.005,sgd,120,0.01,0.307,0.0925
366,1024,60,256,0.3,2048,0.005,sgd,60,0.001,0.3046,0.0905
624,4096,60,64,0.3,512,0.005,adam,60,0.001,0.3034,0.0933
603,4096,60,64,0.1,2048,0.005,adam,120,0.01,0.3018,0.074
479,4096,20,64,0.3,2048,0.05,sgd,300,0.01,0.3001,0.1474
486,4096,20,256,0.1,512,0.005,sgd,60,0.001,0.2997,0.1437
443,4096,20,64,0.3,512,0.005,sgd,300,0.01,0.2996,0.1309
441,4096,20,64,0.3,512,0.005,sgd,120,0.01,0.2986,0.1394
648,4096,60,64,0.3,2048,0.005,adam,60,0.001,0.2973,0.0901
469,4096,20,64,0.3,2048,0.05,adam,60,0.01,0.2973,0.0748
536,4096,20,256,0.3,512,0.005,sgd,120,0.001,0.2972,0.1419
294,1024,60,256,0.1,512,0.005,sgd,60,0.001,0.2967,0.0872
540,4096,20,256,0.3,512,0.05,adam,60,0.001,0.296,0.0942
755,4096,60,256,0.3,2048,0.005,sgd,300,0.01,0.2959,0.1373
655,4096,60,64,0.3,2048,0.005,sgd,60,0.01,0.2957,0.1395
606,4096,60,64,0.1,2048,0.005,sgd,60,0.001,0.2954,0.1396
650,4096,60,64,0.3,2048,0.005,adam,120,0.001,0.2944,0.0816
729,4096,60,256,0.3,512,0.005,sgd,120,0.01,0.2937,0.0871
683,4096,60,256,0.1,512,0.005,sgd,300,0.01,0.2936,0.1518
410,4096,20,64,0.1,2048,0.005,adam,120,0.001,0.2926,0.1176
503,4096,20,256,0.1,512,0.05,sgd,300,0.01,0.2924,0.1084
463,4096,20,64,0.3,2048,0.005,sgd,60,0.01,0.2919,0.1424
462,4096,20,64,0.3,2048,0.005,sgd,60,0.001,0.2906,0.1452
437,4096,20,64,0.3,512,0.005,adam,300,0.01,0.2904,0.1146
451,4096,20,64,0.3,512,0.05,sgd,60,0.01,0.2899,0.1553
396,4096,20,64,0.1,512,0.05,adam,60,0.001,0.2883,0.1
531,4096,20,256,0.3,512,0.005,adam,120,0.01,0.2882,0.1297
525,4096,20,256,0.1,2048,0.05,sgd,120,0.01,0.2876,0.2079
697,4096,60,256,0.1,2048,0.005,adam,60,0.01,0.2876,0.0693
438,4096,20,64,0.3,512,0.005,sgd,60,0.001,0.2868,0.1526
674,4096,60,256,0.1,512,0.005,adam,120,0.001,0.2867,0.1098
656,4096,60,64,0.3,2048,0.005,sgd,120,0.001,0.2863,0.12
504,4096,20,256,0.1,2048,0.005,adam,60,0.001,0.2858,0.1246
421,4096,20,64,0.1,2048,0.05,adam,60,0.01,0.2855,0.0649
246,1024,60,64,0.3,512,0.005,sgd,60,0.001,0.2854,0.1023
510,4096,20,256,0.1,2048,0.005,sgd,60,0.001,0.2846,0.1547
680,4096,60,256,0.1,512,0.005,sgd,120,0.001,0.2845,0.1217
559,4096,20,256,0.3,2048,0.005,sgd,60,0.01,0.2844,0.1396
527,4096,20,256,0.1,2048,0.05,sgd,300,0.01,0.2842,0.1606
723,4096,60,256,0.3,512,0.005,adam,120,0.01,0.2833,0.0629
548,4096,20,256,0.3,512,0.05,sgd,120,0.001,0.2832,0.1651
707,4096,60,256,0.1,2048,0.005,sgd,300,0.01,0.2828,0.149
51,1024,20,64,0.3,512,0.005,adam,120,0.01,0.2828,0.1122
653,4096,60,64,0.3,2048,0.005,adam,300,0.01,0.2826,0.1063
561,4096,20,256,0.3,2048,0.005,sgd,120,0.01,0.2825,0.1434
489,4096,20,256,0.1,512,0.005,sgd,120,0.01,0.2821,0.1765
394,4096,20,64,0.1,512,0.005,sgd,300,0.001,0.2819,0.1724
487,4096,20,256,0.1,512,0.005,sgd,60,0.01,0.2819,0.1345
