,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss
451,1024,60,512,0.1,1536,0.005,sgd,45,0.05,0.6828,0.1867
483,1024,60,512,0.25,1536,0.005,sgd,45,0.05,0.6814,0.1637
147,512,60,192,0.1,2560,0.005,sgd,45,0.05,0.6778,0.1464
419,1024,60,192,0.25,1536,0.005,sgd,45,0.05,0.6755,0.1617
482,1024,60,512,0.25,1536,0.005,sgd,45,0.01,0.6736,0.1537
179,512,60,192,0.25,2560,0.005,sgd,45,0.05,0.6731,0.1448
438,1024,60,192,0.25,2560,0.005,adam,45,0.01,0.6721,0.1697
171,512,60,192,0.25,1536,0.05,sgd,45,0.05,0.6713,0.1562
434,1024,60,192,0.25,2560,0.005,sgd,45,0.01,0.6691,0.1683
467,1024,60,512,0.1,2560,0.005,sgd,45,0.05,0.6689,0.167
498,1024,60,512,0.25,2560,0.005,sgd,45,0.01,0.6676,0.1516
145,512,60,192,0.1,2560,0.005,sgd,40,0.05,0.6675,0.1625
232,512,60,512,0.25,1536,0.05,sgd,40,0.01,0.6672,0.1842
442,1024,60,192,0.25,2560,0.05,sgd,45,0.01,0.6669,0.1912
401,1024,60,192,0.1,2560,0.005,sgd,40,0.05,0.6656,0.1558
138,512,60,192,0.1,1536,0.05,sgd,45,0.01,0.6647,0.1488
394,1024,60,192,0.1,1536,0.05,sgd,45,0.01,0.6646,0.2047
499,1024,60,512,0.25,2560,0.005,sgd,45,0.05,0.6643,0.1511
457,1024,60,512,0.1,1536,0.05,sgd,40,0.05,0.664,0.1784
129,512,60,192,0.1,1536,0.005,sgd,40,0.05,0.6635,0.1482
418,1024,60,192,0.25,1536,0.005,sgd,45,0.01,0.6634,0.1662
225,512,60,512,0.25,1536,0.005,sgd,40,0.05,0.6634,0.1534
402,1024,60,192,0.1,2560,0.005,sgd,45,0.01,0.6633,0.1702
386,1024,60,192,0.1,1536,0.005,sgd,45,0.01,0.6621,0.1661
480,1024,60,512,0.25,1536,0.005,sgd,40,0.01,0.6617,0.1547
200,512,60,512,0.1,1536,0.05,sgd,40,0.01,0.6616,0.1918
241,512,60,512,0.25,2560,0.005,sgd,40,0.05,0.6612,0.1645
186,512,60,192,0.25,2560,0.05,sgd,45,0.01,0.6605,0.1674
151,512,60,192,0.1,2560,0.005,adam,45,0.05,0.6602,0.1344
424,1024,60,192,0.25,1536,0.05,sgd,40,0.01,0.66,0.1817
385,1024,60,192,0.1,1536,0.005,sgd,40,0.05,0.6594,0.1567
212,512,60,512,0.1,2560,0.005,adam,40,0.01,0.6594,0.1534
475,1024,60,512,0.1,2560,0.05,sgd,45,0.05,0.6591,0.1648
425,1024,60,192,0.25,1536,0.05,sgd,40,0.05,0.6588,0.1446
449,1024,60,512,0.1,1536,0.005,sgd,40,0.05,0.6585,0.1662
193,512,60,512,0.1,1536,0.005,sgd,40,0.05,0.6574,0.163
395,1024,60,192,0.1,1536,0.05,sgd,45,0.05,0.6572,0.1437
393,1024,60,192,0.1,1536,0.05,sgd,40,0.05,0.6572,0.1309
403,1024,60,192,0.1,2560,0.005,sgd,45,0.05,0.6562,0.1604
409,1024,60,192,0.1,2560,0.05,sgd,40,0.05,0.6559,0.138
164,512,60,192,0.25,1536,0.005,adam,40,0.01,0.6557,0.1652
242,512,60,512,0.25,2560,0.005,sgd,45,0.01,0.6554,0.1581
497,1024,60,512,0.25,2560,0.005,sgd,40,0.05,0.6553,0.155
491,1024,60,512,0.25,1536,0.05,sgd,45,0.05,0.6551,0.1345
450,1024,60,512,0.1,1536,0.005,sgd,45,0.01,0.6547,0.1901
387,1024,60,192,0.1,1536,0.005,sgd,45,0.05,0.6544,0.1393
400,1024,60,192,0.1,2560,0.005,sgd,40,0.01,0.6543,0.174
489,1024,60,512,0.25,1536,0.05,sgd,40,0.05,0.654,0.1798
384,1024,60,192,0.1,1536,0.005,sgd,40,0.01,0.654,0.1775
148,512,60,192,0.1,2560,0.005,adam,40,0.01,0.6536,0.1664
214,512,60,512,0.1,2560,0.005,adam,45,0.01,0.6536,0.1222
422,1024,60,192,0.25,1536,0.005,adam,45,0.01,0.6532,0.1567
465,1024,60,512,0.1,2560,0.005,sgd,40,0.05,0.6532,0.1414
224,512,60,512,0.25,1536,0.005,sgd,40,0.01,0.653,0.1345
162,512,60,192,0.25,1536,0.005,sgd,45,0.01,0.653,0.133
507,1024,60,512,0.25,2560,0.05,sgd,45,0.05,0.6527,0.1533
484,1024,60,512,0.25,1536,0.005,adam,40,0.01,0.6525,0.1974
246,512,60,512,0.25,2560,0.005,adam,45,0.01,0.6525,0.1478
130,512,60,192,0.1,1536,0.005,sgd,45,0.01,0.6517,0.1787
473,1024,60,512,0.1,2560,0.05,sgd,40,0.05,0.6513,0.1349
149,512,60,192,0.1,2560,0.005,adam,40,0.05,0.6513,0.1256
466,1024,60,512,0.1,2560,0.005,sgd,45,0.01,0.6512,0.1714
454,1024,60,512,0.1,1536,0.005,adam,45,0.01,0.651,0.1783
427,1024,60,192,0.25,1536,0.05,sgd,45,0.05,0.651,0.1502
163,512,60,192,0.25,1536,0.005,sgd,45,0.05,0.651,0.1357
233,512,60,512,0.25,1536,0.05,sgd,40,0.05,0.6501,0.1413
192,512,60,512,0.1,1536,0.005,sgd,40,0.01,0.6499,0.1722
131,512,60,192,0.1,1536,0.005,sgd,45,0.05,0.6499,0.1397
201,512,60,512,0.1,1536,0.05,sgd,40,0.05,0.6498,0.1547
240,512,60,512,0.25,2560,0.005,sgd,40,0.01,0.6498,0.1366
459,1024,60,512,0.1,1536,0.05,sgd,45,0.05,0.6497,0.1674
452,1024,60,512,0.1,1536,0.005,adam,40,0.01,0.649,0.1458
436,1024,60,192,0.25,2560,0.005,adam,40,0.01,0.6487,0.1693
210,512,60,512,0.1,2560,0.005,sgd,45,0.01,0.6486,0.1937
448,1024,60,512,0.1,1536,0.005,sgd,40,0.01,0.6482,0.1754
411,1024,60,192,0.1,2560,0.05,sgd,45,0.05,0.6482,0.1331
182,512,60,192,0.25,2560,0.005,adam,45,0.01,0.6477,0.162
161,512,60,192,0.25,1536,0.005,sgd,40,0.05,0.6476,0.1366
488,1024,60,512,0.25,1536,0.05,sgd,40,0.01,0.6469,0.2023
426,1024,60,192,0.25,1536,0.05,sgd,45,0.01,0.6468,0.1938
194,512,60,512,0.1,1536,0.005,sgd,45,0.01,0.6466,0.1726
218,512,60,512,0.1,2560,0.05,sgd,45,0.01,0.6464,0.1782
244,512,60,512,0.25,2560,0.005,adam,40,0.01,0.6458,0.1391
132,512,60,192,0.1,1536,0.005,adam,40,0.01,0.6457,0.1582
198,512,60,512,0.1,1536,0.005,adam,45,0.01,0.6457,0.1512
183,512,60,192,0.25,2560,0.005,adam,45,0.05,0.6457,0.1324
32,512,15,192,0.25,1536,0.005,sgd,40,0.01,0.6455,0.2559
464,1024,60,512,0.1,2560,0.005,sgd,40,0.01,0.6452,0.1807
443,1024,60,192,0.25,2560,0.05,sgd,45,0.05,0.645,0.1703
456,1024,60,512,0.1,1536,0.05,sgd,40,0.01,0.6449,0.2075
505,1024,60,512,0.25,2560,0.05,sgd,40,0.05,0.6449,0.1388
435,1024,60,192,0.25,2560,0.005,sgd,45,0.05,0.6447,0.1415
405,1024,60,192,0.1,2560,0.005,adam,40,0.05,0.6446,0.1397
176,512,60,192,0.25,2560,0.005,sgd,40,0.01,0.6445,0.1291
185,512,60,192,0.25,2560,0.05,sgd,40,0.05,0.6442,0.1286
215,512,60,512,0.1,2560,0.005,adam,45,0.05,0.6442,0.1259
416,1024,60,192,0.25,1536,0.005,sgd,40,0.01,0.6441,0.1461
153,512,60,192,0.1,2560,0.05,sgd,40,0.05,0.6441,0.1361
202,512,60,512,0.1,1536,0.05,sgd,45,0.01,0.644,0.185
209,512,60,512,0.1,2560,0.005,sgd,40,0.05,0.6438,0.1423
144,512,60,192,0.1,2560,0.005,sgd,40,0.01,0.6437,0.1603
154,512,60,192,0.1,2560,0.05,sgd,45,0.01,0.6434,0.1674
208,512,60,512,0.1,2560,0.005,sgd,40,0.01,0.6433,0.1716
440,1024,60,192,0.25,2560,0.05,sgd,40,0.01,0.6432,0.1698
114,512,15,512,0.25,2560,0.005,sgd,45,0.01,0.6428,0.2377
184,512,60,192,0.25,2560,0.05,sgd,40,0.01,0.6426,0.1618
211,512,60,512,0.1,2560,0.005,sgd,45,0.05,0.642,0.1511
152,512,60,192,0.1,2560,0.05,sgd,40,0.01,0.6418,0.1885
195,512,60,512,0.1,1536,0.005,sgd,45,0.05,0.6417,0.1441
180,512,60,192,0.25,2560,0.005,adam,40,0.01,0.6416,0.1695
226,512,60,512,0.25,1536,0.005,sgd,45,0.01,0.6415,0.1405
389,1024,60,192,0.1,1536,0.005,adam,40,0.05,0.6411,0.1502
187,512,60,192,0.25,2560,0.05,sgd,45,0.05,0.6409,0.1487
417,1024,60,192,0.25,1536,0.005,sgd,40,0.05,0.6405,0.1377
178,512,60,192,0.25,2560,0.005,sgd,45,0.01,0.6393,0.1397
98,512,15,512,0.25,1536,0.005,sgd,45,0.01,0.6391,0.2343
437,1024,60,192,0.25,2560,0.005,adam,40,0.05,0.6391,0.121
421,1024,60,192,0.25,1536,0.005,adam,40,0.05,0.6389,0.146
410,1024,60,192,0.1,2560,0.05,sgd,45,0.01,0.6382,0.2235
133,512,60,192,0.1,1536,0.005,adam,40,0.05,0.6381,0.128
404,1024,60,192,0.1,2560,0.005,adam,40,0.01,0.638,0.1702
96,512,15,512,0.25,1536,0.005,sgd,40,0.01,0.6379,0.254
160,512,60,192,0.25,1536,0.005,sgd,40,0.01,0.6358,0.149
167,512,60,192,0.25,1536,0.005,adam,45,0.05,0.6357,0.1303
504,1024,60,512,0.25,2560,0.05,sgd,40,0.01,0.6352,0.2117
150,512,60,192,0.1,2560,0.005,adam,45,0.01,0.635,0.1431
413,1024,60,192,0.1,2560,0.05,adam,40,0.05,0.6349,0.1385
48,512,15,192,0.25,2560,0.005,sgd,40,0.01,0.6347,0.2567
166,512,60,192,0.25,1536,0.005,adam,45,0.01,0.6346,0.1266
136,512,60,192,0.1,1536,0.05,sgd,40,0.01,0.6344,0.173
406,1024,60,192,0.1,2560,0.005,adam,45,0.01,0.6343,0.1965
196,512,60,512,0.1,1536,0.005,adam,40,0.01,0.6341,0.1637
177,512,60,192,0.25,2560,0.005,sgd,40,0.05,0.6341,0.1319
128,512,60,192,0.1,1536,0.005,sgd,40,0.01,0.6336,0.1827
181,512,60,192,0.25,2560,0.005,adam,40,0.05,0.6336,0.1252
468,1024,60,512,0.1,2560,0.005,adam,40,0.01,0.6335,0.1549
33,512,15,192,0.25,1536,0.005,sgd,40,0.05,0.6334,0.2509
420,1024,60,192,0.25,1536,0.005,adam,40,0.01,0.6333,0.1764
490,1024,60,512,0.25,1536,0.05,sgd,45,0.01,0.6332,0.1999
203,512,60,512,0.1,1536,0.05,sgd,45,0.05,0.6331,0.142
399,1024,60,192,0.1,1536,0.05,adam,45,0.05,0.6326,0.1308
441,1024,60,192,0.25,2560,0.05,sgd,40,0.05,0.6323,0.1395
243,512,60,512,0.25,2560,0.005,sgd,45,0.05,0.6322,0.1435
230,512,60,512,0.25,1536,0.005,adam,45,0.01,0.6321,0.1117
304,1024,15,192,0.25,2560,0.005,sgd,40,0.01,0.632,0.2669
487,1024,60,512,0.25,1536,0.005,adam,45,0.05,0.6314,0.1229
486,1024,60,512,0.25,1536,0.005,adam,45,0.01,0.6312,0.1735
50,512,15,192,0.25,2560,0.005,sgd,45,0.01,0.6311,0.2533
228,512,60,512,0.25,1536,0.005,adam,40,0.01,0.6302,0.1232
481,1024,60,512,0.25,1536,0.005,sgd,40,0.05,0.6301,0.1366
34,512,15,192,0.25,1536,0.005,sgd,45,0.01,0.6298,0.2481
288,1024,15,192,0.25,1536,0.005,sgd,40,0.01,0.6295,0.2669
428,1024,60,192,0.25,1536,0.05,adam,40,0.01,0.6292,0.1208
112,512,15,512,0.25,2560,0.005,sgd,40,0.01,0.6289,0.2581
496,1024,60,512,0.25,2560,0.005,sgd,40,0.01,0.6286,0.1625
135,512,60,192,0.1,1536,0.005,adam,45,0.05,0.6284,0.1111
432,1024,60,192,0.25,2560,0.005,sgd,40,0.01,0.6275,0.1412
113,512,15,512,0.25,2560,0.005,sgd,40,0.05,0.6266,0.2452
390,1024,60,192,0.1,1536,0.005,adam,45,0.01,0.6265,0.1938
423,1024,60,192,0.25,1536,0.005,adam,45,0.05,0.6265,0.1482
433,1024,60,192,0.25,2560,0.005,sgd,40,0.05,0.6265,0.1295
35,512,15,192,0.25,1536,0.005,sgd,45,0.05,0.6263,0.2802
146,512,60,192,0.1,2560,0.005,sgd,45,0.01,0.6263,0.1573
500,1024,60,512,0.25,2560,0.005,adam,40,0.01,0.6263,0.1442
172,512,60,192,0.25,1536,0.05,adam,40,0.01,0.6263,0.1183
292,1024,15,192,0.25,1536,0.005,adam,40,0.01,0.6261,0.2704
353,1024,15,512,0.25,1536,0.005,sgd,40,0.05,0.6259,0.2742
99,512,15,512,0.25,1536,0.005,sgd,45,0.05,0.6258,0.275
458,1024,60,512,0.1,1536,0.05,sgd,45,0.01,0.6258,0.1957
139,512,60,192,0.1,1536,0.05,sgd,45,0.05,0.6257,0.1322
219,512,60,512,0.1,2560,0.05,sgd,45,0.05,0.6256,0.1153
369,1024,15,512,0.25,2560,0.005,sgd,40,0.05,0.625,0.2696
134,512,60,192,0.1,1536,0.005,adam,45,0.01,0.6249,0.1309
165,512,60,192,0.25,1536,0.005,adam,40,0.05,0.6244,0.1138
305,1024,15,192,0.25,2560,0.005,sgd,40,0.05,0.6241,0.2836
115,512,15,512,0.25,2560,0.005,sgd,45,0.05,0.6238,0.2713
455,1024,60,512,0.1,1536,0.005,adam,45,0.05,0.6237,0.1149
49,512,15,192,0.25,2560,0.005,sgd,40,0.05,0.623,0.2457
68,512,15,512,0.1,1536,0.005,adam,40,0.01,0.6227,0.2362
352,1024,15,512,0.25,1536,0.005,sgd,40,0.01,0.6224,0.2666
2,512,15,192,0.1,1536,0.005,sgd,45,0.01,0.622,0.2804
472,1024,60,512,0.1,2560,0.05,sgd,40,0.01,0.6214,0.2117
251,512,60,512,0.25,2560,0.05,sgd,45,0.05,0.6213,0.1339
370,1024,15,512,0.25,2560,0.005,sgd,45,0.01,0.6212,0.2871
290,1024,15,192,0.25,1536,0.005,sgd,45,0.01,0.6208,0.2798
306,1024,15,192,0.25,2560,0.005,sgd,45,0.01,0.6206,0.2812
216,512,60,512,0.1,2560,0.05,sgd,40,0.01,0.6204,0.1725
388,1024,60,192,0.1,1536,0.005,adam,40,0.01,0.6201,0.1883
506,1024,60,512,0.25,2560,0.05,sgd,45,0.01,0.62,0.1942
371,1024,15,512,0.25,2560,0.005,sgd,45,0.05,0.6199,0.2902
354,1024,15,512,0.25,1536,0.005,sgd,45,0.01,0.6198,0.2787
289,1024,15,192,0.25,1536,0.005,sgd,40,0.05,0.6197,0.2824
368,1024,15,512,0.25,2560,0.005,sgd,40,0.01,0.6195,0.2682
168,512,60,192,0.25,1536,0.05,sgd,40,0.01,0.6188,0.1647
137,512,60,192,0.1,1536,0.05,sgd,40,0.05,0.6187,0.1575
213,512,60,512,0.1,2560,0.005,adam,40,0.05,0.6185,0.1014
141,512,60,192,0.1,1536,0.05,adam,40,0.05,0.6184,0.1231
52,512,15,192,0.25,2560,0.005,adam,40,0.01,0.6182,0.2692
391,1024,60,192,0.1,1536,0.005,adam,45,0.05,0.6182,0.1597
392,1024,60,192,0.1,1536,0.05,sgd,40,0.01,0.618,0.2034
453,1024,60,512,0.1,1536,0.005,adam,40,0.05,0.6178,0.1156
97,512,15,512,0.25,1536,0.005,sgd,40,0.05,0.6174,0.2809
155,512,60,192,0.1,2560,0.05,sgd,45,0.05,0.6169,0.1675
234,512,60,512,0.25,1536,0.05,sgd,45,0.01,0.6167,0.1512
355,1024,15,512,0.25,1536,0.005,sgd,45,0.05,0.6162,0.2917
199,512,60,512,0.1,1536,0.005,adam,45,0.05,0.6161,0.0999
51,512,15,192,0.25,2560,0.005,sgd,45,0.05,0.6155,0.2815
501,1024,60,512,0.25,2560,0.005,adam,40,0.05,0.6155,0.1101
412,1024,60,192,0.1,2560,0.05,adam,40,0.01,0.6154,0.1073
430,1024,60,192,0.25,1536,0.05,adam,45,0.01,0.6153,0.1102
0,512,15,192,0.1,1536,0.005,sgd,40,0.01,0.6151,0.2909
245,512,60,512,0.25,2560,0.005,adam,40,0.05,0.6145,0.1027
227,512,60,512,0.25,1536,0.005,sgd,45,0.05,0.6144,0.1329
407,1024,60,192,0.1,2560,0.005,adam,45,0.05,0.6141,0.1266
235,512,60,512,0.25,1536,0.05,sgd,45,0.05,0.6138,0.112
342,1024,15,512,0.1,2560,0.005,adam,45,0.01,0.6137,0.2725
