,batch_size,bce_pos_class_weight,dropout_p,hidden_layer_size,input_layer_norm,lr,num_layers,optimizer_type,sequence_length,weight_decay,tss,hss
19,128,30,0.1,2,False,0.005,1,adam,45,0.01,0.5261,0.2082
123,128,30,0.5,2,False,0.01,1,adam,45,0.01,0.5,0.2614
627,256,75,0.1,4,False,0.005,1,adam,45,0.01,0.4824,0.1305
306,128,75,0.5,2,False,0.005,1,adam,45,0.0001,0.4746,0.1428
209,128,75,0.1,2,False,0.005,1,adam,30,0.01,0.4717,0.1324
595,256,75,0.1,2,False,0.005,1,adam,45,0.01,0.4631,0.1214
624,256,75,0.1,4,False,0.005,1,adam,30,0.0001,0.4616,0.1448
539,256,30,0.5,4,False,0.01,1,adam,45,0.01,0.4595,0.2588
723,256,75,0.5,4,False,0.005,1,adam,45,0.01,0.4589,0.1406
658,256,75,0.1,12,False,0.005,1,adam,45,0.0001,0.4581,0.1564
195,128,75,0.1,2,True,0.005,1,adam,45,0.01,0.4575,0.1375
701,256,75,0.5,2,False,0.01,2,adam,30,0.01,0.4562,0.1458
218,128,75,0.1,2,False,0.01,1,adam,45,0.0001,0.4548,0.1303
113,128,30,0.5,2,False,0.005,1,adam,30,0.01,0.452,0.2683
432,256,30,0.1,4,False,0.005,1,adam,30,0.0001,0.4487,0.2439
467,256,30,0.1,12,False,0.005,1,adam,45,0.01,0.4482,0.2289
699,256,75,0.5,2,False,0.01,1,adam,45,0.01,0.4482,0.1565
579,256,75,0.1,2,True,0.005,1,adam,45,0.01,0.4475,0.1469
147,128,30,0.5,4,False,0.005,1,adam,45,0.01,0.4457,0.2096
659,256,75,0.1,12,False,0.005,1,adam,45,0.01,0.4449,0.1447
755,256,75,0.5,12,False,0.005,1,adam,45,0.01,0.4443,0.1491
51,128,30,0.1,4,False,0.005,1,adam,45,0.01,0.444,0.2245
603,256,75,0.1,2,False,0.01,1,adam,45,0.01,0.4428,0.1314
355,128,75,0.5,12,True,0.005,1,adam,45,0.01,0.4419,0.1152
731,256,75,0.5,4,False,0.01,1,adam,45,0.01,0.4404,0.1394
242,128,75,0.1,4,False,0.005,1,adam,45,0.0001,0.4368,0.1283
767,256,75,0.5,12,False,0.01,2,adam,45,0.01,0.4358,0.1661
538,256,30,0.5,4,False,0.01,1,adam,45,0.0001,0.4341,0.2336
635,256,75,0.1,4,False,0.01,1,adam,45,0.01,0.4339,0.1552
475,256,30,0.1,12,False,0.01,1,adam,45,0.01,0.4338,0.2031
67,128,30,0.1,12,True,0.005,1,adam,45,0.01,0.4334,0.1841
759,256,75,0.5,12,False,0.005,2,adam,45,0.01,0.4331,0.163
762,256,75,0.5,12,False,0.01,1,adam,45,0.0001,0.4297,0.1505
434,256,30,0.1,4,False,0.005,1,adam,45,0.0001,0.4291,0.2319
339,128,75,0.5,4,False,0.005,1,adam,45,0.01,0.4276,0.126
251,128,75,0.1,4,False,0.01,1,adam,45,0.01,0.4275,0.1561
479,256,30,0.1,12,False,0.01,2,adam,45,0.01,0.4274,0.2138
315,128,75,0.5,2,False,0.01,1,adam,45,0.01,0.427,0.1256
215,128,75,0.1,2,False,0.005,2,adam,45,0.01,0.4265,0.1394
222,128,75,0.1,2,False,0.01,2,adam,45,0.0001,0.4262,0.1492
214,128,75,0.1,2,False,0.005,2,adam,45,0.0001,0.4261,0.1178
354,128,75,0.5,12,True,0.005,1,adam,45,0.0001,0.4259,0.1365
304,128,75,0.5,2,False,0.005,1,adam,30,0.0001,0.4258,0.1211
743,256,75,0.5,12,True,0.005,2,adam,45,0.01,0.4253,0.1654
720,256,75,0.5,4,False,0.005,1,adam,30,0.0001,0.4253,0.1278
