,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss
131,512,60,320,0.2,768,0.0025,sgd,45,0.075,0.6776,0.1433
209,512,60,512,0.2,1280,0.0025,sgd,40,0.075,0.6692,0.1432
506,1024,60,512,0.4,1280,0.075,sgd,45,0.0075,0.6688,0.1685
216,512,60,512,0.2,1280,0.075,sgd,40,0.0075,0.665,0.1639
403,1024,60,320,0.2,1280,0.0025,sgd,45,0.075,0.6641,0.1414
483,1024,60,512,0.4,768,0.0025,sgd,45,0.075,0.664,0.1403
467,1024,60,512,0.2,1280,0.0025,sgd,45,0.075,0.6636,0.15
451,1024,60,512,0.2,768,0.0025,sgd,45,0.075,0.6634,0.1497
499,1024,60,512,0.4,1280,0.0025,sgd,45,0.075,0.6632,0.1422
426,1024,60,320,0.4,768,0.075,sgd,45,0.0075,0.6627,0.1614
184,512,60,320,0.4,1280,0.075,sgd,40,0.0075,0.6624,0.1642
435,1024,60,320,0.4,1280,0.0025,sgd,45,0.075,0.6624,0.1365
168,512,60,320,0.4,768,0.075,sgd,40,0.0075,0.6623,0.1621
387,1024,60,320,0.2,768,0.0025,sgd,45,0.075,0.6621,0.1414
419,1024,60,320,0.4,768,0.0025,sgd,45,0.075,0.6621,0.138
132,512,60,320,0.2,768,0.0025,adam,40,0.0075,0.6613,0.1842
212,512,60,512,0.2,1280,0.0025,adam,40,0.0075,0.6594,0.1754
405,1024,60,320,0.2,1280,0.0025,adam,40,0.075,0.659,0.1316
128,512,60,320,0.2,768,0.0025,sgd,40,0.0075,0.6584,0.1412
136,512,60,320,0.2,768,0.075,sgd,40,0.0075,0.6583,0.1738
490,1024,60,512,0.4,768,0.075,sgd,45,0.0075,0.6582,0.1763
228,512,60,512,0.4,768,0.0025,adam,40,0.0075,0.6581,0.1569
404,1024,60,320,0.2,1280,0.0025,adam,40,0.0075,0.6576,0.1839
180,512,60,320,0.4,1280,0.0025,adam,40,0.0075,0.6575,0.1627
218,512,60,512,0.2,1280,0.075,sgd,45,0.0075,0.6573,0.1816
436,1024,60,320,0.4,1280,0.0025,adam,40,0.0075,0.6571,0.1747
402,1024,60,320,0.2,1280,0.0025,sgd,45,0.0075,0.6556,0.147
152,512,60,320,0.2,1280,0.075,sgd,40,0.0075,0.6552,0.1856
386,1024,60,320,0.2,768,0.0025,sgd,45,0.0075,0.655,0.1483
179,512,60,320,0.4,1280,0.0025,sgd,45,0.075,0.655,0.1321
148,512,60,320,0.2,1280,0.0025,adam,40,0.0075,0.6549,0.1901
466,1024,60,512,0.2,1280,0.0025,sgd,45,0.0075,0.6547,0.1512
432,1024,60,320,0.4,1280,0.0025,sgd,40,0.0075,0.6546,0.1434
449,1024,60,512,0.2,768,0.0025,sgd,40,0.075,0.6541,0.147
433,1024,60,320,0.4,1280,0.0025,sgd,40,0.075,0.6541,0.1398
195,512,60,512,0.2,768,0.0025,sgd,45,0.075,0.654,0.1287
465,1024,60,512,0.2,1280,0.0025,sgd,40,0.075,0.6534,0.1473
450,1024,60,512,0.2,768,0.0025,sgd,45,0.0075,0.6533,0.1525
434,1024,60,320,0.4,1280,0.0025,sgd,45,0.0075,0.6533,0.141
417,1024,60,320,0.4,768,0.0025,sgd,40,0.075,0.6533,0.1387
470,1024,60,512,0.2,1280,0.0025,adam,45,0.0075,0.6532,0.164
400,1024,60,320,0.2,1280,0.0025,sgd,40,0.0075,0.653,0.1567
496,1024,60,512,0.4,1280,0.0025,sgd,40,0.0075,0.6527,0.1406
418,1024,60,320,0.4,768,0.0025,sgd,45,0.0075,0.6518,0.1377
416,1024,60,320,0.4,768,0.0025,sgd,40,0.0075,0.6514,0.1422
482,1024,60,512,0.4,768,0.0025,sgd,45,0.0075,0.6513,0.145
498,1024,60,512,0.4,1280,0.0025,sgd,45,0.0075,0.6511,0.1448
481,1024,60,512,0.4,768,0.0025,sgd,40,0.075,0.6511,0.1385
497,1024,60,512,0.4,1280,0.0025,sgd,40,0.075,0.6507,0.1384
244,512,60,512,0.4,1280,0.0025,adam,40,0.0075,0.6504,0.1524
443,1024,60,320,0.4,1280,0.075,sgd,45,0.075,0.6499,0.1414
385,1024,60,320,0.2,768,0.0025,sgd,40,0.075,0.6497,0.1432
464,1024,60,512,0.2,1280,0.0025,sgd,40,0.0075,0.6493,0.1515
401,1024,60,320,0.2,1280,0.0025,sgd,40,0.075,0.6488,0.1433
227,512,60,512,0.4,768,0.0025,sgd,45,0.075,0.6486,0.1364
177,512,60,320,0.4,1280,0.0025,sgd,40,0.075,0.6485,0.1281
474,1024,60,512,0.2,1280,0.075,sgd,45,0.0075,0.6482,0.1858
500,1024,60,512,0.4,1280,0.0025,adam,40,0.0075,0.6478,0.1801
164,512,60,320,0.4,768,0.0025,adam,40,0.0075,0.6476,0.1557
424,1024,60,320,0.4,768,0.075,sgd,40,0.0075,0.6475,0.1526
200,512,60,512,0.2,768,0.075,sgd,40,0.0075,0.6474,0.1622
146,512,60,320,0.2,1280,0.0025,sgd,45,0.0075,0.6474,0.145
422,1024,60,320,0.4,768,0.0025,adam,45,0.0075,0.6471,0.1943
427,1024,60,320,0.4,768,0.075,sgd,45,0.075,0.6464,0.1796
384,1024,60,320,0.2,768,0.0025,sgd,40,0.0075,0.6463,0.1536
193,512,60,512,0.2,768,0.0025,sgd,40,0.075,0.6463,0.1312
359,1024,15,512,0.4,768,0.0025,adam,45,0.075,0.6461,0.2344
325,1024,15,512,0.2,768,0.0025,adam,40,0.075,0.6458,0.1994
208,512,60,512,0.2,1280,0.0025,sgd,40,0.0075,0.6452,0.1374
439,1024,60,320,0.4,1280,0.0025,adam,45,0.075,0.6446,0.1594
210,512,60,512,0.2,1280,0.0025,sgd,45,0.0075,0.6443,0.1438
211,512,60,512,0.2,1280,0.0025,sgd,45,0.075,0.6443,0.1229
192,512,60,512,0.2,768,0.0025,sgd,40,0.0075,0.6441,0.1368
503,1024,60,512,0.4,1280,0.0025,adam,45,0.075,0.644,0.1187
144,512,60,320,0.2,1280,0.0025,sgd,40,0.0075,0.6439,0.1371
145,512,60,320,0.2,1280,0.0025,sgd,40,0.075,0.6439,0.1338
394,1024,60,320,0.2,768,0.075,sgd,45,0.0075,0.6434,0.1572
406,1024,60,320,0.2,1280,0.0025,adam,45,0.0075,0.6432,0.1538
250,512,60,512,0.4,1280,0.075,sgd,45,0.0075,0.6431,0.1531
448,1024,60,512,0.2,768,0.0025,sgd,40,0.0075,0.6431,0.1496
440,1024,60,320,0.4,1280,0.075,sgd,40,0.0075,0.6429,0.1875
410,1024,60,320,0.2,1280,0.075,sgd,45,0.0075,0.6428,0.1674
390,1024,60,320,0.2,768,0.0025,adam,45,0.0075,0.6423,0.1802
242,512,60,512,0.4,1280,0.0025,sgd,45,0.0075,0.6422,0.1364
505,1024,60,512,0.4,1280,0.075,sgd,40,0.075,0.6416,0.1378
480,1024,60,512,0.4,768,0.0025,sgd,40,0.0075,0.6416,0.1363
98,512,15,512,0.4,768,0.0025,sgd,45,0.0075,0.6411,0.2255
34,512,15,320,0.4,768,0.0025,sgd,45,0.0075,0.641,0.2331
194,512,60,512,0.2,768,0.0025,sgd,45,0.0075,0.641,0.1456
99,512,15,512,0.4,768,0.0025,sgd,45,0.075,0.6409,0.2461
115,512,15,512,0.4,1280,0.0025,sgd,45,0.075,0.6409,0.2453
130,512,60,320,0.2,768,0.0025,sgd,45,0.0075,0.64,0.1444
393,1024,60,320,0.2,768,0.075,sgd,40,0.075,0.6394,0.1338
472,1024,60,512,0.2,1280,0.075,sgd,40,0.0075,0.6392,0.2143
442,1024,60,320,0.4,1280,0.075,sgd,45,0.0075,0.639,0.1712
114,512,15,512,0.4,1280,0.0025,sgd,45,0.0075,0.6389,0.2317
175,512,60,320,0.4,768,0.075,adam,45,0.075,0.6386,0.1391
226,512,60,512,0.4,768,0.0025,sgd,45,0.0075,0.6386,0.133
486,1024,60,512,0.4,768,0.0025,adam,45,0.0075,0.6385,0.1737
150,512,60,320,0.2,1280,0.0025,adam,45,0.0075,0.6384,0.1474
429,1024,60,320,0.4,768,0.075,adam,40,0.075,0.6379,0.158
32,512,15,320,0.4,768,0.0025,sgd,40,0.0075,0.6377,0.2279
112,512,15,512,0.4,1280,0.0025,sgd,40,0.0075,0.6377,0.2245
50,512,15,320,0.4,1280,0.0025,sgd,45,0.0075,0.6373,0.2325
504,1024,60,512,0.4,1280,0.075,sgd,40,0.0075,0.6372,0.1996
147,512,60,320,0.2,1280,0.0025,sgd,45,0.075,0.6369,0.132
447,1024,60,320,0.4,1280,0.075,adam,45,0.075,0.6367,0.1511
178,512,60,320,0.4,1280,0.0025,sgd,45,0.0075,0.6364,0.1393
352,1024,15,512,0.4,768,0.0025,sgd,40,0.0075,0.6359,0.2384
495,1024,60,512,0.4,768,0.075,adam,45,0.075,0.6359,0.1977
468,1024,60,512,0.2,1280,0.0025,adam,40,0.0075,0.6359,0.1932
48,512,15,320,0.4,1280,0.0025,sgd,40,0.0075,0.6357,0.2297
96,512,15,512,0.4,768,0.0025,sgd,40,0.0075,0.6356,0.2269
459,1024,60,512,0.2,768,0.075,sgd,45,0.075,0.6356,0.1469
454,1024,60,512,0.2,768,0.0025,adam,45,0.0075,0.6351,0.1827
224,512,60,512,0.4,768,0.0025,sgd,40,0.0075,0.6351,0.1266
