,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss
708,4096,60,64,0.1,128,0.0075,sgd,60,0.001,0.4104,0.1247
672,4096,60,16,0.3,128,0.0075,adam,60,0.001,0.3878,0.1086
684,4096,60,16,0.3,128,0.025,sgd,60,0.001,0.3825,0.1342
457,4096,30,16,0.1,128,0.025,adam,60,0.01,0.3812,0.1009
717,4096,60,64,0.1,128,0.025,sgd,60,0.01,0.379,0.1069
581,4096,60,4,0.1,128,0.0075,sgd,60,0.01,0.3781,0.1272
19,2048,30,4,0.1,2048,0.0075,adam,180,0.01,0.3772,0.1477
582,4096,60,4,0.1,128,0.0075,sgd,180,0.001,0.3757,0.1393
668,4096,60,16,0.1,2048,0.025,sgd,60,0.001,0.3715,0.1164
580,4096,60,4,0.1,128,0.0075,sgd,60,0.001,0.3651,0.1025
40,2048,30,4,0.3,128,0.025,adam,60,0.001,0.3648,0.1306
669,4096,60,16,0.1,2048,0.025,sgd,60,0.01,0.3648,0.1226
676,4096,60,16,0.3,128,0.0075,sgd,60,0.001,0.3631,0.1064
749,4096,60,64,0.3,128,0.025,sgd,60,0.01,0.3567,0.1148
384,4096,30,4,0.1,128,0.0075,adam,60,0.001,0.3563,0.114
577,4096,60,4,0.1,128,0.0075,adam,60,0.01,0.3555,0.1042
733,4096,60,64,0.1,2048,0.025,sgd,60,0.01,0.3547,0.1187
392,4096,30,4,0.1,128,0.025,adam,60,0.001,0.3522,0.1251
628,4096,60,4,0.3,2048,0.0075,sgd,60,0.001,0.3501,0.0771
621,4096,60,4,0.3,128,0.025,sgd,60,0.01,0.3485,0.1032
724,4096,60,64,0.1,2048,0.0075,sgd,60,0.001,0.3433,0.132
612,4096,60,4,0.3,128,0.0075,sgd,60,0.001,0.3428,0.1213
140,2048,30,64,0.1,128,0.025,sgd,60,0.001,0.3412,0.1467
269,2048,60,16,0.1,128,0.025,sgd,60,0.01,0.341,0.0752
337,2048,60,64,0.1,2048,0.0075,adam,60,0.01,0.3405,0.0916
212,2048,60,4,0.1,2048,0.0075,sgd,60,0.001,0.3404,0.0708
709,4096,60,64,0.1,128,0.0075,sgd,60,0.01,0.3396,0.1242
209,2048,60,4,0.1,2048,0.0075,adam,60,0.01,0.3395,0.0873
568,4096,30,64,0.3,2048,0.025,adam,60,0.001,0.3393,0.097
416,4096,30,4,0.3,128,0.0075,adam,60,0.001,0.339,0.1352
716,4096,60,64,0.1,128,0.025,sgd,60,0.001,0.339,0.0943
484,4096,30,16,0.3,128,0.0075,sgd,60,0.001,0.3385,0.1336
420,4096,30,4,0.3,128,0.0075,sgd,60,0.001,0.3383,0.1447
137,2048,30,64,0.1,128,0.025,adam,60,0.01,0.3382,0.0962
657,4096,60,16,0.1,2048,0.0075,adam,60,0.01,0.337,0.091
623,4096,60,4,0.3,128,0.025,sgd,180,0.01,0.3368,0.0889
624,4096,60,4,0.3,2048,0.0075,adam,60,0.001,0.3357,0.0776
459,4096,30,16,0.1,128,0.025,adam,180,0.01,0.3351,0.0979
425,4096,30,4,0.3,128,0.025,adam,60,0.01,0.3349,0.0946
508,4096,30,16,0.3,2048,0.025,sgd,60,0.001,0.3338,0.1561
293,2048,60,16,0.3,128,0.0075,sgd,60,0.01,0.3333,0.1061
721,4096,60,64,0.1,2048,0.0075,adam,60,0.01,0.3332,0.0775
37,2048,30,4,0.3,128,0.0075,sgd,60,0.01,0.3308,0.134
710,4096,60,64,0.1,128,0.0075,sgd,180,0.001,0.3305,0.1569
256,2048,60,16,0.1,128,0.0075,adam,60,0.001,0.3296,0.1194
53,2048,30,4,0.3,2048,0.0075,sgd,60,0.01,0.3296,0.1042
25,2048,30,4,0.1,2048,0.025,adam,60,0.01,0.3288,0.0678
497,4096,30,16,0.3,2048,0.0075,adam,60,0.01,0.327,0.1196
38,2048,30,4,0.3,128,0.0075,sgd,180,0.001,0.3267,0.1502
645,4096,60,16,0.1,128,0.0075,sgd,60,0.01,0.3266,0.1143
512,4096,30,64,0.1,128,0.0075,adam,60,0.001,0.3263,0.1271
48,2048,30,4,0.3,2048,0.0075,adam,60,0.001,0.3255,0.1196
473,4096,30,16,0.1,2048,0.025,adam,60,0.01,0.3251,0.1043
184,2048,30,64,0.3,2048,0.025,adam,60,0.001,0.3251,0.0803
741,4096,60,64,0.3,128,0.0075,sgd,60,0.01,0.3248,0.0983
341,2048,60,64,0.1,2048,0.0075,sgd,60,0.01,0.3237,0.132
79,2048,30,16,0.1,128,0.025,sgd,180,0.01,0.3237,0.1039
173,2048,30,64,0.3,128,0.025,sgd,60,0.01,0.3231,0.1411
648,4096,60,16,0.1,128,0.025,adam,60,0.001,0.323,0.1218
660,4096,60,16,0.1,2048,0.0075,sgd,60,0.001,0.3226,0.1228
569,4096,30,64,0.3,2048,0.025,adam,60,0.01,0.3223,0.0843
687,4096,60,16,0.3,128,0.025,sgd,180,0.01,0.3218,0.1039
615,4096,60,4,0.3,128,0.0075,sgd,180,0.01,0.3217,0.1173
456,4096,30,16,0.1,128,0.025,adam,60,0.001,0.3212,0.101
764,4096,60,64,0.3,2048,0.025,sgd,60,0.001,0.3211,0.1046
77,2048,30,16,0.1,128,0.025,sgd,60,0.01,0.3207,0.1253
396,4096,30,4,0.1,128,0.025,sgd,60,0.001,0.3193,0.1269
290,2048,60,16,0.3,128,0.0075,adam,180,0.001,0.319,0.1198
316,2048,60,16,0.3,2048,0.025,sgd,60,0.001,0.3184,0.0854
226,2048,60,4,0.3,128,0.0075,adam,180,0.001,0.3182,0.0904
725,4096,60,64,0.1,2048,0.0075,sgd,60,0.01,0.317,0.1051
329,2048,60,64,0.1,128,0.025,adam,60,0.01,0.3167,0.0625
467,4096,30,16,0.1,2048,0.0075,adam,180,0.01,0.3162,0.1296
198,2048,60,4,0.1,128,0.0075,sgd,180,0.001,0.3161,0.1068
394,4096,30,4,0.1,128,0.025,adam,180,0.001,0.3159,0.1115
748,4096,60,64,0.3,128,0.025,sgd,60,0.001,0.3158,0.1226
742,4096,60,64,0.3,128,0.0075,sgd,180,0.001,0.3153,0.1436
