,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss
491,1024,65,64,0.5,256,0.01,sgd,45,0.01,0.6781,0.1495
507,1024,65,64,0.5,1048,0.01,sgd,45,0.01,0.6701,0.1428
295,1024,35,16,0.5,256,0.001,adam,45,0.01,0.6694,0.1584
378,1024,35,64,0.5,1048,0.01,sgd,45,0.001,0.6687,0.1853
119,512,35,64,0.5,1048,0.001,adam,45,0.01,0.6683,0.1895
362,1024,35,64,0.5,256,0.01,sgd,45,0.001,0.6683,0.1747
347,1024,35,64,0.1,1048,0.01,sgd,45,0.01,0.6682,0.2078
474,1024,65,64,0.1,1048,0.01,sgd,45,0.001,0.668,0.1645
302,1024,35,16,0.5,256,0.01,adam,45,0.001,0.6678,0.1828
310,1024,35,16,0.5,1048,0.001,adam,45,0.001,0.6673,0.1635
158,512,65,16,0.1,1048,0.01,adam,45,0.001,0.6666,0.1476
379,1024,35,64,0.5,1048,0.01,sgd,45,0.01,0.6661,0.1854
58,512,35,16,0.5,1048,0.01,sgd,45,0.001,0.6657,0.179
10,512,35,16,0.1,256,0.01,sgd,45,0.001,0.665,0.203
123,512,35,64,0.5,1048,0.01,sgd,45,0.01,0.6649,0.1657
95,512,35,64,0.1,1048,0.01,adam,45,0.01,0.6647,0.1939
107,512,35,64,0.5,256,0.01,sgd,45,0.01,0.6646,0.1623
151,512,65,16,0.1,1048,0.001,adam,45,0.01,0.6644,0.1582
391,1024,65,16,0.1,256,0.001,adam,45,0.01,0.6643,0.1546
294,1024,35,16,0.5,256,0.001,adam,45,0.001,0.6641,0.1691
155,512,65,16,0.1,1048,0.01,sgd,45,0.01,0.6641,0.1537
459,1024,65,64,0.1,256,0.01,sgd,45,0.01,0.6637,0.1843
363,1024,35,64,0.5,256,0.01,sgd,45,0.01,0.6632,0.1789
74,512,35,64,0.1,256,0.01,sgd,45,0.001,0.6629,0.1849
346,1024,35,64,0.1,1048,0.01,sgd,45,0.001,0.6624,0.2151
311,1024,35,16,0.5,1048,0.001,adam,45,0.01,0.662,0.1592
430,1024,65,16,0.5,256,0.01,adam,45,0.001,0.6619,0.1605
475,1024,65,64,0.1,1048,0.01,sgd,45,0.01,0.6613,0.1694
426,1024,65,16,0.5,256,0.01,sgd,45,0.001,0.6613,0.1316
235,512,65,64,0.5,256,0.01,sgd,45,0.01,0.6612,0.1337
314,1024,35,16,0.5,1048,0.01,sgd,45,0.001,0.6611,0.1813
11,512,35,16,0.1,256,0.01,sgd,45,0.01,0.661,0.1987
