,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss
152,128,25,128,0.1,2048,0.025,adam,15,0.005,0.3026,0.124
478,256,25,64,0.1,2048,0.025,sgd,45,0.005,0.3022,0.2177
636,256,50,8,0.5,2048,0.025,sgd,15,0.005,0.3021,0.1211
631,256,50,8,0.5,2048,0.001,sgd,45,0.05,0.302,0.0492
654,256,50,64,0.1,512,0.025,sgd,45,0.005,0.3007,0.1641
208,128,50,8,0.1,2048,0.001,adam,15,0.005,0.3007,0.1493
268,128,50,64,0.1,512,0.025,sgd,15,0.005,0.3005,0.1216
514,256,25,128,0.1,512,0.001,adam,45,0.005,0.3001,0.2027
541,256,25,128,0.1,2048,0.025,sgd,15,0.05,0.2996,0.1548
496,256,25,64,0.5,2048,0.001,adam,15,0.005,0.2995,0.144
504,256,25,64,0.5,2048,0.025,adam,15,0.005,0.2993,0.1169
561,256,25,128,0.5,2048,0.001,adam,15,0.05,0.2992,0.1869
538,256,25,128,0.1,2048,0.025,adam,45,0.005,0.2989,0.132
583,256,50,8,0.1,512,0.001,sgd,45,0.05,0.2989,0.0507
508,256,25,64,0.5,2048,0.025,sgd,15,0.005,0.2987,0.1364
407,256,25,8,0.1,2048,0.001,sgd,45,0.05,0.2986,0.1182
270,128,50,64,0.1,512,0.025,sgd,45,0.005,0.2979,0.2081
615,256,50,8,0.5,512,0.001,sgd,45,0.05,0.2979,0.0464
439,256,25,8,0.5,2048,0.001,sgd,45,0.05,0.2974,0.097
337,128,50,128,0.1,2048,0.001,adam,15,0.05,0.2969,0.171
0,128,25,8,0.1,512,0.001,adam,15,0.005,0.2967,0.1746
696,256,50,64,0.5,2048,0.025,adam,15,0.005,0.2965,0.1105
764,256,50,128,0.5,2048,0.025,sgd,15,0.005,0.2962,0.1337
684,256,50,64,0.5,512,0.025,sgd,15,0.005,0.296,0.154
544,256,25,128,0.5,512,0.001,adam,15,0.005,0.2959,0.1986
632,256,50,8,0.5,2048,0.025,adam,15,0.005,0.2959,0.0969
633,256,50,8,0.5,2048,0.025,adam,15,0.05,0.2953,0.0953
560,256,25,128,0.5,2048,0.001,adam,15,0.005,0.2951,0.1676
390,256,25,8,0.1,512,0.001,sgd,45,0.005,0.2951,0.0731
424,256,25,8,0.5,512,0.025,adam,15,0.005,0.2938,0.1025
577,256,50,8,0.1,512,0.001,adam,15,0.05,0.2937,0.1299
234,128,50,8,0.5,512,0.025,adam,45,0.005,0.2937,0.1084
286,128,50,64,0.1,2048,0.025,sgd,45,0.005,0.2936,0.2149
460,256,25,64,0.1,512,0.025,sgd,15,0.005,0.2934,0.2087
1,128,25,8,0.1,512,0.001,adam,15,0.05,0.2931,0.177
546,256,25,128,0.5,512,0.001,adam,45,0.005,0.2929,0.212
32,128,25,8,0.5,512,0.001,adam,15,0.005,0.2929,0.1686
492,256,25,64,0.5,512,0.025,sgd,15,0.005,0.2926,0.1476
706,256,50,128,0.1,512,0.001,adam,45,0.005,0.2924,0.19
274,128,50,64,0.1,2048,0.001,adam,45,0.005,0.2924,0.1656
466,256,25,64,0.1,2048,0.001,adam,45,0.005,0.2923,0.2152
421,256,25,8,0.5,512,0.001,sgd,15,0.05,0.2919,0.1383
520,256,25,128,0.1,512,0.025,adam,15,0.005,0.2912,0.1774
222,128,50,8,0.1,2048,0.025,sgd,45,0.005,0.2908,0.159
176,128,25,128,0.5,2048,0.001,adam,15,0.005,0.2905,0.1356
432,256,25,8,0.5,2048,0.001,adam,15,0.005,0.2903,0.1595
224,128,50,8,0.5,512,0.001,adam,15,0.005,0.2903,0.1022
43,128,25,8,0.5,512,0.025,adam,45,0.05,0.2901,0.1403
193,128,50,8,0.1,512,0.001,adam,15,0.05,0.2901,0.1263
718,256,50,128,0.1,512,0.025,sgd,45,0.005,0.2898,0.2113
388,256,25,8,0.1,512,0.001,sgd,15,0.005,0.2898,0.1431
37,128,25,8,0.5,512,0.001,sgd,15,0.05,0.2897,0.1535
552,256,25,128,0.5,512,0.025,adam,15,0.005,0.2896,0.1336
614,256,50,8,0.5,512,0.001,sgd,45,0.005,0.2891,0.0493
462,256,25,64,0.1,512,0.025,sgd,45,0.005,0.289,0.2098
406,256,25,8,0.1,2048,0.001,sgd,45,0.005,0.289,0.093
148,128,25,128,0.1,2048,0.001,sgd,15,0.005,0.2878,0.1739
54,128,25,8,0.5,2048,0.001,sgd,45,0.005,0.2875,0.1178
642,256,50,64,0.1,512,0.001,adam,45,0.005,0.2872,0.216
76,128,25,64,0.1,512,0.025,sgd,15,0.005,0.2869,0.2015
237,128,50,8,0.5,512,0.025,sgd,15,0.05,0.2867,0.0772
162,128,25,128,0.5,512,0.001,adam,45,0.005,0.2859,0.197
360,128,50,128,0.5,512,0.025,adam,15,0.005,0.2854,0.0777
658,256,50,64,0.1,2048,0.001,adam,45,0.005,0.2844,0.222
400,256,25,8,0.1,2048,0.001,adam,15,0.005,0.2836,0.1583
668,256,50,64,0.1,2048,0.025,sgd,15,0.005,0.2833,0.1959
40,128,25,8,0.5,512,0.025,adam,15,0.005,0.2832,0.1697
258,128,50,64,0.1,512,0.001,adam,45,0.005,0.2827,0.2077
17,128,25,8,0.1,2048,0.001,adam,15,0.05,0.2824,0.1539
78,128,25,64,0.1,512,0.025,sgd,45,0.005,0.2823,0.2224
305,128,50,64,0.5,2048,0.001,adam,15,0.05,0.2809,0.1258
350,128,50,128,0.1,2048,0.025,sgd,45,0.005,0.2803,0.2157
96,128,25,64,0.5,512,0.001,adam,15,0.005,0.2803,0.1585
664,256,50,64,0.1,2048,0.025,adam,15,0.005,0.2793,0.1262
617,256,50,8,0.5,512,0.025,adam,15,0.05,0.2789,0.0735
229,128,50,8,0.5,512,0.001,sgd,15,0.05,0.2786,0.0972
288,128,50,64,0.5,512,0.001,adam,15,0.005,0.2774,0.132
380,128,50,128,0.5,2048,0.025,sgd,15,0.005,0.2758,0.1362
340,128,50,128,0.1,2048,0.001,sgd,15,0.005,0.2757,0.1393
203,128,50,8,0.1,512,0.025,adam,45,0.05,0.2751,0.0998
598,256,50,8,0.1,2048,0.001,sgd,45,0.005,0.2747,0.0504
257,128,50,64,0.1,512,0.001,adam,15,0.05,0.2745,0.1629
220,128,50,8,0.1,2048,0.025,sgd,15,0.005,0.2743,0.0885
450,256,25,64,0.1,512,0.001,adam,45,0.005,0.2741,0.1995
592,256,50,8,0.1,2048,0.001,adam,15,0.005,0.2741,0.1376
236,128,50,8,0.5,512,0.025,sgd,15,0.005,0.274,0.1251
184,128,25,128,0.5,2048,0.025,adam,15,0.005,0.2738,0.0845
443,256,25,8,0.5,2048,0.025,adam,45,0.05,0.2734,0.1189
542,256,25,128,0.1,2048,0.025,sgd,45,0.005,0.2732,0.2152
545,256,25,128,0.5,512,0.001,adam,15,0.05,0.2732,0.1543
476,256,25,64,0.1,2048,0.025,sgd,15,0.005,0.2729,0.189
109,128,25,64,0.5,512,0.025,sgd,15,0.05,0.2717,0.1322
65,128,25,64,0.1,512,0.001,adam,15,0.05,0.2714,0.155
722,256,50,128,0.1,2048,0.001,adam,45,0.005,0.2708,0.2139
582,256,50,8,0.1,512,0.001,sgd,45,0.005,0.2706,0.0504
392,256,25,8,0.1,512,0.025,adam,15,0.005,0.2702,0.1523
422,256,25,8,0.5,512,0.001,sgd,45,0.005,0.2692,0.0814
324,128,50,128,0.1,512,0.001,sgd,15,0.005,0.2688,0.1395
721,256,50,128,0.1,2048,0.001,adam,15,0.05,0.2686,0.1667
716,256,50,128,0.1,512,0.025,sgd,15,0.005,0.2682,0.1523
576,256,50,8,0.1,512,0.001,adam,15,0.005,0.2666,0.1355
334,128,50,128,0.1,512,0.025,sgd,45,0.005,0.2661,0.2115
723,256,50,128,0.1,2048,0.001,adam,45,0.05,0.2659,0.1981
172,128,25,128,0.5,512,0.025,sgd,15,0.005,0.2646,0.1342
348,128,50,128,0.1,2048,0.025,sgd,15,0.005,0.2645,0.1644
8,128,25,8,0.1,512,0.025,adam,15,0.005,0.2641,0.1405
140,128,25,128,0.1,512,0.025,sgd,15,0.005,0.2635,0.1702
361,128,50,128,0.5,512,0.025,adam,15,0.05,0.2631,0.0544
736,256,50,128,0.5,512,0.001,adam,15,0.005,0.2627,0.1428
440,256,25,8,0.5,2048,0.025,adam,15,0.005,0.2624,0.0976
112,128,25,64,0.5,2048,0.001,adam,15,0.005,0.262,0.1503
38,128,25,8,0.5,512,0.001,sgd,45,0.005,0.2614,0.1083
216,128,50,8,0.1,2048,0.025,adam,15,0.005,0.2604,0.088
572,256,25,128,0.5,2048,0.025,sgd,15,0.005,0.2598,0.1425
60,128,25,8,0.5,2048,0.025,sgd,15,0.005,0.2592,0.2112
752,256,50,128,0.5,2048,0.001,adam,15,0.005,0.2588,0.1668
94,128,25,64,0.1,2048,0.025,sgd,45,0.005,0.2578,0.2065
160,128,25,128,0.5,512,0.001,adam,15,0.005,0.2576,0.1386
734,256,50,128,0.1,2048,0.025,sgd,45,0.005,0.2571,0.204
352,128,50,128,0.5,512,0.001,adam,15,0.005,0.257,0.1357
744,256,50,128,0.5,512,0.025,adam,15,0.005,0.2562,0.0532
77,128,25,64,0.1,512,0.025,sgd,15,0.05,0.2538,0.1194
376,128,50,128,0.5,2048,0.025,adam,15,0.005,0.2537,0.0708
146,128,25,128,0.1,2048,0.001,adam,45,0.005,0.2533,0.2161
657,256,50,64,0.1,2048,0.001,adam,15,0.05,0.2532,0.1589
18,128,25,8,0.1,2048,0.001,adam,45,0.005,0.2531,0.1639
322,128,50,128,0.1,512,0.001,adam,45,0.005,0.2517,0.1834
248,128,50,8,0.5,2048,0.025,adam,15,0.005,0.25,0.1068
320,128,50,128,0.1,512,0.001,adam,15,0.005,0.2499,0.193
53,128,25,8,0.5,2048,0.001,sgd,15,0.05,0.2485,0.1228
296,128,50,64,0.5,512,0.025,adam,15,0.005,0.2484,0.0722
556,256,25,128,0.5,512,0.025,sgd,15,0.005,0.2482,0.1554
173,128,25,128,0.5,512,0.025,sgd,15,0.05,0.2482,0.0691
7,128,25,8,0.1,512,0.001,sgd,45,0.05,0.2481,0.114
444,256,25,8,0.5,2048,0.025,sgd,15,0.005,0.2476,0.2124
91,128,25,64,0.1,2048,0.025,adam,45,0.05,0.2469,0.0785
156,128,25,128,0.1,2048,0.025,sgd,15,0.005,0.2464,0.1772
524,256,25,128,0.1,512,0.025,sgd,15,0.005,0.2459,0.1958
540,256,25,128,0.1,2048,0.025,sgd,15,0.005,0.2457,0.1871
530,256,25,128,0.1,2048,0.001,adam,45,0.005,0.2452,0.1985
441,256,25,8,0.5,2048,0.025,adam,15,0.05,0.2445,0.0787
142,128,25,128,0.1,512,0.025,sgd,45,0.005,0.244,0.2103
720,256,50,128,0.1,2048,0.001,adam,15,0.005,0.244,0.1525
125,128,25,64,0.5,2048,0.025,sgd,15,0.05,0.2423,0.0983
93,128,25,64,0.1,2048,0.025,sgd,15,0.05,0.2404,0.0652
297,128,50,64,0.5,512,0.025,adam,15,0.05,0.2403,0.0743
64,128,25,64,0.1,512,0.001,adam,15,0.005,0.2398,0.1741
521,256,25,128,0.1,512,0.025,adam,15,0.05,0.2385,0.0935
377,128,50,128,0.5,2048,0.025,adam,15,0.05,0.2381,0.0689
513,256,25,128,0.1,512,0.001,adam,15,0.05,0.237,0.2042
144,128,25,128,0.1,2048,0.001,adam,15,0.005,0.237,0.1848
616,256,50,8,0.5,512,0.025,adam,15,0.005,0.235,0.0683
157,128,25,128,0.1,2048,0.025,sgd,15,0.05,0.2344,0.0904
158,128,25,128,0.1,2048,0.025,sgd,45,0.005,0.2342,0.2144
188,128,25,128,0.5,2048,0.025,sgd,15,0.005,0.2336,0.1521
281,128,50,64,0.1,2048,0.025,adam,15,0.05,0.2335,0.055
13,128,25,8,0.1,512,0.025,sgd,15,0.05,0.233,0.0458
66,128,25,64,0.1,512,0.001,adam,45,0.005,0.2325,0.2087
553,256,25,128,0.5,512,0.025,adam,15,0.05,0.2319,0.0845
393,256,25,8,0.1,512,0.025,adam,15,0.05,0.2294,0.0763
232,128,50,8,0.5,512,0.025,adam,15,0.005,0.2256,0.055
464,256,25,64,0.1,2048,0.001,adam,15,0.005,0.2228,0.1882
141,128,25,128,0.1,512,0.025,sgd,15,0.05,0.2228,0.0852
29,128,25,8,0.1,2048,0.025,sgd,15,0.05,0.2226,0.0627
512,256,25,128,0.1,512,0.001,adam,15,0.005,0.2205,0.1904
528,256,25,128,0.1,2048,0.001,adam,15,0.005,0.2202,0.187
82,128,25,64,0.1,2048,0.001,adam,45,0.005,0.2201,0.1879
128,128,25,128,0.1,512,0.001,adam,15,0.005,0.2198,0.1673
489,256,25,64,0.5,512,0.025,adam,15,0.05,0.2192,0.1047
80,128,25,64,0.1,2048,0.001,adam,15,0.005,0.2186,0.1831
640,256,50,64,0.1,512,0.001,adam,15,0.005,0.2183,0.1712
130,128,25,128,0.1,512,0.001,adam,45,0.005,0.2162,0.2082
649,256,50,64,0.1,512,0.025,adam,15,0.05,0.2151,0.0762
336,128,50,128,0.1,2048,0.001,adam,15,0.005,0.212,0.1561
256,128,50,64,0.1,512,0.001,adam,15,0.005,0.2091,0.1525
189,128,25,128,0.5,2048,0.025,sgd,15,0.05,0.2056,0.0699
457,256,25,64,0.1,512,0.025,adam,15,0.05,0.2021,0.0671
81,128,25,64,0.1,2048,0.001,adam,15,0.05,0.202,0.1416
656,256,50,64,0.1,2048,0.001,adam,15,0.005,0.2015,0.1677
15,128,25,8,0.1,512,0.025,sgd,45,0.05,0.2014,0.0914
252,128,50,8,0.5,2048,0.025,sgd,15,0.005,0.2005,0.1038
217,128,50,8,0.1,2048,0.025,adam,15,0.05,0.1984,0.084
704,256,50,128,0.1,512,0.001,adam,15,0.005,0.1968,0.18
338,128,50,128,0.1,2048,0.001,adam,45,0.005,0.1955,0.1915
272,128,50,64,0.1,2048,0.001,adam,15,0.005,0.1915,0.1343
537,256,25,128,0.1,2048,0.025,adam,15,0.05,0.1898,0.0965
448,256,25,64,0.1,512,0.001,adam,15,0.005,0.1897,0.1941
45,128,25,8,0.5,512,0.025,sgd,15,0.05,0.183,0.0527
411,256,25,8,0.1,2048,0.025,adam,45,0.05,0.1827,0.0942
123,128,25,64,0.5,2048,0.025,adam,45,0.05,0.1779,0.1102
473,256,25,64,0.1,2048,0.025,adam,15,0.05,0.169,0.0738
569,256,25,128,0.5,2048,0.025,adam,15,0.05,0.1686,0.0588
27,128,25,8,0.1,2048,0.025,adam,45,0.05,0.1646,0.0709
201,128,50,8,0.1,512,0.025,adam,15,0.05,0.1517,0.0362
36,128,25,8,0.5,512,0.001,sgd,15,0.005,0.1497,0.0642
249,128,50,8,0.5,2048,0.025,adam,15,0.05,0.1495,0.0238
345,128,50,128,0.1,2048,0.025,adam,15,0.05,0.1403,0.0398
425,256,25,8,0.5,512,0.025,adam,15,0.05,0.1369,0.0659
313,128,50,64,0.5,2048,0.025,adam,15,0.05,0.1301,0.0257
25,128,25,8,0.1,2048,0.025,adam,15,0.05,0.1186,0.0486
57,128,25,8,0.5,2048,0.025,adam,15,0.05,0.1075,0.0487
61,128,25,8,0.5,2048,0.025,sgd,15,0.05,0.1058,0.0478
