,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss
220,1024,65,32,0.25,2048,0.025,sgd,45,0.02,0.6761,0.1727
225,1024,65,128,0.1,1024,0.005,sgd,45,0.04,0.6748,0.1448
197,1024,65,32,0.1,1024,0.025,sgd,45,0.04,0.6678,0.1566
207,1024,65,32,0.1,2048,0.025,adam,45,0.04,0.6638,0.128
92,512,65,32,0.25,2048,0.025,sgd,45,0.02,0.6632,0.1499
240,1024,65,128,0.25,1024,0.005,sgd,45,0.02,0.6632,0.1438
241,1024,65,128,0.25,1024,0.005,sgd,45,0.04,0.6631,0.1413
244,1024,65,128,0.25,1024,0.025,sgd,45,0.02,0.663,0.1667
234,1024,65,128,0.1,2048,0.005,adam,45,0.02,0.6627,0.1716
122,512,65,128,0.25,2048,0.005,adam,45,0.02,0.6621,0.151
229,1024,65,128,0.1,1024,0.025,sgd,45,0.04,0.6602,0.1578
249,1024,65,128,0.25,2048,0.005,sgd,45,0.04,0.6601,0.1373
224,1024,65,128,0.1,1024,0.005,sgd,45,0.02,0.6599,0.1555
120,512,65,128,0.25,2048,0.005,sgd,45,0.02,0.6583,0.1278
205,1024,65,32,0.1,2048,0.025,sgd,45,0.04,0.6572,0.1629
217,1024,65,32,0.25,2048,0.005,sgd,45,0.04,0.6563,0.123
212,1024,65,32,0.25,1024,0.025,sgd,45,0.02,0.6558,0.1594
105,512,65,128,0.1,2048,0.005,sgd,45,0.04,0.6558,0.1418
112,512,65,128,0.25,1024,0.005,sgd,45,0.02,0.6558,0.1329
106,512,65,128,0.1,2048,0.005,adam,45,0.02,0.6556,0.1473
233,1024,65,128,0.1,2048,0.005,sgd,45,0.04,0.6554,0.1393
248,1024,65,128,0.25,2048,0.005,sgd,45,0.02,0.6551,0.1375
95,512,65,32,0.25,2048,0.025,adam,45,0.04,0.6539,0.1351
96,512,65,128,0.1,1024,0.005,sgd,45,0.02,0.653,0.1573
87,512,65,32,0.25,1024,0.025,adam,45,0.04,0.653,0.128
104,512,65,128,0.1,2048,0.005,sgd,45,0.02,0.6528,0.1578
88,512,65,32,0.25,2048,0.005,sgd,45,0.02,0.6527,0.1306
242,1024,65,128,0.25,1024,0.005,adam,45,0.02,0.6522,0.1584
216,1024,65,32,0.25,2048,0.005,sgd,45,0.02,0.6522,0.1276
69,512,65,32,0.1,1024,0.025,sgd,45,0.04,0.652,0.1305
198,1024,65,32,0.1,1024,0.025,adam,45,0.02,0.6511,0.1342
232,1024,65,128,0.1,2048,0.005,sgd,45,0.02,0.6509,0.1548
250,1024,65,128,0.25,2048,0.005,adam,45,0.02,0.6497,0.1591
227,1024,65,128,0.1,1024,0.005,adam,45,0.04,0.6483,0.1606
211,1024,65,32,0.25,1024,0.005,adam,45,0.04,0.6476,0.1476
208,1024,65,32,0.25,1024,0.005,sgd,45,0.02,0.6473,0.1254
228,1024,65,128,0.1,1024,0.025,sgd,45,0.02,0.6471,0.1642
231,1024,65,128,0.1,1024,0.025,adam,45,0.04,0.6471,0.1281
194,1024,65,32,0.1,1024,0.005,adam,45,0.02,0.6469,0.1612
243,1024,65,128,0.25,1024,0.005,adam,45,0.04,0.6469,0.1442
72,512,65,32,0.1,2048,0.005,sgd,45,0.02,0.6469,0.1294
203,1024,65,32,0.1,2048,0.005,adam,45,0.04,0.6465,0.1516
196,1024,65,32,0.1,1024,0.025,sgd,45,0.02,0.6464,0.1504
210,1024,65,32,0.25,1024,0.005,adam,45,0.02,0.6462,0.1661
89,512,65,32,0.25,2048,0.005,sgd,45,0.04,0.646,0.1182
94,512,65,32,0.25,2048,0.025,adam,45,0.02,0.6447,0.1207
84,512,65,32,0.25,1024,0.025,sgd,45,0.02,0.6442,0.1334
67,512,65,32,0.1,1024,0.005,adam,45,0.04,0.6442,0.1331
68,512,65,32,0.1,1024,0.025,sgd,45,0.02,0.6439,0.1444
221,1024,65,32,0.25,2048,0.025,sgd,45,0.04,0.6434,0.1472
200,1024,65,32,0.1,2048,0.005,sgd,45,0.02,0.643,0.1274
121,512,65,128,0.25,2048,0.005,sgd,45,0.04,0.643,0.1197
251,1024,65,128,0.25,2048,0.005,adam,45,0.04,0.6422,0.1262
204,1024,65,32,0.1,2048,0.025,sgd,45,0.02,0.642,0.1543
64,512,65,32,0.1,1024,0.005,sgd,45,0.02,0.642,0.1297
65,512,65,32,0.1,1024,0.005,sgd,45,0.04,0.6416,0.116
253,1024,65,128,0.25,2048,0.025,sgd,45,0.04,0.6413,0.1243
107,512,65,128,0.1,2048,0.005,adam,45,0.04,0.6412,0.1581
209,1024,65,32,0.25,1024,0.005,sgd,45,0.04,0.6411,0.1162
201,1024,65,32,0.1,2048,0.005,sgd,45,0.04,0.6404,0.1206
91,512,65,32,0.25,2048,0.005,adam,45,0.04,0.6403,0.1409
247,1024,65,128,0.25,1024,0.025,adam,45,0.04,0.6397,0.1166
74,512,65,32,0.1,2048,0.005,adam,45,0.02,0.6396,0.1399
125,512,65,128,0.25,2048,0.025,sgd,45,0.04,0.6394,0.1274
77,512,65,32,0.1,2048,0.025,sgd,45,0.04,0.6393,0.1214
245,1024,65,128,0.25,1024,0.025,sgd,45,0.04,0.638,0.1225
193,1024,65,32,0.1,1024,0.005,sgd,45,0.04,0.638,0.1173
