,batch_size,bce_pos_class_weight,dropout_p,hidden_layer_size,input_layer_norm,lr,num_layers,optimizer_type,sequence_length,weight_decay,tss,hss
762,256,45,0.1,4,False,0.0075,2,adam,15,0.01,0.3586,0.1512
346,128,45,0.1,32,False,0.005,2,adam,45,0.01,0.3585,0.1697
764,256,45,0.1,4,False,0.0075,2,adam,40,0.01,0.3585,0.1626
342,128,45,0.1,32,False,0.005,2,adam,15,0.01,0.3584,0.1645
459,256,15,0.1,4,False,0.005,1,adam,40,0.05,0.3583,0.2059
581,256,30,0.1,2,False,0.005,1,adam,45,0.05,0.3583,0.1869
55,128,15,0.1,32,False,0.005,2,adam,15,0.05,0.3582,0.2065
133,128,15,0.5,32,False,0.0075,1,adam,15,0.05,0.3582,0.2058
136,128,15,0.5,32,False,0.0075,1,adam,45,0.01,0.3579,0.1688
7,128,15,0.1,2,False,0.005,2,adam,15,0.05,0.3577,0.2108
270,128,30,0.5,32,False,0.005,2,adam,15,0.01,0.3577,0.1467
462,256,15,0.1,4,False,0.005,2,adam,15,0.01,0.3575,0.2023
470,256,15,0.1,4,False,0.0075,1,adam,40,0.01,0.3574,0.2318
446,256,15,0.1,2,False,0.0075,1,adam,40,0.01,0.3574,0.2122
47,128,15,0.1,4,False,0.0075,2,adam,45,0.05,0.3574,0.2081
166,128,30,0.1,2,False,0.0075,2,adam,45,0.01,0.3574,0.1577
463,256,15,0.1,4,False,0.005,2,adam,15,0.05,0.3573,0.2041
510,256,15,0.5,2,False,0.005,2,adam,15,0.01,0.3571,0.2256
559,256,15,0.5,32,False,0.005,2,adam,15,0.05,0.3571,0.2127
482,256,15,0.1,32,False,0.005,1,adam,40,0.01,0.357,0.2049
154,128,30,0.1,2,False,0.005,2,adam,45,0.01,0.3566,0.1685
206,128,30,0.1,32,False,0.0075,1,adam,40,0.01,0.3565,0.1876
544,256,15,0.5,4,False,0.0075,1,adam,45,0.01,0.3564,0.2066
554,256,15,0.5,32,False,0.005,1,adam,40,0.01,0.3563,0.2036
198,128,30,0.1,32,False,0.005,2,adam,15,0.01,0.3562,0.1711
1,128,15,0.1,2,False,0.005,1,adam,15,0.05,0.3561,0.2274
714,256,30,0.5,32,False,0.0075,2,adam,15,0.01,0.3561,0.1743
129,128,15,0.5,32,False,0.005,2,adam,40,0.05,0.356,0.2185
308,128,45,0.1,2,False,0.0075,2,adam,40,0.01,0.356,0.1587
834,256,45,0.5,4,False,0.0075,2,adam,15,0.01,0.356,0.1427
139,128,15,0.5,32,False,0.0075,2,adam,15,0.05,0.3559,0.1879
210,128,30,0.1,32,False,0.0075,2,adam,15,0.01,0.3559,0.1492
734,256,45,0.1,2,False,0.0075,1,adam,40,0.01,0.3558,0.1323
138,128,15,0.5,32,False,0.0075,2,adam,15,0.01,0.3554,0.2051
112,128,15,0.5,4,False,0.0075,1,adam,45,0.01,0.3553,0.2418
598,256,30,0.1,2,False,0.0075,2,adam,45,0.01,0.3553,0.1607
478,256,15,0.1,4,False,0.0075,2,adam,45,0.01,0.3551,0.1988
28,128,15,0.1,4,False,0.005,1,adam,45,0.01,0.355,0.2175
499,256,15,0.1,32,False,0.0075,2,adam,15,0.05,0.355,0.2093
680,256,30,0.5,4,False,0.005,2,adam,40,0.01,0.355,0.169
134,128,15,0.5,32,False,0.0075,1,adam,40,0.01,0.3549,0.2082
592,256,30,0.1,2,False,0.0075,1,adam,45,0.01,0.3549,0.1533
449,256,15,0.1,2,False,0.0075,1,adam,45,0.05,0.3545,0.2251
624,256,30,0.1,32,False,0.005,1,adam,15,0.01,0.3544,0.1892
516,256,15,0.5,2,False,0.0075,1,adam,15,0.01,0.3539,0.2299
13,128,15,0.1,2,False,0.0075,1,adam,15,0.05,0.3538,0.2199
33,128,15,0.1,4,False,0.005,2,adam,40,0.05,0.3537,0.1894
234,128,30,0.5,2,False,0.0075,2,adam,15,0.01,0.3537,0.1797
457,256,15,0.1,4,False,0.005,1,adam,15,0.05,0.3536,0.2094
18,128,15,0.1,2,False,0.0075,2,adam,15,0.01,0.3534,0.2155
148,128,30,0.1,2,False,0.005,1,adam,45,0.01,0.3532,0.1766
774,256,45,0.1,32,False,0.005,2,adam,15,0.01,0.3532,0.1437
556,256,15,0.5,32,False,0.005,1,adam,45,0.01,0.353,0.2013
46,128,15,0.1,4,False,0.0075,2,adam,45,0.01,0.353,0.1946
642,256,30,0.1,32,False,0.0075,2,adam,15,0.01,0.353,0.1587
363,128,45,0.5,2,False,0.005,1,adam,40,0.05,0.353,0.1217
110,128,15,0.5,4,False,0.0075,1,adam,40,0.01,0.3528,0.2364
341,128,45,0.1,32,False,0.005,1,adam,45,0.05,0.3526,0.1234
196,128,30,0.1,32,False,0.005,1,adam,45,0.01,0.3525,0.1583
20,128,15,0.1,2,False,0.0075,2,adam,40,0.01,0.3524,0.1904
3,128,15,0.1,2,False,0.005,1,adam,40,0.05,0.3523,0.1979
394,128,45,0.5,4,False,0.005,2,adam,45,0.01,0.3523,0.1786
692,256,30,0.5,4,False,0.0075,2,adam,40,0.01,0.3522,0.169
4,128,15,0.1,2,False,0.005,1,adam,45,0.01,0.3521,0.2379
786,256,45,0.1,32,False,0.0075,2,adam,15,0.01,0.3521,0.1557
142,128,15,0.5,32,False,0.0075,2,adam,45,0.01,0.352,0.1715
119,128,15,0.5,4,False,0.0075,2,adam,45,0.05,0.3519,0.1988
668,256,30,0.5,2,False,0.0075,2,adam,40,0.01,0.3517,0.1549
543,256,15,0.5,4,False,0.0075,1,adam,40,0.05,0.3514,0.2108
722,256,45,0.1,2,False,0.005,1,adam,40,0.01,0.3514,0.1664
479,256,15,0.1,4,False,0.0075,2,adam,45,0.05,0.3513,0.1936
274,128,30,0.5,32,False,0.005,2,adam,45,0.01,0.3513,0.1679
62,128,15,0.1,32,False,0.0075,1,adam,40,0.01,0.3511,0.1916
570,256,15,0.5,32,False,0.0075,2,adam,15,0.01,0.351,0.2062
461,256,15,0.1,4,False,0.005,1,adam,45,0.05,0.351,0.2052
452,256,15,0.1,2,False,0.0075,2,adam,40,0.01,0.3509,0.1719
658,256,30,0.5,2,False,0.005,2,adam,45,0.01,0.3503,0.186
465,256,15,0.1,4,False,0.005,2,adam,40,0.05,0.3502,0.1966
256,128,30,0.5,4,False,0.0075,1,adam,45,0.01,0.3501,0.1627
186,128,30,0.1,4,False,0.0075,2,adam,15,0.01,0.3499,0.1565
472,256,15,0.1,4,False,0.0075,1,adam,45,0.01,0.3495,0.2043
754,256,45,0.1,4,False,0.005,2,adam,45,0.01,0.3495,0.1428
107,128,15,0.5,4,False,0.005,2,adam,45,0.05,0.3494,0.2085
45,128,15,0.1,4,False,0.0075,2,adam,40,0.05,0.3491,0.1834
694,256,30,0.5,4,False,0.0075,2,adam,45,0.01,0.3488,0.1739
522,256,15,0.5,2,False,0.0075,2,adam,15,0.01,0.3487,0.2394
407,128,45,0.5,4,False,0.0075,2,adam,45,0.05,0.3485,0.1265
54,128,15,0.1,32,False,0.005,2,adam,15,0.01,0.3482,0.1962
19,128,15,0.1,2,False,0.0075,2,adam,15,0.05,0.348,0.1934
420,128,45,0.5,32,False,0.0075,1,adam,15,0.01,0.3479,0.1361
519,256,15,0.5,2,False,0.0075,1,adam,40,0.05,0.3475,0.2098
471,256,15,0.1,4,False,0.0075,1,adam,40,0.05,0.3475,0.1964
24,128,15,0.1,4,False,0.005,1,adam,15,0.01,0.3471,0.2102
43,128,15,0.1,4,False,0.0075,2,adam,15,0.05,0.3471,0.1953
130,128,15,0.5,32,False,0.005,2,adam,45,0.01,0.3463,0.1942
214,128,30,0.1,32,False,0.0075,2,adam,45,0.01,0.3463,0.1765
106,128,15,0.5,4,False,0.005,2,adam,45,0.01,0.3461,0.2074
766,256,45,0.1,4,False,0.0075,2,adam,45,0.01,0.3455,0.1569
836,256,45,0.5,4,False,0.0075,2,adam,40,0.01,0.3452,0.1667
105,128,15,0.5,4,False,0.005,2,adam,40,0.05,0.345,0.1919
261,128,30,0.5,4,False,0.0075,2,adam,40,0.05,0.345,0.1553
846,256,45,0.5,32,False,0.005,2,adam,15,0.01,0.3448,0.1563
558,256,15,0.5,32,False,0.005,2,adam,15,0.01,0.3446,0.1957
418,128,45,0.5,32,False,0.005,2,adam,45,0.01,0.3446,0.1475
466,256,15,0.1,4,False,0.005,2,adam,45,0.01,0.3445,0.183
590,256,30,0.1,2,False,0.0075,1,adam,40,0.01,0.3444,0.1714
31,128,15,0.1,4,False,0.005,2,adam,15,0.05,0.3441,0.2051
504,256,15,0.5,2,False,0.005,1,adam,15,0.01,0.3439,0.2196
146,128,30,0.1,2,False,0.005,1,adam,40,0.01,0.3437,0.1683
118,128,15,0.5,4,False,0.0075,2,adam,45,0.01,0.3434,0.2136
190,128,30,0.1,4,False,0.0075,2,adam,45,0.01,0.3433,0.1742
730,256,45,0.1,2,False,0.005,2,adam,45,0.01,0.3432,0.1357
248,128,30,0.5,4,False,0.005,2,adam,40,0.01,0.3428,0.1654
42,128,15,0.1,4,False,0.0075,2,adam,15,0.01,0.3426,0.1927
104,128,15,0.5,4,False,0.005,2,adam,40,0.01,0.3422,0.2136
286,128,30,0.5,32,False,0.0075,2,adam,45,0.01,0.342,0.1501
486,256,15,0.1,32,False,0.005,2,adam,15,0.01,0.3415,0.1957
102,128,15,0.5,4,False,0.005,2,adam,15,0.01,0.3414,0.2039
35,128,15,0.1,4,False,0.005,2,adam,45,0.05,0.3414,0.2026
858,256,45,0.5,32,False,0.0075,2,adam,15,0.01,0.3412,0.1516
436,256,15,0.1,2,False,0.005,1,adam,45,0.01,0.3409,0.1881
22,128,15,0.1,2,False,0.0075,2,adam,45,0.01,0.3406,0.1887
93,128,15,0.5,2,False,0.0075,2,adam,40,0.05,0.3402,0.1693
728,256,45,0.1,2,False,0.005,2,adam,40,0.01,0.3402,0.1529
178,128,30,0.1,4,False,0.005,2,adam,45,0.01,0.34,0.1523
526,256,15,0.5,2,False,0.0075,2,adam,45,0.01,0.3397,0.2214
571,256,15,0.5,32,False,0.0075,2,adam,15,0.05,0.3397,0.1959
536,256,15,0.5,4,False,0.005,2,adam,40,0.01,0.3395,0.2229
524,256,15,0.5,2,False,0.0075,2,adam,40,0.01,0.3392,0.188
268,128,30,0.5,32,False,0.005,1,adam,45,0.01,0.3391,0.1588
75,128,15,0.5,2,False,0.005,1,adam,40,0.05,0.339,0.2012
103,128,15,0.5,4,False,0.005,2,adam,15,0.05,0.3383,0.1978
477,256,15,0.1,4,False,0.0075,2,adam,40,0.05,0.3383,0.1949
116,128,15,0.5,4,False,0.0075,2,adam,40,0.01,0.3381,0.1846
340,128,45,0.1,32,False,0.005,1,adam,45,0.01,0.338,0.1462
670,256,30,0.5,2,False,0.0075,2,adam,45,0.01,0.3373,0.1549
451,256,15,0.1,2,False,0.0075,2,adam,15,0.05,0.3368,0.178
426,128,45,0.5,32,False,0.0075,2,adam,15,0.01,0.3367,0.1362
430,128,45,0.5,32,False,0.0075,2,adam,45,0.01,0.3357,0.1292
89,128,15,0.5,2,False,0.0075,1,adam,45,0.05,0.3356,0.2269
238,128,30,0.5,2,False,0.0075,2,adam,45,0.01,0.335,0.1677
88,128,15,0.5,2,False,0.0075,1,adam,45,0.01,0.3349,0.2364
237,128,30,0.5,2,False,0.0075,2,adam,40,0.05,0.3348,0.1786
296,128,45,0.1,2,False,0.005,2,adam,40,0.01,0.3346,0.1496
44,128,15,0.1,4,False,0.0075,2,adam,40,0.01,0.3344,0.1801
549,256,15,0.5,4,False,0.0075,2,adam,40,0.05,0.3342,0.2072
464,256,15,0.1,4,False,0.005,2,adam,40,0.01,0.334,0.2202
475,256,15,0.1,4,False,0.0075,2,adam,15,0.05,0.3339,0.1943
86,128,15,0.5,2,False,0.0075,1,adam,40,0.01,0.3337,0.2069
34,128,15,0.1,4,False,0.005,2,adam,45,0.01,0.3333,0.1977
439,256,15,0.1,2,False,0.005,2,adam,15,0.05,0.3329,0.1994
70,128,15,0.1,32,False,0.0075,2,adam,45,0.01,0.3327,0.183
498,256,15,0.1,32,False,0.0075,2,adam,15,0.01,0.3326,0.2044
10,128,15,0.1,2,False,0.005,2,adam,45,0.01,0.3313,0.1901
725,256,45,0.1,2,False,0.005,1,adam,45,0.05,0.3312,0.104
115,128,15,0.5,4,False,0.0075,2,adam,15,0.05,0.3311,0.1998
750,256,45,0.1,4,False,0.005,2,adam,15,0.01,0.3311,0.1465
330,128,45,0.1,4,False,0.0075,2,adam,15,0.01,0.3306,0.1182
380,128,45,0.5,2,False,0.0075,2,adam,40,0.01,0.3305,0.1389
433,256,15,0.1,2,False,0.005,1,adam,15,0.05,0.3303,0.1957
66,128,15,0.1,32,False,0.0075,2,adam,15,0.01,0.3301,0.1834
445,256,15,0.1,2,False,0.0075,1,adam,15,0.05,0.33,0.2061
548,256,15,0.5,4,False,0.0075,2,adam,40,0.01,0.3294,0.1779
80,128,15,0.5,2,False,0.005,2,adam,40,0.01,0.3291,0.2011
98,128,15,0.5,4,False,0.005,1,adam,40,0.01,0.3291,0.1874
