,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss
257,128,60,8,0.1,1024,0.0075,adam,20,0.025,0.4816,0.2267
311,128,60,8,0.35,2560,0.0075,sgd,45,0.025,0.4514,0.1449
230,128,60,4,0.35,1024,0.0075,sgd,45,0.01,0.45,0.1469
634,256,60,4,0.35,2560,0.015,adam,45,0.01,0.4498,0.1348
197,128,60,4,0.1,1024,0.0075,sgd,20,0.025,0.4478,0.1683
271,128,60,8,0.1,1024,0.015,sgd,45,0.025,0.4476,0.1254
640,256,60,8,0.1,1024,0.0075,adam,20,0.01,0.4439,0.1886
287,128,60,8,0.1,2560,0.015,sgd,45,0.025,0.4432,0.1653
207,128,60,4,0.1,1024,0.015,sgd,45,0.025,0.4421,0.1647
118,128,30,8,0.35,2560,0.0075,sgd,45,0.01,0.4405,0.2186
659,256,60,8,0.1,2560,0.0075,adam,45,0.025,0.4393,0.1923
246,128,60,4,0.35,2560,0.0075,sgd,45,0.01,0.4388,0.1879
206,128,60,4,0.1,1024,0.015,sgd,45,0.01,0.4381,0.146
55,128,30,4,0.35,2560,0.0075,sgd,45,0.025,0.4375,0.1996
13,128,30,4,0.1,1024,0.015,sgd,20,0.025,0.4374,0.1636
426,256,30,4,0.35,1024,0.015,adam,45,0.01,0.4358,0.1765
579,256,60,4,0.1,1024,0.0075,adam,45,0.025,0.4345,0.1439
288,128,60,8,0.35,1024,0.0075,adam,20,0.01,0.4342,0.1685
369,128,60,24,0.35,2560,0.0075,adam,20,0.025,0.434,0.1436
294,128,60,8,0.35,1024,0.0075,sgd,45,0.01,0.4336,0.1711
265,128,60,8,0.1,1024,0.015,adam,20,0.025,0.4331,0.158
239,128,60,4,0.35,1024,0.015,sgd,45,0.025,0.4329,0.141
253,128,60,4,0.35,2560,0.015,sgd,20,0.025,0.4325,0.1742
513,256,30,24,0.1,1024,0.0075,adam,20,0.025,0.4313,0.2409
375,128,60,24,0.35,2560,0.0075,sgd,45,0.025,0.4306,0.1879
167,128,30,24,0.35,1024,0.0075,sgd,45,0.025,0.4304,0.1976
593,256,60,4,0.1,2560,0.0075,adam,20,0.025,0.4303,0.1537
683,256,60,8,0.35,1024,0.015,adam,45,0.025,0.4295,0.1733
310,128,60,8,0.35,2560,0.0075,sgd,45,0.01,0.4282,0.166
577,256,60,4,0.1,1024,0.0075,adam,20,0.025,0.4268,0.1543
214,128,60,4,0.1,2560,0.0075,sgd,45,0.01,0.4256,0.153
386,256,30,4,0.1,1024,0.0075,adam,45,0.01,0.4242,0.1873
383,128,60,24,0.35,2560,0.015,sgd,45,0.025,0.4232,0.1668
89,128,30,8,0.1,2560,0.015,adam,20,0.025,0.4227,0.1889
215,128,60,4,0.1,2560,0.0075,sgd,45,0.025,0.4217,0.1646
303,128,60,8,0.35,1024,0.015,sgd,45,0.025,0.4217,0.1514
7,128,30,4,0.1,1024,0.0075,sgd,45,0.025,0.4213,0.1843
226,128,60,4,0.35,1024,0.0075,adam,45,0.01,0.4211,0.1408
232,128,60,4,0.35,1024,0.015,adam,20,0.01,0.421,0.139
225,128,60,4,0.35,1024,0.0075,adam,20,0.025,0.4208,0.1475
31,128,30,4,0.1,2560,0.015,sgd,45,0.025,0.4207,0.19
