,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss
589,2048,60,4,0.1,64,0.01,adam,60,0.01,0.3446,0.1082
420,2048,30,4,0.1,1048,0.01,adam,60,0.001,0.3437,0.1316
588,2048,60,4,0.1,64,0.01,adam,60,0.001,0.3416,0.1008
479,2048,30,4,0.3,1048,0.01,sgd,180,0.01,0.3406,0.1282
407,2048,30,4,0.1,64,0.01,sgd,180,0.01,0.3403,0.1253
487,2048,30,32,0.1,64,0.001,sgd,60,0.01,0.3381,0.1631
611,2048,60,4,0.1,1048,0.001,sgd,180,0.01,0.3363,0.099
759,2048,60,32,0.3,1048,0.01,adam,120,0.01,0.3363,0.0894
612,2048,60,4,0.1,1048,0.01,adam,60,0.001,0.3356,0.083
429,2048,30,4,0.1,1048,0.01,sgd,120,0.01,0.335,0.1156
638,2048,60,4,0.3,64,0.01,adam,120,0.001,0.3349,0.0902
750,2048,60,32,0.3,1048,0.001,sgd,60,0.001,0.3332,0.1013
45,1024,30,4,0.1,1048,0.01,sgd,120,0.01,0.333,0.1446
721,2048,60,32,0.3,64,0.001,adam,60,0.01,0.3321,0.0999
601,2048,60,4,0.1,1048,0.001,adam,60,0.01,0.3319,0.1103
703,2048,60,32,0.1,1048,0.001,sgd,60,0.01,0.331,0.1362
154,1024,30,32,0.3,64,0.001,sgd,180,0.001,0.3308,0.1286
567,2048,30,32,0.3,1048,0.01,adam,120,0.01,0.3296,0.1327
460,2048,30,4,0.3,1048,0.001,adam,180,0.001,0.3293,0.1434
330,1024,60,32,0.1,1048,0.01,sgd,60,0.001,0.3293,0.1032
576,2048,60,4,0.1,64,0.001,adam,60,0.001,0.3291,0.0996
529,2048,30,32,0.3,64,0.001,adam,60,0.01,0.3285,0.1188
419,2048,30,4,0.1,1048,0.001,sgd,180,0.01,0.3275,0.1259
613,2048,60,4,0.1,1048,0.01,adam,60,0.01,0.3275,0.0969
272,1024,60,4,0.3,1048,0.001,sgd,120,0.001,0.3274,0.1249
551,2048,30,32,0.3,64,0.01,sgd,180,0.01,0.3267,0.166
392,2048,30,4,0.1,64,0.001,sgd,120,0.001,0.3262,0.156
573,2048,30,32,0.3,1048,0.01,sgd,120,0.01,0.326,0.1498
746,2048,60,32,0.3,1048,0.001,adam,120,0.001,0.3255,0.1023
585,2048,60,4,0.1,64,0.001,sgd,120,0.01,0.3254,0.1149
609,2048,60,4,0.1,1048,0.001,sgd,120,0.01,0.3244,0.0958
410,2048,30,4,0.1,1048,0.001,adam,120,0.001,0.3242,0.1442
493,2048,30,32,0.1,64,0.01,adam,60,0.01,0.3235,0.1465
578,2048,60,4,0.1,64,0.001,adam,120,0.001,0.3235,0.1328
9,1024,30,4,0.1,64,0.001,sgd,120,0.01,0.3226,0.1607
631,2048,60,4,0.3,64,0.001,sgd,60,0.01,0.3222,0.1043
6,1024,30,4,0.1,64,0.001,sgd,60,0.001,0.3221,0.1373
405,2048,30,4,0.1,64,0.01,sgd,120,0.01,0.3221,0.1341
727,2048,60,32,0.3,64,0.001,sgd,60,0.01,0.3204,0.1052
454,2048,30,4,0.3,64,0.01,sgd,180,0.001,0.3202,0.1182
430,2048,30,4,0.1,1048,0.01,sgd,180,0.001,0.3194,0.1668
467,2048,30,4,0.3,1048,0.001,sgd,180,0.01,0.3179,0.11
610,2048,60,4,0.1,1048,0.001,sgd,180,0.001,0.3177,0.0958
656,2048,60,4,0.3,1048,0.001,sgd,120,0.001,0.3163,0.1064
218,1024,60,4,0.1,1048,0.001,adam,120,0.001,0.3161,0.1135
618,2048,60,4,0.1,1048,0.01,sgd,60,0.001,0.3156,0.0814
654,2048,60,4,0.3,1048,0.001,sgd,60,0.001,0.3155,0.1042
592,2048,60,4,0.1,64,0.01,adam,180,0.001,0.3152,0.0775
246,1024,60,4,0.3,64,0.001,sgd,60,0.001,0.3147,0.0968
558,2048,30,32,0.3,1048,0.001,sgd,60,0.001,0.3145,0.1358
728,2048,60,32,0.3,64,0.001,sgd,120,0.001,0.3144,0.096
51,1024,30,4,0.3,64,0.001,adam,120,0.01,0.3142,0.161
395,2048,30,4,0.1,64,0.001,sgd,180,0.01,0.3142,0.1453
644,2048,60,4,0.3,64,0.01,sgd,120,0.001,0.3142,0.0891
623,2048,60,4,0.1,1048,0.01,sgd,180,0.01,0.3131,0.1148
537,2048,30,32,0.3,64,0.001,sgd,120,0.01,0.3128,0.1397
605,2048,60,4,0.1,1048,0.001,adam,180,0.01,0.3126,0.1042
552,2048,30,32,0.3,1048,0.001,adam,60,0.001,0.3125,0.1374
1,1024,30,4,0.1,64,0.001,adam,60,0.01,0.3124,0.1275
726,2048,60,32,0.3,64,0.001,sgd,60,0.001,0.3122,0.1047
603,2048,60,4,0.1,1048,0.001,adam,120,0.01,0.3117,0.1431
729,2048,60,32,0.3,64,0.001,sgd,120,0.01,0.3117,0.107
595,2048,60,4,0.1,64,0.01,sgd,60,0.01,0.3096,0.096
708,2048,60,32,0.1,1048,0.01,adam,60,0.001,0.3095,0.0893
455,2048,30,4,0.3,64,0.01,sgd,180,0.01,0.3082,0.1432
583,2048,60,4,0.1,64,0.001,sgd,60,0.01,0.3081,0.0902
459,2048,30,4,0.3,1048,0.001,adam,120,0.01,0.308,0.1086
739,2048,60,32,0.3,64,0.01,sgd,60,0.01,0.3078,0.126
73,1024,30,4,0.3,1048,0.001,adam,60,0.01,0.3073,0.1382
494,2048,30,32,0.1,64,0.01,adam,120,0.001,0.3072,0.1201
140,1024,30,32,0.1,1048,0.01,sgd,120,0.001,0.3071,0.1233
711,2048,60,32,0.1,1048,0.01,adam,120,0.01,0.3054,0.0772
560,2048,30,32,0.3,1048,0.001,sgd,120,0.001,0.3048,0.1259
402,2048,30,4,0.1,64,0.01,sgd,60,0.001,0.3047,0.1411
652,2048,60,4,0.3,1048,0.001,adam,180,0.001,0.3047,0.0909
499,2048,30,32,0.1,64,0.01,sgd,60,0.01,0.3028,0.121
536,2048,30,32,0.3,64,0.001,sgd,120,0.001,0.3025,0.1272
456,2048,30,4,0.3,1048,0.001,adam,60,0.001,0.3023,0.11
421,2048,30,4,0.1,1048,0.01,adam,60,0.01,0.3008,0.1075
714,2048,60,32,0.1,1048,0.01,sgd,60,0.001,0.3002,0.1043
491,2048,30,32,0.1,64,0.001,sgd,180,0.01,0.3001,0.1627
586,2048,60,4,0.1,64,0.001,sgd,180,0.001,0.3001,0.1114
469,2048,30,4,0.3,1048,0.01,adam,60,0.01,0.2999,0.1049
150,1024,30,32,0.3,64,0.001,sgd,60,0.001,0.2996,0.1518
396,2048,30,4,0.1,64,0.01,adam,60,0.001,0.2996,0.1345
446,2048,30,4,0.3,64,0.01,adam,120,0.001,0.2995,0.0859
625,2048,60,4,0.3,64,0.001,adam,60,0.01,0.2991,0.0803
584,2048,60,4,0.1,64,0.001,sgd,120,0.001,0.299,0.121
294,1024,60,32,0.1,64,0.001,sgd,60,0.001,0.2988,0.1301
626,2048,60,4,0.3,64,0.001,adam,120,0.001,0.2988,0.1007
561,2048,30,32,0.3,1048,0.001,sgd,120,0.01,0.2984,0.1258
391,2048,30,4,0.1,64,0.001,sgd,60,0.01,0.298,0.1237
139,1024,30,32,0.1,1048,0.01,sgd,60,0.01,0.2971,0.1204
412,2048,30,4,0.1,1048,0.001,adam,180,0.001,0.2968,0.119
649,2048,60,4,0.3,1048,0.001,adam,60,0.01,0.2963,0.0793
415,2048,30,4,0.1,1048,0.001,sgd,60,0.01,0.2957,0.1107
369,1024,60,32,0.3,1048,0.001,sgd,120,0.01,0.2955,0.0938
381,1024,60,32,0.3,1048,0.01,sgd,120,0.01,0.2955,0.0813
318,1024,60,32,0.1,1048,0.001,sgd,60,0.001,0.2952,0.1197
224,1024,60,4,0.1,1048,0.001,sgd,120,0.001,0.2947,0.0955
489,2048,30,32,0.1,64,0.001,sgd,120,0.01,0.2942,0.1482
488,2048,30,32,0.1,64,0.001,sgd,120,0.001,0.2941,0.1526
767,2048,60,32,0.3,1048,0.01,sgd,180,0.01,0.294,0.0959
91,1024,30,4,0.3,1048,0.01,sgd,60,0.01,0.2936,0.1128
69,1024,30,4,0.3,64,0.01,sgd,120,0.01,0.293,0.1472
458,2048,30,4,0.3,1048,0.001,adam,120,0.001,0.293,0.1194
433,2048,30,4,0.3,64,0.001,adam,60,0.01,0.2929,0.0966
657,2048,60,4,0.3,1048,0.001,sgd,120,0.01,0.2928,0.0993
444,2048,30,4,0.3,64,0.01,adam,60,0.001,0.2925,0.1252
755,2048,60,32,0.3,1048,0.001,sgd,180,0.01,0.2925,0.0923
476,2048,30,4,0.3,1048,0.01,sgd,120,0.001,0.2924,0.1447
236,1024,60,4,0.1,1048,0.01,sgd,120,0.001,0.292,0.071
