,batch_size,bce_pos_class_weight,dropout_p,hidden_layer_size,input_layer_norm,lr,num_layers,optimizer_type,sequence_length,weight_decay,tss,hss
758,256,60,0.1,4,False,0.01,1,adam,40,0.005,0.5094,0.1905
761,256,60,0.1,4,False,0.01,1,adam,45,0.05,0.4937,0.2069
689,256,40,0.3,4,False,0.01,1,adam,45,0.05,0.492,0.2183
833,256,60,0.3,4,False,0.01,1,adam,45,0.05,0.4897,0.1706
649,256,40,0.3,2,False,0.0025,1,adam,15,0.05,0.4846,0.1975
759,256,60,0.1,4,False,0.01,1,adam,40,0.05,0.4846,0.1833
313,128,60,0.1,4,False,0.0025,1,adam,15,0.05,0.4812,0.1895
169,128,40,0.1,4,False,0.0025,1,adam,15,0.05,0.4798,0.2308
745,256,60,0.1,4,False,0.0025,1,adam,15,0.05,0.4767,0.1888
831,256,60,0.3,4,False,0.01,1,adam,40,0.05,0.4755,0.2118
241,128,40,0.3,4,False,0.0025,1,adam,15,0.05,0.4732,0.2268
592,256,40,0.1,2,False,0.01,1,adam,45,0.005,0.4699,0.1719
711,256,40,0.3,8,False,0.01,1,adam,40,0.05,0.4694,0.1928
639,256,40,0.1,8,False,0.01,1,adam,40,0.05,0.4693,0.2051
617,256,40,0.1,4,False,0.01,1,adam,45,0.05,0.4687,0.2133
292,128,60,0.1,2,False,0.0025,1,adam,45,0.005,0.4686,0.1311
157,128,40,0.1,2,False,0.01,1,adam,15,0.05,0.4685,0.2037
308,128,60,0.1,2,False,0.01,2,adam,40,0.005,0.4682,0.1698
231,128,40,0.3,2,False,0.01,1,adam,40,0.05,0.4678,0.2139
409,128,60,0.3,8,False,0.0025,1,adam,15,0.05,0.4671,0.1924
682,256,40,0.3,4,False,0.0025,2,adam,45,0.005,0.4668,0.1782
265,128,40,0.3,8,False,0.0025,1,adam,15,0.05,0.466,0.2188
287,128,40,0.3,8,False,0.01,2,adam,45,0.05,0.4637,0.2469
375,128,60,0.3,2,False,0.01,1,adam,40,0.05,0.4635,0.1729
233,128,40,0.3,2,False,0.01,1,adam,45,0.05,0.4632,0.1798
713,256,40,0.3,8,False,0.01,1,adam,45,0.05,0.4623,0.1914
785,256,60,0.1,8,False,0.01,1,adam,45,0.05,0.4614,0.1765
588,256,40,0.1,2,False,0.01,1,adam,15,0.005,0.4593,0.1715
615,256,40,0.1,4,False,0.01,1,adam,40,0.05,0.4588,0.2244
17,128,20,0.1,2,False,0.01,1,adam,45,0.05,0.4583,0.2816
385,128,60,0.3,4,False,0.0025,1,adam,15,0.05,0.4582,0.179
279,128,40,0.3,8,False,0.01,1,adam,40,0.05,0.4579,0.1824
411,128,60,0.3,8,False,0.0025,1,adam,40,0.05,0.4571,0.2069
193,128,40,0.1,8,False,0.0025,1,adam,15,0.05,0.4565,0.206
344,128,60,0.1,8,False,0.0025,2,adam,40,0.005,0.4553,0.2065
65,128,20,0.1,8,False,0.01,1,adam,45,0.05,0.455,0.2509
415,128,60,0.3,8,False,0.0025,2,adam,15,0.05,0.455,0.2187
41,128,20,0.1,4,False,0.01,1,adam,45,0.05,0.4545,0.2571
337,128,60,0.1,8,False,0.0025,1,adam,15,0.05,0.4545,0.1736
211,128,40,0.1,8,False,0.01,2,adam,15,0.05,0.4543,0.1928
159,128,40,0.1,2,False,0.01,1,adam,40,0.05,0.4542,0.2206
497,256,20,0.1,8,False,0.01,1,adam,45,0.05,0.4538,0.2718
857,256,60,0.3,8,False,0.01,1,adam,45,0.05,0.4537,0.1819
109,128,20,0.3,4,False,0.01,1,adam,15,0.05,0.4531,0.2457
257,128,40,0.3,4,False,0.01,1,adam,45,0.05,0.4531,0.1865
574,256,20,0.3,8,False,0.01,2,adam,45,0.005,0.453,0.2347
641,256,40,0.1,8,False,0.01,1,adam,45,0.05,0.4527,0.2057
783,256,60,0.1,8,False,0.01,1,adam,40,0.05,0.4526,0.1827
590,256,40,0.1,2,False,0.01,1,adam,40,0.005,0.4525,0.2253
688,256,40,0.3,4,False,0.01,1,adam,45,0.005,0.451,0.1956
847,256,60,0.3,8,False,0.0025,2,adam,15,0.05,0.4508,0.2166
315,128,60,0.1,4,False,0.0025,1,adam,40,0.05,0.4506,0.2117
39,128,20,0.1,4,False,0.01,1,adam,40,0.05,0.4502,0.2571
373,128,60,0.3,2,False,0.01,1,adam,15,0.05,0.4498,0.1646
229,128,40,0.3,2,False,0.01,1,adam,15,0.05,0.4495,0.2028
830,256,60,0.3,4,False,0.01,1,adam,40,0.005,0.4492,0.19
255,128,40,0.3,4,False,0.01,1,adam,40,0.05,0.4487,0.1895
855,256,60,0.3,8,False,0.01,1,adam,40,0.05,0.4486,0.1729
183,128,40,0.1,4,False,0.01,1,adam,40,0.05,0.4479,0.1969
135,128,20,0.3,8,False,0.01,1,adam,40,0.05,0.4477,0.2229
822,256,60,0.3,4,False,0.0025,2,adam,15,0.005,0.4472,0.1867
148,128,40,0.1,2,False,0.0025,1,adam,45,0.005,0.4469,0.1431
85,128,20,0.3,2,False,0.01,1,adam,15,0.05,0.4464,0.2647
312,128,60,0.1,4,False,0.0025,1,adam,15,0.005,0.4449,0.1657
