,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss
443,1536,65,8,0.5,1536,0.01,adam,45,0.01,0.4649,0.1653
441,1536,65,8,0.5,1536,0.01,adam,40,0.01,0.4286,0.1526
505,1536,65,16,0.5,1536,0.01,adam,40,0.01,0.4267,0.1441
118,768,40,16,0.5,1536,0.005,sgd,45,0.001,0.4251,0.1073
161,768,65,8,0.5,128,0.005,adam,40,0.01,0.4231,0.1623
361,1536,40,16,0.5,128,0.01,adam,40,0.01,0.4229,0.2192
23,768,40,8,0.1,1536,0.005,sgd,45,0.01,0.4227,0.1176
155,768,65,8,0.1,1536,0.01,adam,45,0.01,0.4212,0.1969
417,1536,65,8,0.5,128,0.005,adam,40,0.01,0.4198,0.1749
309,1536,40,8,0.5,1536,0.005,sgd,40,0.01,0.419,0.0872
233,768,65,16,0.5,128,0.01,adam,40,0.01,0.4188,0.1834
369,1536,40,16,0.5,1536,0.005,adam,40,0.01,0.4167,0.1783
187,768,65,8,0.5,1536,0.01,adam,45,0.01,0.4134,0.1601
507,1536,65,16,0.5,1536,0.01,adam,45,0.01,0.4129,0.1457
440,1536,65,8,0.5,1536,0.01,adam,40,0.001,0.4125,0.1258
433,1536,65,8,0.5,1536,0.005,adam,40,0.01,0.4121,0.168
276,1536,40,8,0.1,1536,0.005,sgd,40,0.001,0.4116,0.0911
277,1536,40,8,0.1,1536,0.005,sgd,40,0.01,0.4112,0.0964
382,1536,40,16,0.5,1536,0.01,sgd,45,0.001,0.4109,0.1083
225,768,65,16,0.5,128,0.005,adam,40,0.01,0.4107,0.1796
401,1536,65,8,0.1,1536,0.005,adam,40,0.01,0.4104,0.201
131,768,65,8,0.1,128,0.005,adam,45,0.01,0.4097,0.1799
58,768,40,8,0.5,1536,0.01,adam,45,0.001,0.4092,0.1611
411,1536,65,8,0.1,1536,0.01,adam,45,0.01,0.409,0.1902
312,1536,40,8,0.5,1536,0.01,adam,40,0.001,0.408,0.158
78,768,40,16,0.1,128,0.01,sgd,45,0.001,0.407,0.119
288,1536,40,8,0.5,128,0.005,adam,40,0.001,0.4069,0.1525
86,768,40,16,0.1,1536,0.005,sgd,45,0.001,0.4065,0.1189
79,768,40,16,0.1,128,0.01,sgd,45,0.01,0.406,0.1321
185,768,65,8,0.5,1536,0.01,adam,40,0.01,0.4057,0.1665
442,1536,65,8,0.5,1536,0.01,adam,45,0.001,0.4053,0.1374
