,batch_size,bce_pos_class_weight,dropout_p,hidden_layer_size,input_layer_norm,lr,num_layers,optimizer_type,sequence_length,weight_decay,tss,hss
723,256,80,0.1,2,False,0.0065,1,adam,35,0.05,0.5235,0.1588
291,128,80,0.1,2,False,0.0065,1,adam,35,0.05,0.5161,0.1694
663,256,50,0.2,2,False,0.015,1,adam,35,0.05,0.5098,0.2064
662,256,50,0.2,2,False,0.015,1,adam,35,0.01,0.5071,0.2105
615,256,50,0.1,4,False,0.015,1,adam,35,0.05,0.5069,0.2061
399,128,80,0.2,4,False,0.015,1,adam,35,0.05,0.5041,0.1606
316,128,80,0.1,4,False,0.0065,1,adam,45,0.01,0.4928,0.1519
183,128,50,0.1,4,False,0.015,1,adam,35,0.05,0.4922,0.1843
150,128,50,0.1,2,False,0.0065,2,adam,10,0.01,0.491,0.179
216,128,50,0.2,2,False,0.0065,1,adam,10,0.01,0.4906,0.1885
687,256,50,0.2,4,False,0.015,1,adam,35,0.05,0.4901,0.1923
365,128,80,0.2,2,False,0.0065,1,adam,45,0.05,0.4855,0.1573
253,128,50,0.2,4,False,0.015,1,adam,10,0.05,0.4837,0.1793
831,256,80,0.2,4,False,0.015,1,adam,35,0.05,0.4811,0.1514
221,128,50,0.2,2,False,0.0065,1,adam,45,0.05,0.4807,0.1966
593,256,50,0.1,2,False,0.015,1,adam,45,0.05,0.4789,0.2713
819,256,80,0.2,4,False,0.0065,1,adam,35,0.05,0.478,0.1685
685,256,50,0.2,4,False,0.015,1,adam,10,0.05,0.478,0.1603
737,256,80,0.1,2,False,0.015,1,adam,45,0.05,0.4757,0.1788
613,256,50,0.1,4,False,0.015,1,adam,10,0.05,0.4755,0.1846
606,256,50,0.1,4,False,0.0065,2,adam,10,0.01,0.4747,0.1754
699,256,50,0.2,16,False,0.0065,1,adam,35,0.05,0.4742,0.1932
387,128,80,0.2,4,False,0.0065,1,adam,35,0.05,0.4721,0.1622
782,256,80,0.1,16,False,0.015,1,adam,35,0.01,0.4714,0.1698
619,256,50,0.1,4,False,0.015,2,adam,10,0.05,0.4713,0.1852
700,256,50,0.2,16,False,0.0065,1,adam,45,0.01,0.4711,0.1784
735,256,80,0.1,2,False,0.015,1,adam,35,0.05,0.4705,0.1568
591,256,50,0.1,2,False,0.015,1,adam,35,0.05,0.4702,0.2176
701,256,50,0.2,16,False,0.0065,1,adam,45,0.05,0.4694,0.1977
277,128,50,0.2,16,False,0.015,1,adam,10,0.05,0.4693,0.1803
283,128,50,0.2,16,False,0.015,2,adam,10,0.05,0.4677,0.1793
243,128,50,0.2,4,False,0.0065,1,adam,35,0.05,0.4673,0.1857
711,256,50,0.2,16,False,0.015,1,adam,35,0.05,0.4667,0.1922
773,256,80,0.1,16,False,0.0065,1,adam,45,0.05,0.4666,0.1459
627,256,50,0.1,16,False,0.0065,1,adam,35,0.05,0.4664,0.1738
411,128,80,0.2,16,False,0.0065,1,adam,35,0.05,0.4664,0.1705
279,128,50,0.2,16,False,0.015,1,adam,35,0.05,0.4657,0.1848
421,128,80,0.2,16,False,0.015,1,adam,10,0.05,0.4656,0.131
769,256,80,0.1,16,False,0.0065,1,adam,10,0.05,0.4655,0.1591
798,256,80,0.2,2,False,0.0065,2,adam,10,0.01,0.4655,0.1551
181,128,50,0.1,4,False,0.015,1,adam,10,0.05,0.4652,0.1748
629,256,50,0.1,16,False,0.0065,1,adam,45,0.05,0.4649,0.2009
339,128,80,0.1,16,False,0.0065,1,adam,35,0.05,0.4642,0.159
617,256,50,0.1,4,False,0.015,1,adam,45,0.05,0.4635,0.1706
242,128,50,0.2,4,False,0.0065,1,adam,35,0.01,0.4632,0.2041
267,128,50,0.2,16,False,0.0065,1,adam,35,0.05,0.4632,0.1831
315,128,80,0.1,4,False,0.0065,1,adam,35,0.05,0.463,0.1625
207,128,50,0.1,16,False,0.015,1,adam,35,0.05,0.4627,0.1737
209,128,50,0.1,16,False,0.015,1,adam,45,0.05,0.4618,0.1826
302,128,80,0.1,2,False,0.015,1,adam,35,0.01,0.4617,0.1528
707,256,50,0.2,16,False,0.0065,2,adam,45,0.05,0.4604,0.2126
689,256,50,0.2,4,False,0.015,1,adam,45,0.05,0.4604,0.1748
771,256,80,0.1,16,False,0.0065,1,adam,35,0.05,0.4604,0.1521
231,128,50,0.2,2,False,0.015,1,adam,35,0.05,0.4595,0.1732
757,256,80,0.1,4,False,0.015,1,adam,10,0.05,0.4594,0.1483
171,128,50,0.1,4,False,0.0065,1,adam,35,0.05,0.4586,0.1764
217,128,50,0.2,2,False,0.0065,1,adam,10,0.05,0.4564,0.1952
639,256,50,0.1,16,False,0.015,1,adam,35,0.05,0.456,0.1667
761,256,80,0.1,4,False,0.015,1,adam,45,0.05,0.4559,0.1418
829,256,80,0.2,4,False,0.015,1,adam,10,0.05,0.4558,0.1421
229,128,50,0.2,2,False,0.015,1,adam,10,0.05,0.4542,0.1861
271,128,50,0.2,16,False,0.0065,2,adam,10,0.05,0.4542,0.1649
265,128,50,0.2,16,False,0.0065,1,adam,10,0.05,0.4541,0.1853
255,128,50,0.2,4,False,0.015,1,adam,35,0.05,0.454,0.1704
169,128,50,0.1,4,False,0.0065,1,adam,10,0.05,0.4537,0.1909
849,256,80,0.2,16,False,0.0065,2,adam,35,0.05,0.4536,0.1776
643,256,50,0.1,16,False,0.015,2,adam,10,0.05,0.453,0.1582
607,256,50,0.1,4,False,0.0065,2,adam,10,0.05,0.4529,0.2127
195,128,50,0.1,16,False,0.0065,1,adam,35,0.05,0.4529,0.164
241,128,50,0.2,4,False,0.0065,1,adam,10,0.05,0.4523,0.1811
397,128,80,0.2,4,False,0.015,1,adam,10,0.05,0.4523,0.1447
688,256,50,0.2,4,False,0.015,1,adam,45,0.01,0.4519,0.1804
614,256,50,0.1,4,False,0.015,1,adam,35,0.01,0.4507,0.1963
715,256,50,0.2,16,False,0.015,2,adam,10,0.05,0.4501,0.1672
777,256,80,0.1,16,False,0.0065,2,adam,35,0.05,0.45,0.1659
859,256,80,0.2,16,False,0.015,2,adam,10,0.05,0.45,0.1364
649,256,50,0.2,2,False,0.0065,1,adam,10,0.05,0.4498,0.1821
843,256,80,0.2,16,False,0.0065,1,adam,35,0.05,0.4498,0.1438
654,256,50,0.2,2,False,0.0065,2,adam,10,0.01,0.449,0.1717
349,128,80,0.1,16,False,0.015,1,adam,10,0.05,0.4486,0.1329
273,128,50,0.2,16,False,0.0065,2,adam,35,0.05,0.4485,0.1743
810,256,80,0.2,2,False,0.015,2,adam,10,0.01,0.4482,0.1523
691,256,50,0.2,4,False,0.015,2,adam,10,0.05,0.4477,0.1577
293,128,80,0.1,2,False,0.0065,1,adam,45,0.05,0.4474,0.1652
325,128,80,0.1,4,False,0.015,1,adam,10,0.05,0.4471,0.1337
222,128,50,0.2,2,False,0.0065,2,adam,10,0.01,0.447,0.1639
211,128,50,0.1,16,False,0.015,2,adam,10,0.05,0.447,0.1361
745,256,80,0.1,4,False,0.0065,1,adam,10,0.05,0.446,0.1416
746,256,80,0.1,4,False,0.0065,1,adam,35,0.01,0.4458,0.1246
853,256,80,0.2,16,False,0.015,1,adam,10,0.05,0.4456,0.1265
423,128,80,0.2,16,False,0.015,1,adam,35,0.05,0.4437,0.135
738,256,80,0.1,2,False,0.015,2,adam,10,0.01,0.4433,0.1566
312,128,80,0.1,4,False,0.0065,1,adam,10,0.01,0.4431,0.1565
686,256,50,0.2,4,False,0.015,1,adam,35,0.01,0.4427,0.1956
323,128,80,0.1,4,False,0.0065,2,adam,45,0.05,0.442,0.188
161,128,50,0.1,2,False,0.015,1,adam,45,0.05,0.4418,0.1483
577,256,50,0.1,2,False,0.0065,1,adam,10,0.05,0.4412,0.1946
660,256,50,0.2,2,False,0.015,1,adam,10,0.01,0.4405,0.1697
845,256,80,0.2,16,False,0.0065,1,adam,45,0.05,0.4402,0.1543
631,256,50,0.1,16,False,0.0065,2,adam,10,0.05,0.4398,0.162
797,256,80,0.2,2,False,0.0065,1,adam,45,0.05,0.4397,0.1123
205,128,50,0.1,16,False,0.015,1,adam,10,0.05,0.4391,0.1842
601,256,50,0.1,4,False,0.0065,1,adam,10,0.05,0.4386,0.1832
812,256,80,0.2,2,False,0.015,2,adam,35,0.01,0.4382,0.1444
269,128,50,0.2,16,False,0.0065,1,adam,45,0.05,0.438,0.1662
767,256,80,0.1,4,False,0.015,2,adam,45,0.05,0.4373,0.1827
858,256,80,0.2,16,False,0.015,2,adam,10,0.01,0.4368,0.1509
303,128,80,0.1,2,False,0.015,1,adam,35,0.05,0.4366,0.1305
675,256,50,0.2,4,False,0.0065,1,adam,35,0.05,0.4365,0.197
270,128,50,0.2,16,False,0.0065,2,adam,10,0.01,0.4363,0.1953
146,128,50,0.1,2,False,0.0065,1,adam,35,0.01,0.4363,0.1794
709,256,50,0.2,16,False,0.015,1,adam,10,0.05,0.4362,0.1712
317,128,80,0.1,4,False,0.0065,1,adam,45,0.05,0.436,0.158
724,256,80,0.1,2,False,0.0065,1,adam,45,0.01,0.4357,0.1263
713,256,50,0.2,16,False,0.015,1,adam,45,0.05,0.4356,0.1498
337,128,80,0.1,16,False,0.0065,1,adam,10,0.05,0.4355,0.1484
698,256,50,0.2,16,False,0.0065,1,adam,35,0.01,0.4346,0.1866
804,256,80,0.2,2,False,0.015,1,adam,10,0.01,0.4343,0.1478
821,256,80,0.2,4,False,0.0065,1,adam,45,0.05,0.4342,0.1408
145,128,50,0.1,2,False,0.0065,1,adam,10,0.05,0.4327,0.1916
258,128,50,0.2,4,False,0.015,2,adam,10,0.01,0.4326,0.1724
232,128,50,0.2,2,False,0.015,1,adam,45,0.01,0.4326,0.158
375,128,80,0.2,2,False,0.015,1,adam,35,0.05,0.4326,0.1486
193,128,50,0.1,16,False,0.0065,1,adam,10,0.05,0.4324,0.1818
664,256,50,0.2,2,False,0.015,1,adam,45,0.01,0.4315,0.1951
848,256,80,0.2,16,False,0.0065,2,adam,35,0.01,0.4315,0.1821
673,256,50,0.2,4,False,0.0065,1,adam,10,0.05,0.4311,0.1727
661,256,50,0.2,2,False,0.015,1,adam,10,0.05,0.4311,0.1465
159,128,50,0.1,2,False,0.015,1,adam,35,0.05,0.431,0.1657
861,256,80,0.2,16,False,0.015,2,adam,35,0.05,0.4308,0.1431
697,256,50,0.2,16,False,0.0065,1,adam,10,0.05,0.4306,0.1728
855,256,80,0.2,16,False,0.015,1,adam,35,0.05,0.4302,0.1366
233,128,50,0.2,2,False,0.015,1,adam,45,0.05,0.4301,0.161
199,128,50,0.1,16,False,0.0065,2,adam,10,0.05,0.43,0.1857
578,256,50,0.1,2,False,0.0065,1,adam,35,0.01,0.4297,0.1776
714,256,50,0.2,16,False,0.015,2,adam,10,0.01,0.4292,0.1791
592,256,50,0.1,2,False,0.015,1,adam,45,0.01,0.4286,0.1874
304,128,80,0.1,2,False,0.015,1,adam,45,0.01,0.4286,0.1207
185,128,50,0.1,4,False,0.015,1,adam,45,0.05,0.4284,0.1531
285,128,50,0.2,16,False,0.015,2,adam,35,0.05,0.4273,0.1692
230,128,50,0.2,2,False,0.015,1,adam,35,0.01,0.4272,0.1659
226,128,50,0.2,2,False,0.0065,2,adam,45,0.01,0.4269,0.2227
787,256,80,0.1,16,False,0.015,2,adam,10,0.05,0.4269,0.1188
826,256,80,0.2,4,False,0.0065,2,adam,45,0.01,0.4268,0.1494
327,128,80,0.1,4,False,0.015,1,adam,35,0.05,0.4267,0.1476
362,128,80,0.2,2,False,0.0065,1,adam,35,0.01,0.4261,0.1212
582,256,50,0.1,2,False,0.0065,2,adam,10,0.01,0.426,0.1932
734,256,80,0.1,2,False,0.015,1,adam,35,0.01,0.426,0.1733
763,256,80,0.1,4,False,0.015,2,adam,10,0.05,0.4258,0.1233
751,256,80,0.1,4,False,0.0065,2,adam,10,0.05,0.4253,0.1328
851,256,80,0.2,16,False,0.0065,2,adam,45,0.05,0.4252,0.1402
374,128,80,0.2,2,False,0.015,1,adam,35,0.01,0.425,0.1424
388,128,80,0.2,4,False,0.0065,1,adam,45,0.01,0.4248,0.115
638,256,50,0.1,16,False,0.015,1,adam,35,0.01,0.4243,0.1891
373,128,80,0.2,2,False,0.015,1,adam,10,0.05,0.4241,0.1362
245,128,50,0.2,4,False,0.0065,1,adam,45,0.05,0.424,0.1832
758,256,80,0.1,4,False,0.015,1,adam,35,0.01,0.4239,0.1365
170,128,50,0.1,4,False,0.0065,1,adam,35,0.01,0.4232,0.1591
148,128,50,0.1,2,False,0.0065,1,adam,45,0.01,0.4231,0.1378
760,256,80,0.1,4,False,0.015,1,adam,45,0.01,0.4229,0.1526
