,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss
422,1024,70,32,0.25,1536,0.005,adam,45,0.01,0.6774,0.1597
499,1024,70,512,0.25,2048,0.005,sgd,45,0.05,0.677,0.1449
410,1024,70,32,0.1,2048,0.01,sgd,45,0.01,0.6734,0.1542
467,1024,70,512,0.1,2048,0.005,sgd,45,0.05,0.6716,0.1528
451,1024,70,512,0.1,1536,0.005,sgd,45,0.05,0.6669,0.1756
426,1024,70,32,0.25,1536,0.01,sgd,45,0.01,0.6657,0.1411
446,1024,70,32,0.25,2048,0.01,adam,45,0.01,0.6648,0.1433
246,512,70,512,0.25,2048,0.005,adam,45,0.01,0.6634,0.1388
195,512,70,512,0.1,1536,0.005,sgd,45,0.05,0.663,0.1395
211,512,70,512,0.1,2048,0.005,sgd,45,0.05,0.6628,0.1394
429,1024,70,32,0.25,1536,0.01,adam,35,0.05,0.6614,0.135
130,512,70,32,0.1,1536,0.005,sgd,45,0.01,0.6597,0.1358
466,1024,70,512,0.1,2048,0.005,sgd,45,0.01,0.6593,0.1711
438,1024,70,32,0.25,2048,0.005,adam,45,0.01,0.659,0.1716
506,1024,70,512,0.25,2048,0.01,sgd,45,0.01,0.659,0.135
443,1024,70,32,0.25,2048,0.01,sgd,45,0.05,0.6583,0.1326
483,1024,70,512,0.25,1536,0.005,sgd,45,0.05,0.6582,0.1413
498,1024,70,512,0.25,2048,0.005,sgd,45,0.01,0.6573,0.1437
243,512,70,512,0.25,2048,0.005,sgd,45,0.05,0.6572,0.1254
390,1024,70,32,0.1,1536,0.005,adam,45,0.01,0.6562,0.1625
190,512,70,32,0.25,2048,0.01,adam,45,0.01,0.655,0.1287
227,512,70,512,0.25,1536,0.005,sgd,45,0.05,0.6549,0.13
394,1024,70,32,0.1,1536,0.01,sgd,45,0.01,0.6545,0.1514
242,512,70,512,0.25,2048,0.005,sgd,45,0.01,0.6537,0.154
398,1024,70,32,0.1,1536,0.01,adam,45,0.01,0.6536,0.1544
138,512,70,32,0.1,1536,0.01,sgd,45,0.01,0.6536,0.1321
447,1024,70,32,0.25,2048,0.01,adam,45,0.05,0.6528,0.1448
414,1024,70,32,0.1,2048,0.01,adam,45,0.01,0.6528,0.1432
434,1024,70,32,0.25,2048,0.005,sgd,45,0.01,0.6523,0.1229
391,1024,70,32,0.1,1536,0.005,adam,45,0.05,0.6522,0.1505
168,512,70,32,0.25,1536,0.01,sgd,35,0.01,0.6521,0.1361
224,512,70,512,0.25,1536,0.005,sgd,35,0.01,0.6519,0.1436
146,512,70,32,0.1,2048,0.005,sgd,45,0.01,0.6514,0.13
450,1024,70,512,0.1,1536,0.005,sgd,45,0.01,0.6509,0.1559
492,1024,70,512,0.25,1536,0.01,adam,35,0.01,0.6503,0.1361
234,512,70,512,0.25,1536,0.01,sgd,45,0.01,0.6499,0.1388
144,512,70,32,0.1,2048,0.005,sgd,35,0.01,0.6497,0.1359
166,512,70,32,0.25,1536,0.005,adam,45,0.01,0.6494,0.1431
232,512,70,512,0.25,1536,0.01,sgd,35,0.01,0.6489,0.1578
465,1024,70,512,0.1,2048,0.005,sgd,35,0.05,0.6489,0.1354
252,512,70,512,0.25,2048,0.01,adam,35,0.01,0.6488,0.1214
439,1024,70,32,0.25,2048,0.005,adam,45,0.05,0.6485,0.141
428,1024,70,32,0.25,1536,0.01,adam,35,0.01,0.6484,0.1507
409,1024,70,32,0.1,2048,0.01,sgd,35,0.05,0.6483,0.1341
445,1024,70,32,0.25,2048,0.01,adam,35,0.05,0.648,0.1256
497,1024,70,512,0.25,2048,0.005,sgd,35,0.05,0.6478,0.146
416,1024,70,32,0.25,1536,0.005,sgd,35,0.01,0.6478,0.1389
206,512,70,512,0.1,1536,0.01,adam,45,0.01,0.6478,0.136
418,1024,70,32,0.25,1536,0.005,sgd,45,0.01,0.6476,0.1231
430,1024,70,32,0.25,1536,0.01,adam,45,0.01,0.6473,0.1659
482,1024,70,512,0.25,1536,0.005,sgd,45,0.01,0.647,0.1479
240,512,70,512,0.25,2048,0.005,sgd,35,0.01,0.6467,0.1349
128,512,70,32,0.1,1536,0.005,sgd,35,0.01,0.6466,0.1322
453,1024,70,512,0.1,1536,0.005,adam,35,0.05,0.646,0.1384
427,1024,70,32,0.25,1536,0.01,sgd,45,0.05,0.646,0.1298
464,1024,70,512,0.1,2048,0.005,sgd,35,0.01,0.6458,0.1528
440,1024,70,32,0.25,2048,0.01,sgd,35,0.01,0.6455,0.1432
490,1024,70,512,0.25,1536,0.01,sgd,45,0.01,0.6451,0.1666
475,1024,70,512,0.1,2048,0.01,sgd,45,0.05,0.6448,0.1405
170,512,70,32,0.25,1536,0.01,sgd,45,0.01,0.6447,0.1335
167,512,70,32,0.25,1536,0.005,adam,45,0.05,0.6447,0.1305
419,1024,70,32,0.25,1536,0.005,sgd,45,0.05,0.6438,0.1132
203,512,70,512,0.1,1536,0.01,sgd,45,0.05,0.6435,0.1423
142,512,70,32,0.1,1536,0.01,adam,45,0.01,0.6431,0.1294
249,512,70,512,0.25,2048,0.01,sgd,35,0.05,0.6431,0.1294
408,1024,70,32,0.1,2048,0.01,sgd,35,0.01,0.643,0.1539
387,1024,70,32,0.1,1536,0.005,sgd,45,0.05,0.643,0.1167
432,1024,70,32,0.25,2048,0.005,sgd,35,0.01,0.6428,0.143
491,1024,70,512,0.25,1536,0.01,sgd,45,0.05,0.6428,0.1208
235,512,70,512,0.25,1536,0.01,sgd,45,0.05,0.6424,0.1388
210,512,70,512,0.1,2048,0.005,sgd,45,0.01,0.6422,0.1882
186,512,70,32,0.25,2048,0.01,sgd,45,0.01,0.6422,0.1399
149,512,70,32,0.1,2048,0.005,adam,35,0.05,0.642,0.1192
132,512,70,32,0.1,1536,0.005,adam,35,0.01,0.6418,0.1383
133,512,70,32,0.1,1536,0.005,adam,35,0.05,0.6414,0.1235
400,1024,70,32,0.1,2048,0.005,sgd,35,0.01,0.6411,0.1446
154,512,70,32,0.1,2048,0.01,sgd,45,0.01,0.6409,0.1403
225,512,70,512,0.25,1536,0.005,sgd,35,0.05,0.6407,0.1379
152,512,70,32,0.1,2048,0.01,sgd,35,0.01,0.6403,0.1468
392,1024,70,32,0.1,1536,0.01,sgd,35,0.01,0.6402,0.1746
399,1024,70,32,0.1,1536,0.01,adam,45,0.05,0.6402,0.1303
153,512,70,32,0.1,2048,0.01,sgd,35,0.05,0.6401,0.1155
226,512,70,512,0.25,1536,0.005,sgd,45,0.01,0.6399,0.1406
507,1024,70,512,0.25,2048,0.01,sgd,45,0.05,0.6396,0.1413
423,1024,70,32,0.25,1536,0.005,adam,45,0.05,0.6389,0.1489
435,1024,70,32,0.25,2048,0.005,sgd,45,0.05,0.6389,0.1141
176,512,70,32,0.25,2048,0.005,sgd,35,0.01,0.6388,0.1251
433,1024,70,32,0.25,2048,0.005,sgd,35,0.05,0.6388,0.1215
407,1024,70,32,0.1,2048,0.005,adam,45,0.05,0.6386,0.1493
131,512,70,32,0.1,1536,0.005,sgd,45,0.05,0.6386,0.11
158,512,70,32,0.1,2048,0.01,adam,45,0.01,0.6378,0.1301
458,1024,70,512,0.1,1536,0.01,sgd,45,0.01,0.6372,0.177
179,512,70,32,0.25,2048,0.005,sgd,45,0.05,0.6372,0.1218
403,1024,70,32,0.1,2048,0.005,sgd,45,0.05,0.6372,0.1083
402,1024,70,32,0.1,2048,0.005,sgd,45,0.01,0.637,0.1253
136,512,70,32,0.1,1536,0.01,sgd,35,0.01,0.6369,0.1621
397,1024,70,32,0.1,1536,0.01,adam,35,0.05,0.6369,0.1256
216,512,70,512,0.1,2048,0.01,sgd,35,0.01,0.6368,0.1876
236,512,70,512,0.25,1536,0.01,adam,35,0.01,0.6368,0.1227
488,1024,70,512,0.25,1536,0.01,sgd,35,0.01,0.6367,0.142
193,512,70,512,0.1,1536,0.005,sgd,35,0.05,0.6365,0.1458
505,1024,70,512,0.25,2048,0.01,sgd,35,0.05,0.6365,0.1256
393,1024,70,32,0.1,1536,0.01,sgd,35,0.05,0.6363,0.1193
212,512,70,512,0.1,2048,0.005,adam,35,0.01,0.636,0.1285
406,1024,70,32,0.1,2048,0.005,adam,45,0.01,0.6356,0.1593
194,512,70,512,0.1,1536,0.005,sgd,45,0.01,0.6355,0.1614
147,512,70,32,0.1,2048,0.005,sgd,45,0.05,0.6355,0.1169
139,512,70,32,0.1,1536,0.01,sgd,45,0.05,0.6353,0.1218
156,512,70,32,0.1,2048,0.01,adam,35,0.01,0.6352,0.1321
386,1024,70,32,0.1,1536,0.005,sgd,45,0.01,0.635,0.1214
169,512,70,32,0.25,1536,0.01,sgd,35,0.05,0.6349,0.116
411,1024,70,32,0.1,2048,0.01,sgd,45,0.05,0.6348,0.1201
183,512,70,32,0.25,2048,0.005,adam,45,0.05,0.6346,0.1242
165,512,70,32,0.25,1536,0.005,adam,35,0.05,0.6343,0.1091
421,1024,70,32,0.25,1536,0.005,adam,35,0.05,0.6342,0.1404
171,512,70,32,0.25,1536,0.01,sgd,45,0.05,0.634,0.1133
209,512,70,512,0.1,2048,0.005,sgd,35,0.05,0.6338,0.1387
201,512,70,512,0.1,1536,0.01,sgd,35,0.05,0.6336,0.1476
457,1024,70,512,0.1,1536,0.01,sgd,35,0.05,0.6335,0.1358
385,1024,70,32,0.1,1536,0.005,sgd,35,0.05,0.6335,0.1169
502,1024,70,512,0.25,2048,0.005,adam,45,0.01,0.6333,0.1574
425,1024,70,32,0.25,1536,0.01,sgd,35,0.05,0.6331,0.1365
218,512,70,512,0.1,2048,0.01,sgd,45,0.01,0.633,0.1965
134,512,70,32,0.1,1536,0.005,adam,45,0.01,0.6328,0.124
135,512,70,32,0.1,1536,0.005,adam,45,0.05,0.6327,0.1164
395,1024,70,32,0.1,1536,0.01,sgd,45,0.05,0.6327,0.1113
461,1024,70,512,0.1,1536,0.01,adam,35,0.05,0.6326,0.1214
473,1024,70,512,0.1,2048,0.01,sgd,35,0.05,0.6325,0.1629
141,512,70,32,0.1,1536,0.01,adam,35,0.05,0.6325,0.1185
480,1024,70,512,0.25,1536,0.005,sgd,35,0.01,0.6324,0.1397
441,1024,70,32,0.25,2048,0.01,sgd,35,0.05,0.6324,0.1262
198,512,70,512,0.1,1536,0.005,adam,45,0.01,0.6321,0.14
424,1024,70,32,0.25,1536,0.01,sgd,35,0.01,0.6321,0.1335
159,512,70,32,0.1,2048,0.01,adam,45,0.05,0.6318,0.1149
384,1024,70,32,0.1,1536,0.005,sgd,35,0.01,0.6315,0.1437
442,1024,70,32,0.25,2048,0.01,sgd,45,0.01,0.6311,0.1287
219,512,70,512,0.1,2048,0.01,sgd,45,0.05,0.6311,0.1192
140,512,70,32,0.1,1536,0.01,adam,35,0.01,0.6311,0.1075
405,1024,70,32,0.1,2048,0.005,adam,35,0.05,0.6305,0.1341
174,512,70,32,0.25,1536,0.01,adam,45,0.01,0.6305,0.1107
508,1024,70,512,0.25,2048,0.01,adam,35,0.01,0.6304,0.1205
449,1024,70,512,0.1,1536,0.005,sgd,35,0.05,0.6302,0.1448
204,512,70,512,0.1,1536,0.01,adam,35,0.01,0.6302,0.1209
248,512,70,512,0.25,2048,0.01,sgd,35,0.01,0.63,0.1717
250,512,70,512,0.25,2048,0.01,sgd,45,0.01,0.63,0.153
413,1024,70,32,0.1,2048,0.01,adam,35,0.05,0.6295,0.1321
459,1024,70,512,0.1,1536,0.01,sgd,45,0.05,0.6294,0.1292
151,512,70,32,0.1,2048,0.005,adam,45,0.05,0.6291,0.1202
178,512,70,32,0.25,2048,0.005,sgd,45,0.01,0.6285,0.1149
187,512,70,32,0.25,2048,0.01,sgd,45,0.05,0.628,0.1242
481,1024,70,512,0.25,1536,0.005,sgd,35,0.05,0.6277,0.1323
163,512,70,32,0.25,1536,0.005,sgd,45,0.05,0.6275,0.1081
160,512,70,32,0.25,1536,0.005,sgd,35,0.01,0.6274,0.1219
462,1024,70,512,0.1,1536,0.01,adam,45,0.01,0.6273,0.1194
184,512,70,32,0.25,2048,0.01,sgd,35,0.01,0.6272,0.1243
150,512,70,32,0.1,2048,0.005,adam,45,0.01,0.6266,0.1477
129,512,70,32,0.1,1536,0.005,sgd,35,0.05,0.6266,0.1125
501,1024,70,512,0.25,2048,0.005,adam,35,0.05,0.6264,0.1123
241,512,70,512,0.25,2048,0.005,sgd,35,0.05,0.6263,0.1224
157,512,70,32,0.1,2048,0.01,adam,35,0.05,0.6262,0.1096
389,1024,70,32,0.1,1536,0.005,adam,35,0.05,0.6256,0.1316
412,1024,70,32,0.1,2048,0.01,adam,35,0.01,0.6254,0.1531
469,1024,70,512,0.1,2048,0.005,adam,35,0.05,0.625,0.1203
228,512,70,512,0.25,1536,0.005,adam,35,0.01,0.6246,0.1209
188,512,70,32,0.25,2048,0.01,adam,35,0.01,0.6245,0.1151
415,1024,70,32,0.1,2048,0.01,adam,45,0.05,0.6243,0.1314
493,1024,70,512,0.25,1536,0.01,adam,35,0.05,0.6243,0.1196
436,1024,70,32,0.25,2048,0.005,adam,35,0.01,0.6242,0.1537
213,512,70,512,0.1,2048,0.005,adam,35,0.05,0.6238,0.1075
217,512,70,512,0.1,2048,0.01,sgd,35,0.05,0.6236,0.1259
185,512,70,32,0.25,2048,0.01,sgd,35,0.05,0.6236,0.1108
192,512,70,512,0.1,1536,0.005,sgd,35,0.01,0.6233,0.1583
172,512,70,32,0.25,1536,0.01,adam,35,0.01,0.6224,0.123
175,512,70,32,0.25,1536,0.01,adam,45,0.05,0.6222,0.1078
484,1024,70,512,0.25,1536,0.005,adam,35,0.01,0.6217,0.1146
180,512,70,32,0.25,2048,0.005,adam,35,0.01,0.6209,0.1344
181,512,70,32,0.25,2048,0.005,adam,35,0.05,0.6197,0.1111
251,512,70,512,0.25,2048,0.01,sgd,45,0.05,0.6194,0.1571
444,1024,70,32,0.25,2048,0.01,adam,35,0.01,0.6194,0.1387
448,1024,70,512,0.1,1536,0.005,sgd,35,0.01,0.6193,0.1532
162,512,70,32,0.25,1536,0.005,sgd,45,0.01,0.6192,0.1119
137,512,70,32,0.1,1536,0.01,sgd,35,0.05,0.6192,0.1096
230,512,70,512,0.25,1536,0.005,adam,45,0.01,0.6191,0.1124
200,512,70,512,0.1,1536,0.01,sgd,35,0.01,0.619,0.1555
177,512,70,32,0.25,2048,0.005,sgd,35,0.05,0.6188,0.1172
437,1024,70,32,0.25,2048,0.005,adam,35,0.05,0.6184,0.1148
155,512,70,32,0.1,2048,0.01,sgd,45,0.05,0.6179,0.1045
164,512,70,32,0.25,1536,0.005,adam,35,0.01,0.6177,0.1222
460,1024,70,512,0.1,1536,0.01,adam,35,0.01,0.6171,0.1469
417,1024,70,32,0.25,1536,0.005,sgd,35,0.05,0.617,0.1102
143,512,70,32,0.1,1536,0.01,adam,45,0.05,0.6166,0.1067
189,512,70,32,0.25,2048,0.01,adam,35,0.05,0.616,0.1032
98,512,10,512,0.25,1536,0.005,sgd,45,0.01,0.6156,0.2839
222,512,70,512,0.1,2048,0.01,adam,45,0.01,0.6148,0.0972
454,1024,70,512,0.1,1536,0.005,adam,45,0.01,0.6142,0.1524
233,512,70,512,0.25,1536,0.01,sgd,35,0.05,0.6129,0.112
474,1024,70,512,0.1,2048,0.01,sgd,45,0.01,0.6126,0.21
404,1024,70,32,0.1,2048,0.005,adam,35,0.01,0.6124,0.1431
205,512,70,512,0.1,1536,0.01,adam,35,0.05,0.6123,0.1164
496,1024,70,512,0.25,2048,0.005,sgd,35,0.01,0.6117,0.1452
486,1024,70,512,0.25,1536,0.005,adam,45,0.01,0.6116,0.1672
182,512,70,32,0.25,2048,0.005,adam,45,0.01,0.6114,0.1334
208,512,70,512,0.1,2048,0.005,sgd,35,0.01,0.6108,0.1566
489,1024,70,512,0.25,1536,0.01,sgd,35,0.05,0.6106,0.1195
244,512,70,512,0.25,2048,0.005,adam,35,0.01,0.6103,0.1089
472,1024,70,512,0.1,2048,0.01,sgd,35,0.01,0.6102,0.1733
122,512,10,512,0.25,2048,0.01,sgd,45,0.01,0.609,0.2849
148,512,70,32,0.1,2048,0.005,adam,35,0.01,0.6085,0.1284
214,512,70,512,0.1,2048,0.005,adam,45,0.01,0.6083,0.1181
199,512,70,512,0.1,1536,0.005,adam,45,0.05,0.6083,0.1161
114,512,10,512,0.25,2048,0.005,sgd,45,0.01,0.6081,0.2879
106,512,10,512,0.25,1536,0.01,sgd,45,0.01,0.6077,0.2767
112,512,10,512,0.25,2048,0.005,sgd,35,0.01,0.6065,0.2673
173,512,70,32,0.25,1536,0.01,adam,35,0.05,0.6059,0.0943
196,512,70,512,0.1,1536,0.005,adam,35,0.01,0.6053,0.1105
191,512,70,32,0.25,2048,0.01,adam,45,0.05,0.6052,0.1033
161,512,70,32,0.25,1536,0.005,sgd,35,0.05,0.6051,0.1009
388,1024,70,32,0.1,1536,0.005,adam,35,0.01,0.6042,0.1666
452,1024,70,512,0.1,1536,0.005,adam,35,0.01,0.6038,0.1514
478,1024,70,512,0.1,2048,0.01,adam,45,0.01,0.6025,0.1207
401,1024,70,32,0.1,2048,0.005,sgd,35,0.05,0.602,0.1116
504,1024,70,512,0.25,2048,0.01,sgd,35,0.01,0.6012,0.1637
76,512,10,512,0.1,1536,0.01,adam,35,0.01,0.6004,0.255
247,512,70,512,0.25,2048,0.005,adam,45,0.05,0.6003,0.0976
197,512,70,512,0.1,1536,0.005,adam,35,0.05,0.6002,0.0902
145,512,70,32,0.1,2048,0.005,sgd,35,0.05,0.5991,0.1053
431,1024,70,32,0.25,1536,0.01,adam,45,0.05,0.599,0.1372
221,512,70,512,0.1,2048,0.01,adam,35,0.05,0.5988,0.0888
99,512,10,512,0.25,1536,0.005,sgd,45,0.05,0.5985,0.303
456,1024,70,512,0.1,1536,0.01,sgd,35,0.01,0.5983,0.1958
96,512,10,512,0.25,1536,0.005,sgd,35,0.01,0.5973,0.2728
34,512,10,32,0.25,1536,0.005,sgd,45,0.01,0.5972,0.3068
202,512,70,512,0.1,1536,0.01,sgd,45,0.01,0.5969,0.2392
362,1024,10,512,0.25,1536,0.01,sgd,45,0.01,0.5968,0.3158
58,512,10,32,0.25,2048,0.01,sgd,45,0.01,0.5961,0.3111
