,batch_size,bce_pos_class_weight,dropout_p,hidden_layer_size,input_layer_norm,lr,num_layers,optimizer_type,sequence_length,weight_decay,tss,hss
176,32,30,0.5,4,False,0.01,2,adam,15,0.0001,0.4767,0.2169
819,512,75,0.1,4,False,0.01,2,adam,45,0.01,0.4456,0.1776
440,32,75,0.5,4,False,0.01,4,adam,15,0.0001,0.4447,0.1439
818,512,75,0.1,4,False,0.01,2,adam,45,0.0001,0.4446,0.1759
122,32,30,0.1,16,False,0.01,4,adam,45,0.0001,0.4346,0.1737
145,32,30,0.5,4,True,0.01,2,adam,15,0.01,0.4344,0.149
275,32,75,0.1,4,True,0.01,2,adam,45,0.01,0.434,0.1247
120,32,30,0.1,16,False,0.01,4,adam,15,0.0001,0.428,0.2073
48,32,30,0.1,4,False,0.01,2,adam,15,0.0001,0.4225,0.2039
113,32,30,0.1,16,False,0.01,2,adam,15,0.01,0.4165,0.1909
20,32,30,0.1,4,True,0.01,2,sgd,15,0.0001,0.4134,0.1619
883,512,75,0.1,16,False,0.01,2,adam,45,0.01,0.4106,0.164
792,512,75,0.1,4,True,0.01,4,adam,15,0.0001,0.4098,0.1362
248,32,30,0.5,16,False,0.01,4,adam,15,0.0001,0.4085,0.1882
226,32,30,0.5,16,False,0.0001,2,adam,45,0.0001,0.4028,0.1913
508,32,75,0.5,16,False,0.01,4,sgd,15,0.0001,0.402,0.1022
117,32,30,0.1,16,False,0.01,2,sgd,15,0.01,0.4012,0.1852
755,512,30,0.5,16,False,0.01,2,adam,45,0.01,0.4002,0.1946
978,512,75,0.5,16,True,0.01,2,adam,45,0.0001,0.3991,0.1323
312,32,75,0.1,4,False,0.01,4,adam,15,0.0001,0.3979,0.11
401,32,75,0.5,4,True,0.01,2,adam,15,0.01,0.3979,0.099
786,512,75,0.1,4,True,0.01,2,adam,45,0.0001,0.397,0.1189
354,32,75,0.1,16,False,0.0001,2,adam,45,0.0001,0.3955,0.1152
947,512,75,0.5,4,False,0.01,2,adam,45,0.01,0.3952,0.1372
890,512,75,0.1,16,False,0.01,4,adam,45,0.0001,0.3951,0.1523
504,32,75,0.5,16,False,0.01,4,adam,15,0.0001,0.3945,0.157
436,32,75,0.5,4,False,0.01,2,sgd,15,0.0001,0.3944,0.1422
183,32,30,0.5,4,False,0.01,2,sgd,45,0.01,0.3933,0.1495
981,512,75,0.5,16,True,0.01,2,sgd,15,0.01,0.3914,0.1225
478,32,75,0.5,16,True,0.01,4,sgd,45,0.0001,0.3898,0.0958
500,32,75,0.5,16,False,0.01,2,sgd,15,0.0001,0.3889,0.155
886,512,75,0.1,16,False,0.01,2,sgd,45,0.0001,0.3883,0.1049
762,512,30,0.5,16,False,0.01,4,adam,45,0.0001,0.3865,0.1763
49,32,30,0.1,4,False,0.01,2,adam,15,0.01,0.3855,0.1491
1017,512,75,0.5,16,False,0.01,4,adam,15,0.01,0.385,0.1474
118,32,30,0.1,16,False,0.01,2,sgd,45,0.0001,0.3849,0.1794
243,32,30,0.5,16,False,0.01,2,adam,45,0.01,0.3848,0.1864
182,32,30,0.5,4,False,0.01,2,sgd,45,0.0001,0.3839,0.1764
