,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss
283,512,35,16,0.1,1048,0.01,sgd,45,0.01,0.6811,0.1863
267,512,35,16,0.1,256,0.01,sgd,45,0.01,0.6725,0.1894
315,512,35,16,0.5,1048,0.01,sgd,45,0.01,0.6699,0.1726
295,512,35,16,0.5,256,0.0001,adam,45,0.01,0.6641,0.1527
311,512,35,16,0.5,1048,0.0001,adam,45,0.01,0.6638,0.1589
294,512,35,16,0.5,256,0.0001,adam,45,0.001,0.6637,0.1562
279,512,35,16,0.1,1048,0.0001,adam,45,0.01,0.6627,0.1847
362,512,35,64,0.5,256,0.01,sgd,45,0.001,0.6604,0.1511
363,512,35,64,0.5,256,0.01,sgd,45,0.01,0.6603,0.1779
358,512,35,64,0.5,256,0.0001,adam,45,0.001,0.66,0.1572
319,512,35,16,0.5,1048,0.01,adam,45,0.01,0.6594,0.2036
310,512,35,16,0.5,1048,0.0001,adam,45,0.001,0.6593,0.1649
298,512,35,16,0.5,256,0.01,sgd,45,0.001,0.6588,0.1624
59,64,35,16,0.5,1048,0.01,sgd,45,0.01,0.6579,0.1577
262,512,35,16,0.1,256,0.0001,adam,45,0.001,0.6572,0.1598
287,512,35,16,0.1,1048,0.01,adam,45,0.01,0.657,0.1784
263,512,35,16,0.1,256,0.0001,adam,45,0.01,0.657,0.1642
299,512,35,16,0.5,256,0.01,sgd,45,0.01,0.6556,0.1757
415,512,75,16,0.1,1048,0.01,adam,45,0.01,0.6551,0.1277
327,512,35,64,0.1,256,0.0001,adam,45,0.01,0.6543,0.1915
367,512,35,64,0.5,256,0.01,adam,45,0.01,0.6542,0.1667
7,64,35,16,0.1,256,0.0001,adam,45,0.01,0.6535,0.1524
282,512,35,16,0.1,1048,0.01,sgd,45,0.001,0.6534,0.1912
442,512,75,16,0.5,1048,0.01,sgd,45,0.001,0.6534,0.1213
443,512,75,16,0.5,1048,0.01,sgd,45,0.01,0.653,0.1253
378,512,35,64,0.5,1048,0.01,sgd,45,0.001,0.6528,0.1536
359,512,35,64,0.5,256,0.0001,adam,45,0.01,0.6519,0.1612
379,512,35,64,0.5,1048,0.01,sgd,45,0.01,0.6512,0.1531
383,512,35,64,0.5,1048,0.01,adam,45,0.01,0.651,0.1824
331,512,35,64,0.1,256,0.01,sgd,45,0.01,0.6492,0.2062
375,512,35,64,0.5,1048,0.0001,adam,45,0.01,0.6491,0.1531
470,512,75,64,0.1,1048,0.0001,adam,45,0.001,0.648,0.1438
318,512,35,16,0.5,1048,0.01,adam,45,0.001,0.6478,0.1499
398,512,75,16,0.1,256,0.01,adam,45,0.001,0.6466,0.1696
326,512,35,64,0.1,256,0.0001,adam,45,0.001,0.6465,0.2002
266,512,35,16,0.1,256,0.01,sgd,45,0.001,0.6462,0.1972
427,512,75,16,0.5,256,0.01,sgd,45,0.01,0.6452,0.1161
343,512,35,64,0.1,1048,0.0001,adam,45,0.01,0.6446,0.1972
374,512,35,64,0.5,1048,0.0001,adam,45,0.001,0.6446,0.1602
278,512,35,16,0.1,1048,0.0001,adam,45,0.001,0.6443,0.1653
414,512,75,16,0.1,1048,0.01,adam,45,0.001,0.6443,0.1572
495,512,75,64,0.5,256,0.01,adam,45,0.01,0.6443,0.1377
271,512,35,16,0.1,256,0.01,adam,45,0.01,0.6436,0.1752
394,512,75,16,0.1,256,0.01,sgd,45,0.001,0.6434,0.1482
494,512,75,64,0.5,256,0.01,adam,45,0.001,0.643,0.1475
411,512,75,16,0.1,1048,0.01,sgd,45,0.01,0.6422,0.1346
347,512,35,64,0.1,1048,0.01,sgd,45,0.01,0.642,0.2137
