,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss
241,128,70,4,0.2,1024,0.0075,adam,20,0.06,0.5183,0.1725
669,256,70,8,0.05,1024,0.015,sgd,20,0.06,0.4704,0.1828
78,128,40,8,0.05,768,0.015,sgd,45,0.025,0.4702,0.1542
15,128,40,4,0.05,768,0.015,sgd,45,0.06,0.4677,0.1785
16,128,40,4,0.05,1024,0.0075,adam,20,0.025,0.464,0.2074
172,128,40,12,0.2,768,0.015,sgd,20,0.025,0.4638,0.1887
200,128,70,4,0.05,768,0.015,adam,20,0.025,0.4624,0.1802
291,128,70,8,0.2,768,0.0075,adam,45,0.06,0.4611,0.1597
289,128,70,8,0.2,768,0.0075,adam,20,0.06,0.4575,0.1616
729,256,70,12,0.05,1024,0.015,adam,20,0.06,0.4546,0.1399
628,256,70,4,0.2,1024,0.0075,sgd,20,0.025,0.4543,0.141
98,128,40,8,0.2,768,0.0075,adam,45,0.025,0.454,0.1668
733,256,70,12,0.05,1024,0.015,sgd,20,0.06,0.4511,0.1412
210,128,70,4,0.05,1024,0.0075,adam,45,0.025,0.4486,0.1563
11,128,40,4,0.05,768,0.015,adam,45,0.06,0.4482,0.1712
336,128,70,12,0.05,1024,0.0075,adam,20,0.025,0.4479,0.1832
256,128,70,8,0.05,768,0.0075,adam,20,0.025,0.4462,0.2051
626,256,70,4,0.2,1024,0.0075,adam,45,0.025,0.4457,0.1624
618,256,70,4,0.2,768,0.015,adam,45,0.025,0.4455,0.1263
585,256,70,4,0.05,768,0.015,adam,20,0.06,0.444,0.1415
391,256,40,4,0.05,768,0.0075,sgd,45,0.06,0.4429,0.1429
456,256,40,8,0.05,768,0.015,adam,20,0.025,0.4427,0.2247
732,256,70,12,0.05,1024,0.015,sgd,20,0.025,0.4425,0.163
351,128,70,12,0.05,1024,0.015,sgd,45,0.06,0.4399,0.1485
418,256,40,4,0.2,768,0.0075,adam,45,0.025,0.4397,0.1634
39,128,40,4,0.2,768,0.0075,sgd,45,0.06,0.4394,0.1505
305,128,70,8,0.2,1024,0.0075,adam,20,0.06,0.4385,0.1765
27,128,40,4,0.05,1024,0.015,adam,45,0.06,0.4383,0.1665
194,128,70,4,0.05,768,0.0075,adam,45,0.025,0.4372,0.1591
343,128,70,12,0.05,1024,0.0075,sgd,45,0.06,0.437,0.146
375,128,70,12,0.2,1024,0.0075,sgd,45,0.06,0.4368,0.153
87,128,40,8,0.05,1024,0.0075,sgd,45,0.06,0.4356,0.1957
668,256,70,8,0.05,1024,0.015,sgd,20,0.025,0.4347,0.1491
560,256,40,12,0.2,1024,0.0075,adam,20,0.025,0.4337,0.211
604,256,70,4,0.05,1024,0.015,sgd,20,0.025,0.4336,0.1345
695,256,70,8,0.2,1024,0.0075,sgd,45,0.06,0.4331,0.1202
271,128,70,8,0.05,768,0.015,sgd,45,0.06,0.4328,0.1644
