,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss
443,1024,50,32,0.5,2048,0.025,sgd,45,0.025,0.6797,0.1799
211,512,50,128,0.1,2048,0.005,sgd,45,0.025,0.6777,0.171
391,1024,50,32,0.1,512,0.005,adam,45,0.025,0.6744,0.1746
49,512,25,32,0.5,2048,0.005,sgd,40,0.025,0.6708,0.1957
285,1024,25,32,0.1,2048,0.025,adam,40,0.025,0.6702,0.2255
71,512,25,128,0.1,512,0.005,adam,45,0.025,0.6702,0.198
130,512,50,32,0.1,512,0.005,sgd,45,0.001,0.669,0.172
467,1024,50,128,0.1,2048,0.005,sgd,45,0.025,0.6684,0.1948
145,512,50,32,0.1,2048,0.005,sgd,40,0.025,0.6684,0.1595
449,1024,50,128,0.1,512,0.005,sgd,40,0.025,0.6677,0.1795
395,1024,50,32,0.1,512,0.025,sgd,45,0.025,0.6677,0.1695
147,512,50,32,0.1,2048,0.005,sgd,45,0.025,0.6674,0.1615
507,1024,50,128,0.5,2048,0.025,sgd,45,0.025,0.6673,0.1608
115,512,25,128,0.5,2048,0.005,sgd,45,0.025,0.6672,0.1866
195,512,50,128,0.1,512,0.005,sgd,45,0.025,0.6666,0.1679
503,1024,50,128,0.5,2048,0.005,adam,45,0.025,0.6662,0.1838
243,512,50,128,0.5,2048,0.005,sgd,45,0.025,0.6662,0.139
363,1024,25,128,0.5,512,0.025,sgd,45,0.025,0.6661,0.2258
477,1024,50,128,0.1,2048,0.025,adam,40,0.025,0.6659,0.1497
509,1024,50,128,0.5,2048,0.025,adam,40,0.025,0.6657,0.1579
461,1024,50,128,0.1,512,0.025,adam,40,0.025,0.6651,0.1741
32,512,25,32,0.5,512,0.005,sgd,40,0.001,0.665,0.1942
51,512,25,32,0.5,2048,0.005,sgd,45,0.025,0.6647,0.203
111,512,25,128,0.5,512,0.025,adam,45,0.025,0.6643,0.1867
435,1024,50,32,0.5,2048,0.005,sgd,45,0.025,0.6641,0.1522
415,1024,50,32,0.1,2048,0.025,adam,45,0.025,0.6641,0.1446
385,1024,50,32,0.1,512,0.005,sgd,40,0.025,0.664,0.1509
499,1024,50,128,0.5,2048,0.005,sgd,45,0.025,0.664,0.1503
387,1024,50,32,0.1,512,0.005,sgd,45,0.025,0.6639,0.1439
401,1024,50,32,0.1,2048,0.005,sgd,40,0.025,0.6638,0.1762
459,1024,50,128,0.1,512,0.025,sgd,45,0.025,0.6637,0.1912
455,1024,50,128,0.1,512,0.005,adam,45,0.025,0.6637,0.1696
483,1024,50,128,0.5,512,0.005,sgd,45,0.025,0.6635,0.1552
491,1024,50,128,0.5,512,0.025,sgd,45,0.025,0.6633,0.1615
371,1024,25,128,0.5,2048,0.005,sgd,45,0.025,0.6629,0.2023
7,512,25,32,0.1,512,0.005,adam,45,0.025,0.6625,0.1948
