,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss
398,512,75,16,0.1,64,0.01,sgd,45,0.0001,0.4404,0.1105
463,512,75,32,0.1,64,0.01,sgd,45,0.01,0.4365,0.1288
415,512,75,16,0.1,1048,0.01,sgd,45,0.01,0.4268,0.1503
510,512,75,32,0.5,1048,0.01,sgd,45,0.0001,0.4232,0.1276
414,512,75,16,0.1,1048,0.01,sgd,45,0.0001,0.4227,0.1625
478,512,75,32,0.1,1048,0.01,sgd,45,0.0001,0.4165,0.1745
511,512,75,32,0.5,1048,0.01,sgd,45,0.01,0.4132,0.1181
319,512,30,16,0.5,1048,0.01,sgd,45,0.01,0.4127,0.1566
351,512,30,32,0.1,1048,0.01,sgd,45,0.01,0.41,0.2
462,512,75,32,0.1,64,0.01,sgd,45,0.0001,0.4094,0.1431
479,512,75,32,0.1,1048,0.01,sgd,45,0.01,0.4058,0.1632
443,512,75,16,0.5,1048,0.01,adam,45,0.01,0.4044,0.1536
447,512,75,16,0.5,1048,0.01,sgd,45,0.01,0.4032,0.1116
495,512,75,32,0.5,64,0.01,sgd,45,0.01,0.4029,0.1082
399,512,75,16,0.1,64,0.01,sgd,45,0.01,0.4027,0.1048
306,512,30,16,0.5,1048,0.0001,adam,45,0.0001,0.4018,0.1566
98,32,30,32,0.5,64,0.0001,adam,45,0.0001,0.4011,0.1385
286,512,30,16,0.1,1048,0.01,sgd,45,0.0001,0.4001,0.2026
491,512,75,32,0.5,64,0.01,adam,45,0.01,0.3984,0.1887
287,512,30,16,0.1,1048,0.01,sgd,45,0.01,0.3978,0.1797
350,512,30,32,0.1,1048,0.01,sgd,45,0.0001,0.3954,0.2038
499,512,75,32,0.5,1048,0.0001,adam,45,0.01,0.3951,0.1025
490,512,75,32,0.5,64,0.01,adam,45,0.0001,0.3926,0.1687
345,512,30,32,0.1,1048,0.01,adam,15,0.01,0.3916,0.193
446,512,75,16,0.5,1048,0.01,sgd,45,0.0001,0.3905,0.1161
271,512,30,16,0.1,64,0.01,sgd,45,0.01,0.3904,0.1532
265,512,30,16,0.1,64,0.01,adam,15,0.01,0.3853,0.2034
334,512,30,32,0.1,64,0.01,sgd,45,0.0001,0.3843,0.1872
335,512,30,32,0.1,64,0.01,sgd,45,0.01,0.3837,0.1869
427,512,75,16,0.5,64,0.01,adam,45,0.01,0.3811,0.1396
396,512,75,16,0.1,64,0.01,sgd,15,0.0001,0.3804,0.1487
307,512,30,16,0.5,1048,0.0001,adam,45,0.01,0.3782,0.1323
401,512,75,16,0.1,1048,0.0001,adam,15,0.01,0.3776,0.0912
35,32,30,16,0.5,64,0.0001,adam,45,0.01,0.3764,0.1386
431,512,75,16,0.5,64,0.01,sgd,45,0.01,0.3757,0.0763
369,512,30,32,0.5,1048,0.0001,adam,15,0.01,0.3749,0.1278
336,512,30,32,0.1,1048,0.0001,adam,15,0.0001,0.3732,0.1562
270,512,30,16,0.1,64,0.01,sgd,45,0.0001,0.3729,0.1514
300,512,30,16,0.5,64,0.01,sgd,15,0.0001,0.3716,0.1687
371,512,30,32,0.5,1048,0.0001,adam,45,0.01,0.3714,0.1389
393,512,75,16,0.1,64,0.01,adam,15,0.01,0.3713,0.1914
426,512,75,16,0.5,64,0.01,adam,45,0.0001,0.371,0.1544
444,512,75,16,0.5,1048,0.01,sgd,15,0.0001,0.3701,0.1295
273,512,30,16,0.1,1048,0.0001,adam,15,0.01,0.3697,0.1606
227,32,75,32,0.5,64,0.0001,adam,45,0.01,0.3684,0.101
368,512,30,32,0.5,1048,0.0001,adam,15,0.0001,0.3682,0.1252
379,512,30,32,0.5,1048,0.01,adam,45,0.01,0.3676,0.1874
428,512,75,16,0.5,64,0.01,sgd,15,0.0001,0.3676,0.1209
272,512,30,16,0.1,1048,0.0001,adam,15,0.0001,0.3664,0.1494
430,512,75,16,0.5,64,0.01,sgd,45,0.0001,0.366,0.0948
467,512,75,32,0.1,1048,0.0001,adam,45,0.01,0.3655,0.1262
383,512,30,32,0.5,1048,0.01,sgd,45,0.01,0.3646,0.1505
318,512,30,16,0.5,1048,0.01,sgd,45,0.0001,0.3644,0.1441
304,512,30,16,0.5,1048,0.0001,adam,15,0.0001,0.3644,0.1294
299,512,30,16,0.5,64,0.01,adam,45,0.01,0.3643,0.1811
139,32,75,16,0.1,64,0.01,adam,45,0.01,0.3643,0.1172
365,512,30,32,0.5,64,0.01,sgd,15,0.01,0.3639,0.1539
281,512,30,16,0.1,1048,0.01,adam,15,0.01,0.3636,0.206
397,512,75,16,0.1,64,0.01,sgd,15,0.01,0.3636,0.1462
429,512,75,16,0.5,64,0.01,sgd,15,0.01,0.3636,0.1197
366,512,30,32,0.5,64,0.01,sgd,45,0.0001,0.363,0.1358
301,512,30,16,0.5,64,0.01,sgd,15,0.01,0.361,0.1644
466,512,75,32,0.1,1048,0.0001,adam,45,0.0001,0.3607,0.158
425,512,75,16,0.5,64,0.01,adam,15,0.01,0.3602,0.1322
494,512,75,32,0.5,64,0.01,sgd,45,0.0001,0.3602,0.0948
367,512,30,32,0.5,64,0.01,sgd,45,0.01,0.3596,0.1311
316,512,30,16,0.5,1048,0.01,sgd,15,0.0001,0.3578,0.1622
361,512,30,32,0.5,64,0.01,adam,15,0.01,0.3578,0.1604
275,512,30,16,0.1,1048,0.0001,adam,45,0.01,0.3577,0.1504
395,512,75,16,0.1,64,0.01,adam,45,0.01,0.3574,0.2158
507,512,75,32,0.5,1048,0.01,adam,45,0.01,0.3572,0.1571
509,512,75,32,0.5,1048,0.01,sgd,15,0.01,0.3559,0.1371
226,32,75,32,0.5,64,0.0001,adam,45,0.0001,0.3559,0.1039
131,32,75,16,0.1,64,0.0001,adam,45,0.01,0.3556,0.1152
51,32,30,16,0.5,1048,0.0001,adam,45,0.01,0.3547,0.1332
403,512,75,16,0.1,1048,0.0001,adam,45,0.01,0.3544,0.0795
191,32,75,16,0.5,1048,0.01,sgd,45,0.01,0.3541,0.1288
377,512,30,32,0.5,1048,0.01,adam,15,0.01,0.3536,0.1704
302,512,30,16,0.5,64,0.01,sgd,45,0.0001,0.353,0.1117
370,512,30,32,0.5,1048,0.0001,adam,45,0.0001,0.3528,0.1247
315,512,30,16,0.5,1048,0.01,adam,45,0.01,0.3526,0.1664
339,512,30,32,0.1,1048,0.0001,adam,45,0.01,0.3521,0.1814
464,512,75,32,0.1,1048,0.0001,adam,15,0.0001,0.3521,0.1132
493,512,75,32,0.5,64,0.01,sgd,15,0.01,0.3521,0.1073
364,512,30,32,0.5,64,0.01,sgd,15,0.0001,0.3518,0.1385
506,512,75,32,0.5,1048,0.01,adam,45,0.0001,0.3511,0.1711
337,512,30,32,0.1,1048,0.0001,adam,15,0.01,0.3511,0.1621
457,512,75,32,0.1,64,0.01,adam,15,0.01,0.351,0.1569
412,512,75,16,0.1,1048,0.01,sgd,15,0.0001,0.3505,0.1498
411,512,75,16,0.1,1048,0.01,adam,45,0.01,0.3498,0.1923
338,512,30,32,0.1,1048,0.0001,adam,45,0.0001,0.3494,0.1897
303,512,30,16,0.5,64,0.01,sgd,45,0.01,0.349,0.1181
178,32,75,16,0.5,1048,0.0001,adam,45,0.0001,0.3479,0.1045
34,32,30,16,0.5,64,0.0001,adam,45,0.0001,0.3475,0.1352
332,512,30,32,0.1,64,0.01,sgd,15,0.0001,0.347,0.1863
477,512,75,32,0.1,1048,0.01,sgd,15,0.01,0.347,0.1556
256,512,30,16,0.1,64,0.0001,adam,15,0.0001,0.3468,0.1181
362,512,30,32,0.5,64,0.01,adam,45,0.0001,0.3465,0.1827
305,512,30,16,0.5,1048,0.0001,adam,15,0.01,0.3464,0.1292
413,512,75,16,0.1,1048,0.01,sgd,15,0.01,0.346,0.1474
380,512,30,32,0.5,1048,0.01,sgd,15,0.0001,0.3459,0.1398
461,512,75,32,0.1,64,0.01,sgd,15,0.01,0.3454,0.1328
130,32,75,16,0.1,64,0.0001,adam,45,0.0001,0.345,0.109
317,512,30,16,0.5,1048,0.01,sgd,15,0.01,0.3447,0.1386
320,512,30,32,0.1,64,0.0001,adam,15,0.0001,0.3447,0.1351
402,512,75,16,0.1,1048,0.0001,adam,45,0.0001,0.3443,0.0998
382,512,30,32,0.5,1048,0.01,sgd,45,0.0001,0.3438,0.1375
498,512,75,32,0.5,1048,0.0001,adam,45,0.0001,0.3433,0.0892
460,512,75,32,0.1,64,0.01,sgd,15,0.0001,0.3432,0.1637
435,512,75,16,0.5,1048,0.0001,adam,45,0.01,0.3429,0.0586
162,32,75,16,0.5,64,0.0001,adam,45,0.0001,0.3421,0.0879
285,512,30,16,0.1,1048,0.01,sgd,15,0.01,0.3411,0.1891
445,512,75,16,0.5,1048,0.01,sgd,15,0.01,0.3406,0.1178
321,512,30,32,0.1,64,0.0001,adam,15,0.01,0.3404,0.1369
268,512,30,16,0.1,64,0.01,sgd,15,0.0001,0.3396,0.1579
352,512,30,32,0.5,64,0.0001,adam,15,0.0001,0.3394,0.1118
475,512,75,32,0.1,1048,0.01,adam,45,0.01,0.3393,0.1699
257,512,30,16,0.1,64,0.0001,adam,15,0.01,0.3379,0.1067
99,32,30,32,0.5,64,0.0001,adam,45,0.01,0.3378,0.1316
243,32,75,32,0.5,1048,0.0001,adam,45,0.01,0.3377,0.1042
63,32,30,16,0.5,1048,0.01,sgd,45,0.01,0.3371,0.1527
465,512,75,32,0.1,1048,0.0001,adam,15,0.01,0.3363,0.095
269,512,30,16,0.1,64,0.01,sgd,15,0.01,0.3362,0.1842
87,32,30,32,0.1,1048,0.0001,sgd,45,0.01,0.336,0.1161
508,512,75,32,0.5,1048,0.01,sgd,15,0.0001,0.3355,0.1116
329,512,30,32,0.1,64,0.01,adam,15,0.01,0.3347,0.1916
163,32,75,16,0.5,64,0.0001,adam,45,0.01,0.3344,0.084
2,32,30,16,0.1,64,0.0001,adam,45,0.0001,0.334,0.1598
31,32,30,16,0.1,1048,0.01,sgd,45,0.01,0.3335,0.1565
492,512,75,32,0.5,64,0.01,sgd,15,0.0001,0.3333,0.1111
349,512,30,32,0.1,1048,0.01,sgd,15,0.01,0.3324,0.1751
434,512,75,16,0.5,1048,0.0001,adam,45,0.0001,0.3312,0.0655
284,512,30,16,0.1,1048,0.01,sgd,15,0.0001,0.3302,0.1525
50,32,30,16,0.5,1048,0.0001,adam,45,0.0001,0.3289,0.1428
