,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss
597,256,60,4,0.1,768,0.005,sgd,15,0.05,0.5001,0.1977
410,256,45,4,0.1,768,0.025,adam,45,0.01,0.4792,0.187
78,128,45,8,0.1,512,0.025,sgd,45,0.01,0.4785,0.2242
347,128,60,16,0.1,768,0.025,adam,45,0.05,0.4765,0.1692
447,256,45,4,0.5,768,0.025,sgd,45,0.05,0.4759,0.1433
749,256,60,16,0.5,512,0.025,sgd,15,0.05,0.4741,0.146
445,256,45,4,0.5,768,0.025,sgd,15,0.05,0.4639,0.1958
246,128,60,4,0.5,768,0.005,sgd,45,0.01,0.4639,0.1659
628,256,60,4,0.5,768,0.005,sgd,15,0.01,0.4636,0.1596
174,128,45,16,0.5,512,0.025,sgd,45,0.01,0.4532,0.167
229,128,60,4,0.5,512,0.005,sgd,15,0.05,0.4519,0.1562
242,128,60,4,0.5,768,0.005,adam,45,0.01,0.4516,0.127
103,128,45,8,0.5,512,0.005,sgd,45,0.05,0.4512,0.1473
716,256,60,16,0.1,512,0.025,sgd,15,0.01,0.4506,0.1908
254,128,60,4,0.5,768,0.025,sgd,45,0.01,0.449,0.1649
247,128,60,4,0.5,768,0.005,sgd,45,0.05,0.4472,0.1433
479,256,45,8,0.1,768,0.025,sgd,45,0.05,0.4446,0.1543
419,256,45,4,0.5,512,0.005,adam,45,0.05,0.4439,0.1552
527,256,45,16,0.1,512,0.025,sgd,45,0.05,0.443,0.1693
110,128,45,8,0.5,512,0.025,sgd,45,0.01,0.4408,0.164
573,256,45,16,0.5,768,0.025,sgd,15,0.05,0.4404,0.1506
54,128,45,4,0.5,768,0.005,sgd,45,0.01,0.4398,0.1704
577,256,60,4,0.1,512,0.005,adam,15,0.05,0.4395,0.1631
119,128,45,8,0.5,768,0.005,sgd,45,0.05,0.4394,0.1891
50,128,45,4,0.5,768,0.005,adam,45,0.01,0.4387,0.1696
765,256,60,16,0.5,768,0.025,sgd,15,0.05,0.4367,0.1416
383,128,60,16,0.5,768,0.025,sgd,45,0.05,0.4366,0.1526
279,128,60,8,0.1,768,0.005,sgd,45,0.05,0.4364,0.1455
635,256,60,4,0.5,768,0.025,adam,45,0.05,0.4363,0.1365
219,128,60,4,0.1,768,0.025,adam,45,0.05,0.4354,0.1497
262,128,60,8,0.1,512,0.005,sgd,45,0.01,0.4313,0.1512
699,256,60,8,0.5,768,0.025,adam,45,0.05,0.4308,0.1228
484,256,45,8,0.5,512,0.005,sgd,15,0.01,0.4299,0.1361
223,128,60,4,0.1,768,0.025,sgd,45,0.05,0.4286,0.1306
463,256,45,8,0.1,512,0.025,sgd,45,0.05,0.4281,0.1623
603,256,60,4,0.1,768,0.025,adam,45,0.05,0.4273,0.1174
182,128,45,16,0.5,768,0.005,sgd,45,0.01,0.4268,0.1553
663,256,60,8,0.1,768,0.005,sgd,45,0.05,0.4262,0.1194
47,128,45,4,0.5,512,0.025,sgd,45,0.05,0.4254,0.1664
519,256,45,16,0.1,512,0.005,sgd,45,0.05,0.4252,0.1351
659,256,60,8,0.1,768,0.005,adam,45,0.05,0.4248,0.1831
214,128,60,4,0.1,768,0.005,sgd,45,0.01,0.4245,0.1612
19,128,45,4,0.1,768,0.005,adam,45,0.05,0.4244,0.1514
638,256,60,4,0.5,768,0.025,sgd,45,0.01,0.4233,0.181
661,256,60,8,0.1,768,0.005,sgd,15,0.05,0.4228,0.1163
427,256,45,4,0.5,512,0.025,adam,45,0.05,0.4222,0.1511
490,256,45,8,0.5,512,0.025,adam,45,0.01,0.4211,0.1645
102,128,45,8,0.5,512,0.005,sgd,45,0.01,0.4209,0.1567
483,256,45,8,0.5,512,0.005,adam,45,0.05,0.4204,0.1663
686,256,60,8,0.5,512,0.025,sgd,45,0.01,0.4204,0.156
243,128,60,4,0.5,768,0.005,adam,45,0.05,0.4204,0.1398
31,128,45,4,0.1,768,0.025,sgd,45,0.05,0.4203,0.19
318,128,60,8,0.5,768,0.025,sgd,45,0.01,0.4202,0.156
227,128,60,4,0.5,512,0.005,adam,45,0.05,0.4199,0.1314
613,256,60,4,0.5,512,0.005,sgd,15,0.05,0.4198,0.1527
627,256,60,4,0.5,768,0.005,adam,45,0.05,0.4194,0.1399
559,256,45,16,0.5,512,0.025,sgd,45,0.05,0.4192,0.1641
326,128,60,16,0.1,512,0.005,sgd,45,0.01,0.4189,0.1461
230,128,60,4,0.5,512,0.005,sgd,45,0.01,0.4179,0.1384
342,128,60,16,0.1,768,0.005,sgd,45,0.01,0.4177,0.1637
735,256,60,16,0.1,768,0.025,sgd,45,0.05,0.4175,0.1452
74,128,45,8,0.1,512,0.025,adam,45,0.01,0.4172,0.1456
55,128,45,4,0.5,768,0.005,sgd,45,0.05,0.4169,0.1441
547,256,45,16,0.5,512,0.005,adam,45,0.05,0.4168,0.134
139,128,45,16,0.1,512,0.025,adam,45,0.05,0.4168,0.1091
34,128,45,4,0.5,512,0.005,adam,45,0.01,0.416,0.1316
261,128,60,8,0.1,512,0.005,sgd,15,0.05,0.4159,0.161
407,256,45,4,0.1,768,0.005,sgd,45,0.05,0.4158,0.1184
667,256,60,8,0.1,768,0.025,adam,45,0.05,0.4157,0.1255
379,128,60,16,0.5,768,0.025,adam,45,0.05,0.4155,0.1199
711,256,60,16,0.1,512,0.005,sgd,45,0.05,0.4154,0.1053
433,256,45,4,0.5,768,0.005,adam,15,0.05,0.4148,0.1393
733,256,60,16,0.1,768,0.025,sgd,15,0.05,0.4146,0.139
319,128,60,8,0.5,768,0.025,sgd,45,0.05,0.4146,0.1337
619,256,60,4,0.5,512,0.025,adam,45,0.05,0.4145,0.1286
266,128,60,8,0.1,512,0.025,adam,45,0.01,0.4144,0.1909
634,256,60,4,0.5,768,0.025,adam,45,0.01,0.4144,0.1245
263,128,60,8,0.1,512,0.005,sgd,45,0.05,0.4138,0.1359
358,128,60,16,0.5,512,0.005,sgd,45,0.01,0.4137,0.1519
234,128,60,4,0.5,512,0.025,adam,45,0.01,0.4136,0.1573
135,128,45,16,0.1,512,0.005,sgd,45,0.05,0.4132,0.15
406,256,45,4,0.1,768,0.005,sgd,45,0.01,0.4132,0.1431
335,128,60,16,0.1,512,0.025,sgd,45,0.05,0.413,0.1404
250,128,60,4,0.5,768,0.025,adam,45,0.01,0.413,0.1194
87,128,45,8,0.1,768,0.005,sgd,45,0.05,0.4124,0.1431
375,128,60,16,0.5,768,0.005,sgd,45,0.05,0.4124,0.1269
38,128,45,4,0.5,512,0.005,sgd,45,0.01,0.4123,0.1548
310,128,60,8,0.5,768,0.005,sgd,45,0.01,0.4123,0.1343
403,256,45,4,0.1,768,0.005,adam,45,0.05,0.412,0.1586
713,256,60,16,0.1,512,0.025,adam,15,0.05,0.4116,0.0997
127,128,45,8,0.5,768,0.025,sgd,45,0.05,0.4115,0.14
231,128,60,4,0.5,512,0.005,sgd,45,0.05,0.4114,0.1147
574,256,45,16,0.5,768,0.025,sgd,45,0.01,0.4113,0.1776
386,256,45,4,0.1,512,0.005,adam,45,0.01,0.4112,0.1687
618,256,60,4,0.5,512,0.025,adam,45,0.01,0.4112,0.1312
678,256,60,8,0.5,512,0.005,sgd,45,0.01,0.4112,0.1036
385,256,45,4,0.1,512,0.005,adam,15,0.05,0.4108,0.1665
565,256,45,16,0.5,768,0.005,sgd,15,0.05,0.4102,0.1356
674,256,60,8,0.5,512,0.005,adam,45,0.01,0.4099,0.155
292,128,60,8,0.5,512,0.005,sgd,15,0.01,0.4098,0.1478
455,256,45,8,0.1,512,0.005,sgd,45,0.05,0.4096,0.1179
190,128,45,16,0.5,768,0.025,sgd,45,0.01,0.4093,0.1914
538,256,45,16,0.1,768,0.025,adam,45,0.01,0.4093,0.1891
387,256,45,4,0.1,512,0.005,adam,45,0.05,0.4088,0.1622
615,256,60,4,0.5,512,0.005,sgd,45,0.05,0.4085,0.0958
46,128,45,4,0.5,512,0.025,sgd,45,0.01,0.4084,0.1663
766,256,60,16,0.5,768,0.025,sgd,45,0.01,0.4084,0.1445
99,128,45,8,0.5,512,0.005,adam,45,0.05,0.408,0.1638
681,256,60,8,0.5,512,0.025,adam,15,0.05,0.4078,0.1386
727,256,60,16,0.1,768,0.005,sgd,45,0.05,0.4074,0.1223
612,256,60,4,0.5,512,0.005,sgd,15,0.01,0.4069,0.1569
506,256,45,8,0.5,768,0.025,adam,45,0.01,0.4066,0.1512
111,128,45,8,0.5,512,0.025,sgd,45,0.05,0.4065,0.1493
259,128,60,8,0.1,512,0.005,adam,45,0.05,0.4063,0.1409
22,128,45,4,0.1,768,0.005,sgd,45,0.01,0.4062,0.1637
511,256,45,8,0.5,768,0.025,sgd,45,0.05,0.4062,0.1605
95,128,45,8,0.1,768,0.025,sgd,45,0.05,0.4059,0.1629
646,256,60,8,0.1,512,0.005,sgd,45,0.01,0.4058,0.1056
303,128,60,8,0.5,512,0.025,sgd,45,0.05,0.4055,0.1444
349,128,60,16,0.1,768,0.025,sgd,15,0.05,0.4052,0.1292
206,128,60,4,0.1,512,0.025,sgd,45,0.01,0.4048,0.1614
475,256,45,8,0.1,768,0.025,adam,45,0.05,0.4047,0.1787
590,256,60,4,0.1,512,0.025,sgd,45,0.01,0.4047,0.1765
369,128,60,16,0.5,768,0.005,adam,15,0.05,0.4047,0.1512
474,256,45,8,0.1,768,0.025,adam,45,0.01,0.4044,0.1497
222,128,60,4,0.1,768,0.025,sgd,45,0.01,0.4043,0.1509
327,128,60,16,0.1,512,0.005,sgd,45,0.05,0.4042,0.136
525,256,45,16,0.1,512,0.025,sgd,15,0.05,0.4041,0.184
491,256,45,8,0.5,512,0.025,adam,45,0.05,0.4041,0.1524
762,256,60,16,0.5,768,0.025,adam,45,0.01,0.4037,0.1384
719,256,60,16,0.1,512,0.025,sgd,45,0.05,0.4036,0.127
478,256,45,8,0.1,768,0.025,sgd,45,0.01,0.4031,0.1755
654,256,60,8,0.1,512,0.025,sgd,45,0.01,0.4029,0.1572
587,256,60,4,0.1,512,0.025,adam,45,0.05,0.4029,0.1138
32,128,45,4,0.5,512,0.005,adam,15,0.01,0.4026,0.1565
746,256,60,16,0.5,512,0.025,adam,45,0.01,0.4025,0.1638
175,128,45,16,0.5,512,0.025,sgd,45,0.05,0.4022,0.1621
492,256,45,8,0.5,512,0.025,sgd,15,0.01,0.4021,0.1781
167,128,45,16,0.5,512,0.005,sgd,45,0.05,0.4021,0.139
548,256,45,16,0.5,512,0.005,sgd,15,0.01,0.4019,0.1597
647,256,60,8,0.1,512,0.005,sgd,45,0.05,0.4018,0.0999
191,128,45,16,0.5,768,0.025,sgd,45,0.05,0.4016,0.1194
374,128,60,16,0.5,768,0.005,sgd,45,0.01,0.4015,0.1426
643,256,60,8,0.1,512,0.005,adam,45,0.05,0.4011,0.1554
666,256,60,8,0.1,768,0.025,adam,45,0.01,0.4009,0.158
750,256,60,16,0.5,512,0.025,sgd,45,0.01,0.4003,0.1257
275,128,60,8,0.1,768,0.005,adam,45,0.05,0.4,0.1313
558,256,45,16,0.5,512,0.025,sgd,45,0.01,0.3999,0.1472
583,256,60,4,0.1,512,0.005,sgd,45,0.05,0.3999,0.0939
86,128,45,8,0.1,768,0.005,sgd,45,0.01,0.3998,0.1489
700,256,60,8,0.5,768,0.025,sgd,15,0.01,0.3998,0.1245
631,256,60,4,0.5,768,0.005,sgd,45,0.05,0.3997,0.1072
398,256,45,4,0.1,512,0.025,sgd,45,0.01,0.3995,0.157
594,256,60,4,0.1,768,0.005,adam,45,0.01,0.3993,0.1618
482,256,45,8,0.5,512,0.005,adam,45,0.01,0.399,0.1352
414,256,45,4,0.1,768,0.025,sgd,45,0.01,0.3989,0.1949
739,256,60,16,0.5,512,0.005,adam,45,0.05,0.3987,0.1333
494,256,45,8,0.5,512,0.025,sgd,45,0.01,0.398,0.168
23,128,45,4,0.1,768,0.005,sgd,45,0.05,0.3978,0.1485
434,256,45,4,0.5,768,0.005,adam,45,0.01,0.3976,0.1619
295,128,60,8,0.5,512,0.005,sgd,45,0.05,0.3976,0.1272
718,256,60,16,0.1,512,0.025,sgd,45,0.01,0.3973,0.1883
3,128,45,4,0.1,512,0.005,adam,45,0.05,0.3969,0.1597
226,128,60,4,0.5,512,0.005,adam,45,0.01,0.3968,0.1127
394,256,45,4,0.1,512,0.025,adam,45,0.01,0.3965,0.1619
601,256,60,4,0.1,768,0.025,adam,15,0.05,0.3963,0.1332
430,256,45,4,0.5,512,0.025,sgd,45,0.01,0.3959,0.1513
541,256,45,16,0.1,768,0.025,sgd,15,0.05,0.3958,0.1599
171,128,45,16,0.5,512,0.025,adam,45,0.05,0.3958,0.1412
435,256,45,4,0.5,768,0.005,adam,45,0.05,0.3957,0.1434
510,256,45,8,0.5,768,0.025,sgd,45,0.01,0.3955,0.1603
215,128,60,4,0.1,768,0.005,sgd,45,0.05,0.3954,0.1038
698,256,60,8,0.5,768,0.025,adam,45,0.01,0.3951,0.1353
443,256,45,4,0.5,768,0.025,adam,45,0.05,0.3949,0.121
622,256,60,4,0.5,512,0.025,sgd,45,0.01,0.3947,0.1524
670,256,60,8,0.1,768,0.025,sgd,45,0.01,0.3946,0.1537
650,256,60,8,0.1,512,0.025,adam,45,0.01,0.3944,0.155
500,256,45,8,0.5,768,0.005,sgd,15,0.01,0.3944,0.146
702,256,60,8,0.5,768,0.025,sgd,45,0.01,0.3944,0.1458
183,128,45,16,0.5,768,0.005,sgd,45,0.05,0.3938,0.1349
420,256,45,4,0.5,512,0.005,sgd,15,0.01,0.3934,0.1573
198,128,60,4,0.1,512,0.005,sgd,45,0.01,0.3931,0.113
731,256,60,16,0.1,768,0.025,adam,45,0.05,0.393,0.1819
575,256,45,16,0.5,768,0.025,sgd,45,0.05,0.393,0.1489
693,256,60,8,0.5,768,0.005,sgd,15,0.05,0.3926,0.1599
302,128,60,8,0.5,512,0.025,sgd,45,0.01,0.3918,0.139
426,256,45,4,0.5,512,0.025,adam,45,0.01,0.3917,0.1262
366,128,60,16,0.5,512,0.025,sgd,45,0.01,0.3911,0.1482
689,256,60,8,0.5,768,0.005,adam,15,0.05,0.3909,0.1469
722,256,60,16,0.1,768,0.005,adam,45,0.01,0.3908,0.1856
598,256,60,4,0.1,768,0.005,sgd,45,0.01,0.3906,0.1016
134,128,45,16,0.1,512,0.005,sgd,45,0.01,0.3905,0.1842
625,256,60,4,0.5,768,0.005,adam,15,0.05,0.3901,0.1342
120,128,45,8,0.5,768,0.025,adam,15,0.01,0.39,0.1582
682,256,60,8,0.5,512,0.025,adam,45,0.01,0.3897,0.1363
418,256,45,4,0.5,512,0.005,adam,45,0.01,0.3896,0.1223
518,256,45,16,0.1,512,0.005,sgd,45,0.01,0.3894,0.1426
610,256,60,4,0.5,512,0.005,adam,45,0.01,0.3894,0.1043
442,256,45,4,0.5,768,0.025,adam,45,0.01,0.3893,0.1458
726,256,60,16,0.1,768,0.005,sgd,45,0.01,0.3891,0.1437
238,128,60,4,0.5,512,0.025,sgd,45,0.01,0.3887,0.1442
114,128,45,8,0.5,768,0.005,adam,45,0.01,0.3882,0.1572
581,256,60,4,0.1,512,0.005,sgd,15,0.05,0.3882,0.1426
606,256,60,4,0.1,768,0.025,sgd,45,0.01,0.3882,0.1372
143,128,45,16,0.1,512,0.025,sgd,45,0.05,0.3882,0.1265
331,128,60,16,0.1,512,0.025,adam,45,0.05,0.388,0.1066
523,256,45,16,0.1,512,0.025,adam,45,0.05,0.3879,0.1354
446,256,45,4,0.5,768,0.025,sgd,45,0.01,0.3878,0.1483
210,128,60,4,0.1,768,0.005,adam,45,0.01,0.3877,0.1827
6,128,45,4,0.1,512,0.005,sgd,45,0.01,0.3876,0.1478
186,128,45,16,0.5,768,0.025,adam,45,0.01,0.3873,0.1423
314,128,60,8,0.5,768,0.025,adam,45,0.01,0.3873,0.1278
684,256,60,8,0.5,512,0.025,sgd,15,0.01,0.3872,0.1562
70,128,45,8,0.1,512,0.005,sgd,45,0.01,0.3871,0.1627
703,256,60,8,0.5,768,0.025,sgd,45,0.05,0.3871,0.1342
166,128,45,16,0.5,512,0.005,sgd,45,0.01,0.3869,0.1353
564,256,45,16,0.5,768,0.005,sgd,15,0.01,0.3867,0.1606
679,256,60,8,0.5,512,0.005,sgd,45,0.05,0.3866,0.1022
271,128,60,8,0.1,512,0.025,sgd,45,0.05,0.3865,0.157
730,256,60,16,0.1,768,0.025,adam,45,0.01,0.3864,0.1581
609,256,60,4,0.5,512,0.005,adam,15,0.05,0.3864,0.1239
5,128,45,4,0.1,512,0.005,sgd,15,0.05,0.3861,0.1503
181,128,45,16,0.5,768,0.005,sgd,15,0.05,0.386,0.1307
90,128,45,8,0.1,768,0.025,adam,45,0.01,0.3857,0.1541
417,256,45,4,0.5,512,0.005,adam,15,0.05,0.3857,0.1443
591,256,60,4,0.1,512,0.025,sgd,45,0.05,0.3857,0.1194
756,256,60,16,0.5,768,0.005,sgd,15,0.01,0.3856,0.1282
563,256,45,16,0.5,768,0.005,adam,45,0.05,0.3855,0.1673
743,256,60,16,0.5,512,0.005,sgd,45,0.05,0.3855,0.1031
203,128,60,4,0.1,512,0.025,adam,45,0.05,0.3854,0.127
725,256,60,16,0.1,768,0.005,sgd,15,0.05,0.3853,0.1421
397,256,45,4,0.1,512,0.025,sgd,15,0.05,0.3853,0.1374
662,256,60,8,0.1,768,0.005,sgd,45,0.01,0.3853,0.1083
449,256,45,8,0.1,512,0.005,adam,15,0.05,0.3852,0.1953
758,256,60,16,0.5,768,0.005,sgd,45,0.01,0.3851,0.1172
675,256,60,8,0.5,512,0.005,adam,45,0.05,0.3848,0.1371
126,128,45,8,0.5,768,0.025,sgd,45,0.01,0.3847,0.1591
477,256,45,8,0.1,768,0.025,sgd,15,0.05,0.3847,0.1236
39,128,45,4,0.5,512,0.005,sgd,45,0.05,0.3846,0.1543
450,256,45,8,0.1,512,0.005,adam,45,0.01,0.3845,0.1995
172,128,45,16,0.5,512,0.025,sgd,15,0.01,0.3845,0.1327
472,256,45,8,0.1,768,0.025,adam,15,0.01,0.3842,0.1607
236,128,60,4,0.5,512,0.025,sgd,15,0.01,0.3841,0.1102
100,128,45,8,0.5,512,0.005,sgd,15,0.01,0.384,0.1707
546,256,45,16,0.5,512,0.005,adam,45,0.01,0.384,0.1469
351,128,60,16,0.1,768,0.025,sgd,45,0.05,0.384,0.1279
462,256,45,8,0.1,512,0.025,sgd,45,0.01,0.3836,0.1806
437,256,45,4,0.5,768,0.005,sgd,15,0.05,0.3835,0.1913
118,128,45,8,0.5,768,0.005,sgd,45,0.01,0.3835,0.1499
655,256,60,8,0.1,512,0.025,sgd,45,0.05,0.3833,0.125
354,128,60,16,0.5,512,0.005,adam,45,0.01,0.3832,0.1299
152,128,45,16,0.1,768,0.025,adam,15,0.01,0.3832,0.1079
459,256,45,8,0.1,512,0.025,adam,45,0.05,0.3832,0.0948
582,256,60,4,0.1,512,0.005,sgd,45,0.01,0.3832,0.0918
163,128,45,16,0.5,512,0.005,adam,45,0.05,0.3828,0.1588
117,128,45,8,0.5,768,0.005,sgd,15,0.05,0.3825,0.1412
748,256,60,16,0.5,512,0.025,sgd,15,0.01,0.3822,0.1162
390,256,45,4,0.1,512,0.005,sgd,45,0.01,0.382,0.1035
657,256,60,8,0.1,768,0.005,adam,15,0.05,0.3814,0.1708
273,128,60,8,0.1,768,0.005,adam,15,0.05,0.3813,0.1612
