,batch_size,bce_pos_class_weight,dropout_p,hidden_layer_size,input_layer_norm,lr,num_layers,optimizer_type,sequence_length,weight_decay,tss,hss
831,256,60,0.2,4,False,0.01,1,adam,35,0.05,0.5347,0.2149
735,256,60,0.1,2,False,0.01,1,adam,35,0.05,0.5304,0.2031
317,128,60,0.1,4,False,0.005,1,adam,45,0.05,0.5084,0.1831
771,256,60,0.1,24,False,0.005,1,adam,35,0.05,0.5048,0.1809
339,128,60,0.1,24,False,0.005,1,adam,35,0.05,0.5022,0.1828
421,128,60,0.2,24,False,0.01,1,adam,25,0.05,0.5017,0.1638
779,256,60,0.1,24,False,0.005,2,adam,45,0.05,0.5001,0.1992
686,256,30,0.2,4,False,0.01,1,adam,35,0.01,0.4974,0.2386
293,128,60,0.1,2,False,0.005,1,adam,45,0.05,0.4953,0.213
853,256,60,0.2,24,False,0.01,1,adam,25,0.05,0.4885,0.1761
375,128,60,0.2,2,False,0.01,1,adam,35,0.05,0.4836,0.1872
749,256,60,0.1,4,False,0.005,1,adam,45,0.05,0.4829,0.1984
701,256,30,0.2,24,False,0.005,1,adam,45,0.05,0.4826,0.2546
711,256,30,0.2,24,False,0.01,1,adam,35,0.05,0.4825,0.2264
285,128,30,0.2,24,False,0.01,2,adam,35,0.05,0.4815,0.237
267,128,30,0.2,24,False,0.005,1,adam,35,0.05,0.4809,0.2433
699,256,30,0.2,24,False,0.005,1,adam,35,0.05,0.479,0.2478
625,256,30,0.1,24,False,0.005,1,adam,25,0.05,0.4785,0.2359
818,256,60,0.2,4,False,0.005,1,adam,35,0.01,0.4783,0.1784
243,128,30,0.2,4,False,0.005,1,adam,35,0.05,0.4781,0.2456
265,128,30,0.2,24,False,0.005,1,adam,25,0.05,0.4764,0.2407
759,256,60,0.1,4,False,0.01,1,adam,35,0.05,0.4761,0.1875
631,256,30,0.1,24,False,0.005,2,adam,25,0.05,0.4757,0.254
849,256,60,0.2,24,False,0.005,2,adam,35,0.05,0.4752,0.2051
193,128,30,0.1,24,False,0.005,1,adam,25,0.05,0.4746,0.2278
629,256,30,0.1,24,False,0.005,1,adam,45,0.05,0.4739,0.2452
703,256,30,0.2,24,False,0.005,2,adam,25,0.05,0.4739,0.2374
255,128,30,0.2,4,False,0.01,1,adam,35,0.05,0.4732,0.2234
613,256,30,0.1,4,False,0.01,1,adam,25,0.05,0.4731,0.232
697,256,30,0.2,24,False,0.005,1,adam,25,0.05,0.4723,0.2225
843,256,60,0.2,24,False,0.005,1,adam,35,0.05,0.472,0.1786
615,256,30,0.1,4,False,0.01,1,adam,35,0.05,0.4715,0.2466
709,256,30,0.2,24,False,0.01,1,adam,25,0.05,0.471,0.2261
627,256,30,0.1,24,False,0.005,1,adam,35,0.05,0.4703,0.2378
415,128,60,0.2,24,False,0.005,2,adam,25,0.05,0.4696,0.1891
643,256,30,0.1,24,False,0.01,2,adam,25,0.05,0.4695,0.2316
360,128,60,0.2,2,False,0.005,1,adam,25,0.01,0.4695,0.1738
787,256,60,0.1,24,False,0.01,2,adam,25,0.05,0.4694,0.1845
171,128,30,0.1,4,False,0.005,1,adam,35,0.05,0.4686,0.2342
685,256,30,0.2,4,False,0.01,1,adam,25,0.05,0.4684,0.2153
183,128,30,0.1,4,False,0.01,1,adam,35,0.05,0.4681,0.2052
661,256,30,0.2,2,False,0.01,1,adam,25,0.05,0.4674,0.2337
859,256,60,0.2,24,False,0.01,2,adam,25,0.05,0.4674,0.2015
195,128,30,0.1,24,False,0.005,1,adam,35,0.05,0.467,0.2144
639,256,30,0.1,24,False,0.01,1,adam,35,0.05,0.4666,0.213
757,256,60,0.1,4,False,0.01,1,adam,25,0.05,0.4664,0.1761
777,256,60,0.1,24,False,0.005,2,adam,35,0.05,0.4661,0.2013
855,256,60,0.2,24,False,0.01,1,adam,35,0.05,0.4658,0.1778
376,128,60,0.2,2,False,0.01,1,adam,45,0.01,0.4654,0.148
713,256,30,0.2,24,False,0.01,1,adam,45,0.05,0.4651,0.2267
715,256,30,0.2,24,False,0.01,2,adam,25,0.05,0.4651,0.2186
601,256,30,0.1,4,False,0.005,1,adam,25,0.05,0.4647,0.2548
805,256,60,0.2,2,False,0.01,1,adam,25,0.05,0.4639,0.1852
170,128,30,0.1,4,False,0.005,1,adam,35,0.01,0.463,0.2294
763,256,60,0.1,4,False,0.01,2,adam,25,0.05,0.4628,0.1818
673,256,30,0.2,4,False,0.005,1,adam,25,0.05,0.4623,0.2384
409,128,60,0.2,24,False,0.005,1,adam,25,0.05,0.4615,0.1738
337,128,60,0.1,24,False,0.005,1,adam,25,0.05,0.4609,0.1792
826,256,60,0.2,4,False,0.005,2,adam,45,0.01,0.4594,0.1547
847,256,60,0.2,24,False,0.005,2,adam,25,0.05,0.459,0.1802
273,128,30,0.2,24,False,0.005,2,adam,35,0.05,0.4589,0.2407
361,128,60,0.2,2,False,0.005,1,adam,25,0.05,0.4589,0.1901
802,256,60,0.2,2,False,0.005,2,adam,45,0.01,0.4586,0.1431
626,256,30,0.1,24,False,0.005,1,adam,35,0.01,0.4584,0.2284
199,128,30,0.1,24,False,0.005,2,adam,25,0.05,0.4583,0.2369
277,128,30,0.2,24,False,0.01,1,adam,25,0.05,0.458,0.2143
641,256,30,0.1,24,False,0.01,1,adam,45,0.05,0.4577,0.2298
783,256,60,0.1,24,False,0.01,1,adam,35,0.05,0.4571,0.1596
817,256,60,0.2,4,False,0.005,1,adam,25,0.05,0.4569,0.1827
769,256,60,0.1,24,False,0.005,1,adam,25,0.05,0.4566,0.1712
281,128,30,0.2,24,False,0.01,1,adam,45,0.05,0.4565,0.2392
205,128,30,0.1,24,False,0.01,1,adam,25,0.05,0.4565,0.1913
411,128,60,0.2,24,False,0.005,1,adam,35,0.05,0.4565,0.1707
648,256,30,0.2,2,False,0.005,1,adam,25,0.01,0.4563,0.2225
253,128,30,0.2,4,False,0.01,1,adam,25,0.05,0.4551,0.2301
775,256,60,0.1,24,False,0.005,2,adam,25,0.05,0.455,0.1676
710,256,30,0.2,24,False,0.01,1,adam,35,0.01,0.4548,0.2448
385,128,60,0.2,4,False,0.005,1,adam,25,0.05,0.4547,0.1705
245,128,30,0.2,4,False,0.005,1,adam,45,0.05,0.4545,0.2423
733,256,60,0.1,2,False,0.01,1,adam,25,0.05,0.4544,0.1727
806,256,60,0.2,2,False,0.01,1,adam,35,0.01,0.4534,0.1727
637,256,30,0.1,24,False,0.01,1,adam,25,0.05,0.4532,0.2013
845,256,60,0.2,24,False,0.005,1,adam,45,0.05,0.4532,0.1732
386,128,60,0.2,4,False,0.005,1,adam,35,0.01,0.453,0.1545
857,256,60,0.2,24,False,0.01,1,adam,45,0.05,0.4527,0.1682
835,256,60,0.2,4,False,0.01,2,adam,25,0.05,0.4526,0.2097
198,128,30,0.1,24,False,0.005,2,adam,25,0.01,0.4525,0.2232
399,128,60,0.2,4,False,0.01,1,adam,35,0.05,0.4522,0.1836
683,256,30,0.2,4,False,0.005,2,adam,45,0.05,0.4521,0.2671
642,256,30,0.1,24,False,0.01,2,adam,25,0.01,0.4515,0.2277
364,128,60,0.2,2,False,0.005,1,adam,45,0.01,0.4515,0.1392
760,256,60,0.1,4,False,0.01,1,adam,45,0.01,0.4511,0.1661
402,128,60,0.2,4,False,0.01,2,adam,25,0.01,0.4504,0.1699
207,128,30,0.1,24,False,0.01,1,adam,35,0.05,0.4503,0.204
773,256,60,0.1,24,False,0.005,1,adam,45,0.05,0.4503,0.1739
203,128,30,0.1,24,False,0.005,2,adam,45,0.05,0.4502,0.2366
349,128,60,0.1,24,False,0.01,1,adam,25,0.05,0.4501,0.1547
