,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss
374,1024,30,64,0.5,1048,0.005,sgd,45,0.001,0.433,0.1033
367,1024,30,64,0.5,64,0.03,sgd,45,0.01,0.429,0.1734
415,1024,75,16,0.1,1048,0.03,sgd,45,0.01,0.4229,0.1906
190,512,75,16,0.5,1048,0.03,sgd,45,0.001,0.4225,0.1494
382,1024,30,64,0.5,1048,0.03,sgd,45,0.001,0.4198,0.1706
46,512,30,16,0.5,64,0.03,sgd,45,0.001,0.4195,0.1905
63,512,30,16,0.5,1048,0.03,sgd,45,0.01,0.419,0.2083
269,1024,30,16,0.1,64,0.03,sgd,30,0.01,0.4171,0.2034
495,1024,75,64,0.5,64,0.03,sgd,45,0.01,0.417,0.1515
15,512,30,16,0.1,64,0.03,sgd,45,0.01,0.4161,0.2033
215,512,75,64,0.1,1048,0.005,sgd,45,0.01,0.4158,0.1384
418,1024,75,16,0.5,64,0.005,adam,45,0.001,0.4145,0.1565
239,512,75,64,0.5,64,0.03,sgd,45,0.01,0.4134,0.1759
158,512,75,16,0.1,1048,0.03,sgd,45,0.001,0.4102,0.1926
191,512,75,16,0.5,1048,0.03,sgd,45,0.01,0.4102,0.1767
47,512,30,16,0.5,64,0.03,sgd,45,0.01,0.4093,0.1769
255,512,75,64,0.5,1048,0.03,sgd,45,0.01,0.4089,0.1622
510,1024,75,64,0.5,1048,0.03,sgd,45,0.001,0.4087,0.1559
473,1024,75,64,0.1,1048,0.03,adam,30,0.01,0.4078,0.1516
279,1024,30,16,0.1,1048,0.005,sgd,45,0.01,0.4074,0.1023
319,1024,30,16,0.5,1048,0.03,sgd,45,0.01,0.4066,0.1626
127,512,30,64,0.5,1048,0.03,sgd,45,0.01,0.4057,0.1784
317,1024,30,16,0.5,1048,0.03,sgd,30,0.01,0.4006,0.1886
366,1024,30,64,0.5,64,0.03,sgd,45,0.001,0.4001,0.1517
238,512,75,64,0.5,64,0.03,sgd,45,0.001,0.3997,0.1549
435,1024,75,16,0.5,1048,0.005,adam,45,0.01,0.3995,0.1734
365,1024,30,64,0.5,64,0.03,sgd,30,0.01,0.3989,0.1645
110,512,30,64,0.5,64,0.03,sgd,45,0.001,0.3988,0.1777
492,1024,75,64,0.5,64,0.03,sgd,30,0.001,0.3974,0.1399
379,1024,30,64,0.5,1048,0.03,adam,45,0.01,0.3967,0.1502
174,512,75,16,0.5,64,0.03,sgd,45,0.001,0.3966,0.1605
375,1024,30,64,0.5,1048,0.005,sgd,45,0.01,0.3966,0.0995
411,1024,75,16,0.1,1048,0.03,adam,45,0.01,0.3965,0.162
511,1024,75,64,0.5,1048,0.03,sgd,45,0.01,0.3965,0.1586
414,1024,75,16,0.1,1048,0.03,sgd,45,0.001,0.396,0.1792
396,1024,75,16,0.1,64,0.03,sgd,30,0.001,0.3959,0.1666
151,512,75,16,0.1,1048,0.005,sgd,45,0.01,0.3942,0.0877
315,1024,30,16,0.5,1048,0.03,adam,45,0.01,0.393,0.1564
126,512,30,64,0.5,1048,0.03,sgd,45,0.001,0.3916,0.1738
300,1024,30,16,0.5,64,0.03,sgd,30,0.001,0.3909,0.154
508,1024,75,64,0.5,1048,0.03,sgd,30,0.001,0.3896,0.1433
288,1024,30,16,0.5,64,0.005,adam,30,0.001,0.3886,0.1906
159,512,75,16,0.1,1048,0.03,sgd,45,0.01,0.3884,0.1637
307,1024,30,16,0.5,1048,0.005,adam,45,0.01,0.387,0.1954
479,1024,75,64,0.1,1048,0.03,sgd,45,0.01,0.3869,0.207
380,1024,30,64,0.5,1048,0.03,sgd,30,0.001,0.3861,0.161
287,1024,30,16,0.1,1048,0.03,sgd,45,0.01,0.386,0.2094
398,1024,75,16,0.1,64,0.03,sgd,45,0.001,0.386,0.1667
179,512,75,16,0.5,1048,0.005,adam,45,0.01,0.3853,0.1509
383,1024,30,64,0.5,1048,0.03,sgd,45,0.01,0.3849,0.1585
111,512,30,64,0.5,64,0.03,sgd,45,0.01,0.3848,0.1702
434,1024,75,16,0.5,1048,0.005,adam,45,0.001,0.3845,0.1512
494,1024,75,64,0.5,64,0.03,sgd,45,0.001,0.3845,0.1306
302,1024,30,16,0.5,64,0.03,sgd,45,0.001,0.3836,0.1417
502,1024,75,64,0.5,1048,0.005,sgd,45,0.001,0.3832,0.0713
313,1024,30,16,0.5,1048,0.03,adam,30,0.01,0.3829,0.2052
175,512,75,16,0.5,64,0.03,sgd,45,0.01,0.3828,0.1434
462,1024,75,64,0.1,64,0.03,sgd,45,0.001,0.3827,0.2162
443,1024,75,16,0.5,1048,0.03,adam,45,0.01,0.3816,0.1057
364,1024,30,64,0.5,64,0.03,sgd,30,0.001,0.3811,0.159
318,1024,30,16,0.5,1048,0.03,sgd,45,0.001,0.381,0.1585
351,1024,30,64,0.1,1048,0.03,sgd,45,0.01,0.3807,0.2247
412,1024,75,16,0.1,1048,0.03,sgd,30,0.001,0.3805,0.1732
95,512,30,64,0.1,1048,0.03,sgd,45,0.01,0.3804,0.2128
447,1024,75,16,0.5,1048,0.03,sgd,45,0.01,0.3802,0.135
316,1024,30,16,0.5,1048,0.03,sgd,30,0.001,0.38,0.1659
26,512,30,16,0.1,1048,0.03,adam,45,0.001,0.3796,0.2117
471,1024,75,64,0.1,1048,0.005,sgd,45,0.01,0.3795,0.0933
198,512,75,64,0.1,64,0.005,sgd,45,0.001,0.3793,0.1159
214,512,75,64,0.1,1048,0.005,sgd,45,0.001,0.3786,0.1427
483,1024,75,64,0.5,64,0.005,adam,45,0.01,0.3777,0.1784
303,1024,30,16,0.5,64,0.03,sgd,45,0.01,0.3777,0.1358
509,1024,75,64,0.5,1048,0.03,sgd,30,0.01,0.3776,0.139
425,1024,75,16,0.5,64,0.03,adam,30,0.01,0.3772,0.216
493,1024,75,64,0.5,64,0.03,sgd,30,0.01,0.3767,0.1482
289,1024,30,16,0.5,64,0.005,adam,30,0.01,0.3766,0.1904
506,1024,75,64,0.5,1048,0.03,adam,45,0.001,0.3765,0.1434
286,1024,30,16,0.1,1048,0.03,sgd,45,0.001,0.3764,0.2202
172,512,75,16,0.5,64,0.03,sgd,30,0.001,0.3763,0.1445
343,1024,30,64,0.1,1048,0.005,sgd,45,0.01,0.3763,0.1352
243,512,75,64,0.5,1048,0.005,adam,45,0.01,0.3761,0.1964
334,1024,30,64,0.1,64,0.03,sgd,45,0.001,0.376,0.2169
250,512,75,64,0.5,1048,0.03,adam,45,0.001,0.3758,0.1615
254,512,75,64,0.5,1048,0.03,sgd,45,0.001,0.3757,0.1581
397,1024,75,16,0.1,64,0.03,sgd,30,0.01,0.3757,0.1459
419,1024,75,16,0.5,64,0.005,adam,45,0.01,0.3752,0.1632
163,512,75,16,0.5,64,0.005,adam,45,0.01,0.3748,0.1531
441,1024,75,16,0.5,1048,0.03,adam,30,0.01,0.3747,0.1508
306,1024,30,16,0.5,1048,0.005,adam,45,0.001,0.3746,0.1731
171,512,75,16,0.5,64,0.03,adam,45,0.01,0.3742,0.192
252,512,75,64,0.5,1048,0.03,sgd,30,0.001,0.3735,0.1377
123,512,30,64,0.5,1048,0.03,adam,45,0.01,0.3732,0.195
428,1024,75,16,0.5,64,0.03,sgd,30,0.001,0.3732,0.126
342,1024,30,64,0.1,1048,0.005,sgd,45,0.001,0.3723,0.1441
62,512,30,16,0.5,1048,0.03,sgd,45,0.001,0.3721,0.1756
404,1024,75,16,0.1,1048,0.005,sgd,30,0.001,0.3721,0.1022
271,1024,30,16,0.1,64,0.03,sgd,45,0.01,0.3715,0.1848
277,1024,30,16,0.1,1048,0.005,sgd,30,0.01,0.3715,0.1246
503,1024,75,64,0.5,1048,0.005,sgd,45,0.01,0.3715,0.0728
203,512,75,64,0.1,64,0.03,adam,45,0.01,0.3712,0.2034
347,1024,30,64,0.1,1048,0.03,adam,45,0.01,0.3706,0.1681
478,1024,75,64,0.1,1048,0.03,sgd,45,0.001,0.3704,0.1972
138,512,75,16,0.1,64,0.03,adam,45,0.001,0.3703,0.2165
475,1024,75,64,0.1,1048,0.03,adam,45,0.01,0.3699,0.1191
219,512,75,64,0.1,1048,0.03,adam,45,0.01,0.3696,0.1204
507,1024,75,64,0.5,1048,0.03,adam,45,0.01,0.3692,0.1026
416,1024,75,16,0.5,64,0.005,adam,30,0.001,0.3688,0.1248
14,512,30,16,0.1,64,0.03,sgd,45,0.001,0.3687,0.1895
291,1024,30,16,0.5,64,0.005,adam,45,0.01,0.3687,0.1811
301,1024,30,16,0.5,64,0.03,sgd,30,0.01,0.3685,0.1532
399,1024,75,16,0.1,64,0.03,sgd,45,0.01,0.3683,0.1404
381,1024,30,64,0.5,1048,0.03,sgd,30,0.01,0.368,0.1535
350,1024,30,64,0.1,1048,0.03,sgd,45,0.001,0.3675,0.2218
446,1024,75,16,0.5,1048,0.03,sgd,45,0.001,0.3675,0.12
469,1024,75,64,0.1,1048,0.005,sgd,30,0.01,0.3673,0.1205
276,1024,30,16,0.1,1048,0.005,sgd,30,0.001,0.3672,0.1292
51,512,30,16,0.5,1048,0.005,adam,45,0.01,0.367,0.1819
335,1024,30,64,0.1,64,0.03,sgd,45,0.01,0.3668,0.2214
372,1024,30,64,0.5,1048,0.005,sgd,30,0.001,0.3667,0.1167
442,1024,75,16,0.5,1048,0.03,adam,45,0.001,0.3666,0.126
