,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss
585,256,60,4,0.1,512,0.025,adam,30,0.075,0.4556,0.1316
494,256,30,8,0.5,512,0.025,sgd,45,0.005,0.4531,0.1804
363,128,60,32,0.5,512,0.025,adam,45,0.075,0.4487,0.1643
335,128,60,32,0.1,512,0.025,sgd,45,0.075,0.4476,0.1121
563,256,30,32,0.5,1024,0.001,adam,45,0.075,0.4423,0.1887
394,256,30,4,0.1,512,0.025,adam,45,0.005,0.4404,0.1805
291,128,60,8,0.5,512,0.001,adam,45,0.075,0.4388,0.1421
683,256,60,8,0.5,512,0.025,adam,45,0.075,0.4349,0.1187
367,128,60,32,0.5,512,0.025,sgd,45,0.075,0.4339,0.129
686,256,60,8,0.5,512,0.025,sgd,45,0.005,0.4323,0.1599
434,256,30,4,0.5,1024,0.001,adam,45,0.005,0.4307,0.1579
607,256,60,4,0.1,1024,0.025,sgd,45,0.075,0.4301,0.1184
691,256,60,8,0.5,1024,0.001,adam,45,0.075,0.4291,0.1223
670,256,60,8,0.1,1024,0.025,sgd,45,0.005,0.4281,0.1822
719,256,60,32,0.1,512,0.025,sgd,45,0.075,0.4277,0.1429
195,128,60,4,0.1,512,0.001,adam,45,0.075,0.4273,0.143
671,256,60,8,0.1,1024,0.025,sgd,45,0.075,0.4251,0.1044
634,256,60,4,0.5,1024,0.025,adam,45,0.005,0.4243,0.1431
575,256,30,32,0.5,1024,0.025,sgd,45,0.075,0.4239,0.1495
739,256,60,32,0.5,512,0.001,adam,45,0.075,0.4202,0.1508
590,256,60,4,0.1,512,0.025,sgd,45,0.005,0.4201,0.1646
83,128,30,8,0.1,1024,0.001,adam,45,0.075,0.42,0.1813
170,128,30,32,0.5,512,0.025,adam,45,0.005,0.4181,0.171
410,256,30,4,0.1,1024,0.025,adam,45,0.005,0.416,0.1688
331,128,60,32,0.1,512,0.025,adam,45,0.075,0.4149,0.1256
558,256,30,32,0.5,512,0.025,sgd,45,0.005,0.4143,0.1905
175,128,30,32,0.5,512,0.025,sgd,45,0.075,0.413,0.1962
446,256,30,4,0.5,1024,0.025,sgd,45,0.005,0.4127,0.1827
401,256,30,4,0.1,1024,0.001,adam,30,0.075,0.4125,0.1862
305,128,60,8,0.5,1024,0.001,adam,30,0.075,0.4103,0.1093
527,256,30,32,0.1,512,0.025,sgd,45,0.075,0.4102,0.1724
591,256,60,4,0.1,512,0.025,sgd,45,0.075,0.4101,0.1062
622,256,60,4,0.5,512,0.025,sgd,45,0.005,0.4096,0.1654
659,256,60,8,0.1,1024,0.001,adam,45,0.075,0.4096,0.1314
702,256,60,8,0.5,1024,0.025,sgd,45,0.005,0.4083,0.1574
102,128,30,8,0.5,512,0.001,sgd,45,0.005,0.4076,0.1155
67,128,30,8,0.1,512,0.001,adam,45,0.075,0.4071,0.186
635,256,60,4,0.5,1024,0.025,adam,45,0.075,0.4069,0.0973
761,256,60,32,0.5,1024,0.025,adam,30,0.075,0.4066,0.1159
365,128,60,32,0.5,512,0.025,sgd,30,0.075,0.4062,0.1116
301,128,60,8,0.5,512,0.025,sgd,30,0.075,0.4061,0.1354
14,128,30,4,0.1,512,0.025,sgd,45,0.005,0.4051,0.2085
689,256,60,8,0.5,1024,0.001,adam,30,0.075,0.4049,0.1233
399,256,30,4,0.1,512,0.025,sgd,45,0.075,0.4045,0.1715
669,256,60,8,0.1,1024,0.025,sgd,30,0.075,0.4045,0.1598
271,128,60,8,0.1,512,0.025,sgd,45,0.075,0.4045,0.1234
749,256,60,32,0.5,512,0.025,sgd,30,0.075,0.4042,0.1231
111,128,30,8,0.5,512,0.025,sgd,45,0.075,0.4037,0.1789
275,128,60,8,0.1,1024,0.001,adam,45,0.075,0.4028,0.1477
538,256,30,32,0.1,1024,0.025,adam,45,0.005,0.4027,0.1791
317,128,60,8,0.5,1024,0.025,sgd,30,0.075,0.4026,0.1332
751,256,60,32,0.5,512,0.025,sgd,45,0.075,0.4025,0.1192
467,256,30,8,0.1,1024,0.001,adam,45,0.075,0.402,0.199
