,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss
751,4864,50,48,0.4,768,0.005,sgd,30,0.05,0.3525,0.1289
366,3584,50,48,0.4,768,0.005,sgd,30,0.0025,0.3521,0.1084
213,3584,50,16,0.05,256,0.025,sgd,60,0.05,0.3518,0.1061
116,3584,15,48,0.05,256,0.025,sgd,60,0.0025,0.3512,0.1999
153,3584,15,48,0.4,256,0.005,sgd,60,0.05,0.3507,0.1678
536,4864,15,48,0.4,256,0.005,sgd,60,0.0025,0.3505,0.1603
78,3584,15,16,0.4,768,0.005,sgd,30,0.0025,0.35,0.1513
630,4864,50,16,0.4,256,0.005,sgd,30,0.0025,0.3496,0.1242
163,3584,15,48,0.4,256,0.025,sgd,30,0.05,0.3494,0.178
734,4864,50,48,0.4,256,0.025,adam,60,0.0025,0.3494,0.1059
263,3584,50,16,0.4,256,0.025,sgd,120,0.05,0.3492,0.0775
652,4864,50,16,0.4,768,0.005,adam,120,0.0025,0.3489,0.1083
653,4864,50,16,0.4,768,0.005,adam,120,0.05,0.3486,0.1173
149,3584,15,48,0.4,256,0.005,adam,120,0.05,0.3483,0.1458
313,3584,50,48,0.05,768,0.005,adam,30,0.05,0.348,0.1468
587,4864,50,16,0.05,256,0.005,sgd,120,0.05,0.3479,0.1302
139,3584,15,48,0.05,768,0.025,sgd,30,0.05,0.3473,0.1727
746,4864,50,48,0.4,768,0.005,adam,60,0.0025,0.3472,0.1222
335,3584,50,48,0.05,768,0.025,sgd,120,0.05,0.347,0.1087
765,4864,50,48,0.4,768,0.025,sgd,60,0.05,0.3469,0.1369
150,3584,15,48,0.4,256,0.005,sgd,30,0.0025,0.3468,0.1519
738,4864,50,48,0.4,256,0.025,sgd,30,0.0025,0.3466,0.1385
252,3584,50,16,0.4,256,0.025,adam,30,0.0025,0.3465,0.072
706,4864,50,48,0.05,768,0.005,sgd,120,0.0025,0.3462,0.1379
217,3584,50,16,0.05,768,0.005,adam,30,0.05,0.3462,0.1179
44,3584,15,16,0.05,768,0.025,sgd,60,0.0025,0.3461,0.2139
628,4864,50,16,0.4,256,0.005,adam,120,0.0025,0.3461,0.138
612,4864,50,16,0.05,768,0.025,adam,30,0.0025,0.346,0.1085
656,4864,50,16,0.4,768,0.005,sgd,60,0.0025,0.3459,0.1387
231,3584,50,16,0.05,768,0.025,adam,60,0.05,0.3459,0.0731
558,4864,15,48,0.4,768,0.005,sgd,30,0.0025,0.3455,0.1673
603,4864,50,16,0.05,768,0.005,adam,60,0.05,0.3455,0.1288
624,4864,50,16,0.4,256,0.005,adam,30,0.0025,0.3452,0.1295
436,4864,15,16,0.4,256,0.005,adam,120,0.0025,0.3451,0.1733
375,3584,50,48,0.4,768,0.025,adam,60,0.05,0.3451,0.0631
187,3584,15,48,0.4,768,0.025,sgd,30,0.05,0.3446,0.165
170,3584,15,48,0.4,768,0.005,adam,60,0.0025,0.3446,0.1495
580,4864,50,16,0.05,256,0.005,adam,120,0.0025,0.3445,0.1325
325,3584,50,48,0.05,768,0.025,adam,30,0.05,0.3445,0.091
685,4864,50,48,0.05,256,0.025,adam,30,0.05,0.344,0.0949
736,4864,50,48,0.4,256,0.025,adam,120,0.0025,0.3438,0.0921
82,3584,15,16,0.4,768,0.005,sgd,120,0.0025,0.3436,0.1577
55,3584,15,16,0.4,256,0.005,sgd,30,0.05,0.3435,0.1461
534,4864,15,48,0.4,256,0.005,sgd,30,0.0025,0.3427,0.1595
559,4864,15,48,0.4,768,0.005,sgd,30,0.05,0.3425,0.1624
349,3584,50,48,0.4,256,0.025,adam,30,0.05,0.3424,0.0925
699,4864,50,48,0.05,768,0.005,adam,60,0.05,0.3423,0.1165
619,4864,50,16,0.05,768,0.025,sgd,30,0.05,0.3422,0.1333
28,3584,15,16,0.05,768,0.005,adam,120,0.0025,0.3421,0.1901
441,4864,15,16,0.4,256,0.005,sgd,60,0.05,0.342,0.1608
355,3584,50,48,0.4,256,0.025,sgd,30,0.05,0.3416,0.119
57,3584,15,16,0.4,256,0.005,sgd,60,0.05,0.341,0.1688
289,3584,50,48,0.05,256,0.005,adam,30,0.05,0.3402,0.1249
219,3584,50,16,0.05,768,0.005,adam,60,0.05,0.3401,0.1263
369,3584,50,48,0.4,768,0.005,sgd,60,0.05,0.3399,0.1184
60,3584,15,16,0.4,256,0.025,adam,30,0.0025,0.3391,0.1277
275,3584,50,16,0.4,768,0.005,sgd,120,0.05,0.3388,0.1244
705,4864,50,48,0.05,768,0.005,sgd,60,0.05,0.3387,0.1593
332,3584,50,48,0.05,768,0.025,sgd,60,0.0025,0.3386,0.1325
273,3584,50,16,0.4,768,0.005,sgd,60,0.05,0.3384,0.1625
56,3584,15,16,0.4,256,0.005,sgd,60,0.0025,0.3383,0.1688
322,3584,50,48,0.05,768,0.005,sgd,120,0.0025,0.3382,0.1871
344,3584,50,48,0.4,256,0.005,sgd,60,0.0025,0.3379,0.1396
12,3584,15,16,0.05,256,0.025,adam,30,0.0025,0.3378,0.1599
644,4864,50,16,0.4,256,0.025,sgd,60,0.0025,0.3378,0.1111
69,3584,15,16,0.4,256,0.025,sgd,60,0.05,0.3377,0.1592
227,3584,50,16,0.05,768,0.005,sgd,120,0.05,0.3375,0.1796
223,3584,50,16,0.05,768,0.005,sgd,30,0.05,0.3375,0.1333
597,4864,50,16,0.05,256,0.025,sgd,60,0.05,0.3371,0.152
141,3584,15,48,0.05,768,0.025,sgd,60,0.05,0.3364,0.2067
321,3584,50,48,0.05,768,0.005,sgd,60,0.05,0.3364,0.1306
462,4864,15,16,0.4,768,0.005,sgd,30,0.0025,0.3362,0.1548
763,4864,50,48,0.4,768,0.025,sgd,30,0.05,0.3362,0.1184
193,3584,50,16,0.05,256,0.005,adam,30,0.05,0.3362,0.1129
54,3584,15,16,0.4,256,0.005,sgd,30,0.0025,0.336,0.1583
437,4864,15,16,0.4,256,0.005,adam,120,0.05,0.336,0.1382
709,4864,50,48,0.05,768,0.025,adam,30,0.05,0.336,0.0658
589,4864,50,16,0.05,256,0.025,adam,30,0.05,0.3359,0.1345
200,3584,50,16,0.05,256,0.005,sgd,60,0.0025,0.3359,0.1087
451,4864,15,16,0.4,256,0.025,sgd,30,0.05,0.3357,0.1632
244,3584,50,16,0.4,256,0.005,adam,120,0.0025,0.3357,0.1211
357,3584,50,48,0.4,256,0.025,sgd,60,0.05,0.3354,0.0802
643,4864,50,16,0.4,256,0.025,sgd,30,0.05,0.3353,0.1461
720,4864,50,48,0.4,256,0.005,adam,30,0.0025,0.3349,0.1395
735,4864,50,48,0.4,256,0.025,adam,60,0.05,0.3349,0.0923
67,3584,15,16,0.4,256,0.025,sgd,30,0.05,0.334,0.1402
146,3584,15,48,0.4,256,0.005,adam,60,0.0025,0.3338,0.1865
188,3584,15,48,0.4,768,0.025,sgd,60,0.0025,0.3336,0.1706
740,4864,50,48,0.4,256,0.025,sgd,60,0.0025,0.3332,0.1158
132,3584,15,48,0.05,768,0.025,adam,30,0.0025,0.3331,0.1526
177,3584,15,48,0.4,768,0.005,sgd,60,0.05,0.3329,0.1471
3,3584,15,16,0.05,256,0.005,adam,60,0.05,0.3327,0.1671
210,3584,50,16,0.05,256,0.025,sgd,30,0.0025,0.3327,0.1148
140,3584,15,48,0.05,768,0.025,sgd,60,0.0025,0.3324,0.1844
725,4864,50,48,0.4,256,0.005,adam,120,0.05,0.3322,0.1008
342,3584,50,48,0.4,256,0.005,sgd,30,0.0025,0.3321,0.1244
762,4864,50,48,0.4,768,0.025,sgd,30,0.0025,0.3318,0.1081
378,3584,50,48,0.4,768,0.025,sgd,30,0.0025,0.3317,0.0995
293,3584,50,48,0.05,256,0.005,adam,120,0.05,0.3313,0.1191
148,3584,15,48,0.4,256,0.005,adam,120,0.0025,0.331,0.1966
629,4864,50,16,0.4,256,0.005,adam,120,0.05,0.331,0.1014
674,4864,50,48,0.05,256,0.005,adam,60,0.0025,0.3303,0.1505
468,4864,15,16,0.4,768,0.025,adam,30,0.0025,0.3299,0.1665
599,4864,50,16,0.05,256,0.025,sgd,120,0.05,0.3298,0.1046
186,3584,15,48,0.4,768,0.025,sgd,30,0.0025,0.3297,0.183
532,4864,15,48,0.4,256,0.005,adam,120,0.0025,0.3295,0.1965
52,3584,15,16,0.4,256,0.005,adam,120,0.0025,0.3295,0.1883
276,3584,50,16,0.4,768,0.025,adam,30,0.0025,0.3291,0.075
337,3584,50,48,0.4,256,0.005,adam,30,0.05,0.329,0.171
214,3584,50,16,0.05,256,0.025,sgd,120,0.0025,0.329,0.105
756,4864,50,48,0.4,768,0.025,adam,30,0.0025,0.329,0.0945
618,4864,50,16,0.05,768,0.025,sgd,30,0.0025,0.3289,0.1445
645,4864,50,16,0.4,256,0.025,sgd,60,0.05,0.3289,0.108
207,3584,50,16,0.05,256,0.025,adam,60,0.05,0.3287,0.1074
382,3584,50,48,0.4,768,0.025,sgd,120,0.0025,0.3286,0.1377
604,4864,50,16,0.05,768,0.005,adam,120,0.0025,0.3286,0.1373
562,4864,15,48,0.4,768,0.005,sgd,120,0.0025,0.3285,0.1912
253,3584,50,16,0.4,256,0.025,adam,30,0.05,0.3284,0.0927
591,4864,50,16,0.05,256,0.025,adam,60,0.05,0.3282,0.0894
327,3584,50,48,0.05,768,0.025,adam,60,0.05,0.3281,0.0669
74,3584,15,16,0.4,768,0.005,adam,60,0.0025,0.3279,0.1356
465,4864,15,16,0.4,768,0.005,sgd,60,0.05,0.3277,0.1789
9,3584,15,16,0.05,256,0.005,sgd,60,0.05,0.3276,0.1797
640,4864,50,16,0.4,256,0.025,adam,120,0.0025,0.3276,0.0938
732,4864,50,48,0.4,256,0.025,adam,30,0.0025,0.3274,0.0983
109,3584,15,48,0.05,256,0.025,adam,30,0.05,0.3273,0.1745
439,4864,15,16,0.4,256,0.005,sgd,30,0.05,0.3269,0.1698
212,3584,50,16,0.05,256,0.025,sgd,60,0.0025,0.3269,0.1013
563,4864,15,48,0.4,768,0.005,sgd,120,0.05,0.3268,0.1815
290,3584,50,48,0.05,256,0.005,adam,60,0.0025,0.3265,0.1306
745,4864,50,48,0.4,768,0.005,adam,30,0.05,0.3265,0.1266
631,4864,50,16,0.4,256,0.005,sgd,30,0.05,0.3262,0.1184
246,3584,50,16,0.4,256,0.005,sgd,30,0.0025,0.3259,0.1144
535,4864,15,48,0.4,256,0.005,sgd,30,0.05,0.3257,0.1616
684,4864,50,48,0.05,256,0.025,adam,30,0.0025,0.3256,0.1036
729,4864,50,48,0.4,256,0.005,sgd,60,0.05,0.3255,0.1394
81,3584,15,16,0.4,768,0.005,sgd,60,0.05,0.3247,0.1581
695,4864,50,48,0.05,256,0.025,sgd,120,0.05,0.3246,0.1226
428,4864,15,16,0.05,768,0.025,sgd,60,0.0025,0.3245,0.1853
626,4864,50,16,0.4,256,0.005,adam,60,0.0025,0.3245,0.1193
676,4864,50,48,0.05,256,0.005,adam,120,0.0025,0.3242,0.1468
226,3584,50,16,0.05,768,0.005,sgd,120,0.0025,0.324,0.1679
621,4864,50,16,0.05,768,0.025,sgd,60,0.05,0.3236,0.0713
45,3584,15,16,0.05,768,0.025,sgd,60,0.05,0.3235,0.17
324,3584,50,48,0.05,768,0.025,adam,30,0.0025,0.3235,0.0849
690,4864,50,48,0.05,256,0.025,sgd,30,0.0025,0.3232,0.1104
211,3584,50,16,0.05,256,0.025,sgd,30,0.05,0.3232,0.0984
595,4864,50,16,0.05,256,0.025,sgd,30,0.05,0.3231,0.1248
286,3584,50,16,0.4,768,0.025,sgd,120,0.0025,0.3231,0.1053
370,3584,50,48,0.4,768,0.005,sgd,120,0.0025,0.3231,0.091
274,3584,50,16,0.4,768,0.005,sgd,120,0.0025,0.323,0.13
393,4864,15,16,0.05,256,0.005,sgd,60,0.05,0.3229,0.1854
687,4864,50,48,0.05,256,0.025,adam,60,0.05,0.3229,0.1
682,4864,50,48,0.05,256,0.005,sgd,120,0.0025,0.3228,0.1393
418,4864,15,16,0.05,768,0.005,sgd,120,0.0025,0.3227,0.1985
259,3584,50,16,0.4,256,0.025,sgd,30,0.05,0.3226,0.1023
752,4864,50,48,0.4,768,0.005,sgd,60,0.0025,0.3224,0.1371
371,3584,50,48,0.4,768,0.005,sgd,120,0.05,0.3223,0.0946
25,3584,15,16,0.05,768,0.005,adam,30,0.05,0.3222,0.1879
539,4864,15,48,0.4,256,0.005,sgd,120,0.05,0.3222,0.1631
402,4864,15,16,0.05,256,0.025,sgd,30,0.0025,0.3221,0.2176
582,4864,50,16,0.05,256,0.005,sgd,30,0.0025,0.3221,0.1633
459,4864,15,16,0.4,768,0.005,adam,60,0.05,0.322,0.1537
600,4864,50,16,0.05,768,0.005,adam,30,0.0025,0.3215,0.1512
155,3584,15,48,0.4,256,0.005,sgd,120,0.05,0.3209,0.155
499,4864,15,48,0.05,256,0.025,sgd,30,0.05,0.3209,0.1205
239,3584,50,16,0.05,768,0.025,sgd,120,0.05,0.3209,0.1152
662,4864,50,16,0.4,768,0.025,adam,60,0.0025,0.3207,0.0815
671,4864,50,16,0.4,768,0.025,sgd,120,0.05,0.3206,0.1546
549,4864,15,48,0.4,256,0.025,sgd,60,0.05,0.3205,0.2139
412,4864,15,16,0.05,768,0.005,adam,120,0.0025,0.3204,0.1863
707,4864,50,48,0.05,768,0.005,sgd,120,0.05,0.3203,0.1915
262,3584,50,16,0.4,256,0.025,sgd,120,0.0025,0.3201,0.105
748,4864,50,48,0.4,768,0.005,adam,120,0.0025,0.32,0.1161
241,3584,50,16,0.4,256,0.005,adam,30,0.05,0.32,0.1159
747,4864,50,48,0.4,768,0.005,adam,60,0.05,0.32,0.0954
97,3584,15,48,0.05,256,0.005,adam,30,0.05,0.3197,0.2223
