,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss
91,512,40,256,0.1,2048,0.05,sgd,45,0.05,0.6359,0.2098
503,1024,75,256,0.5,2048,0.005,adam,45,0.05,0.6359,0.1182
57,512,40,64,0.5,2048,0.05,sgd,40,0.05,0.6358,0.1572
138,512,75,64,0.1,512,0.05,sgd,45,0.01,0.6354,0.119
62,512,40,64,0.5,2048,0.05,adam,45,0.01,0.6353,0.1387
179,512,75,64,0.5,2048,0.005,sgd,45,0.05,0.635,0.1132
391,1024,75,64,0.1,512,0.005,adam,45,0.05,0.6348,0.1354
385,1024,75,64,0.1,512,0.005,sgd,40,0.05,0.6348,0.1209
474,1024,75,256,0.1,2048,0.05,sgd,45,0.01,0.6347,0.121
269,1024,40,64,0.1,512,0.05,adam,40,0.05,0.6343,0.2356
282,1024,40,64,0.1,2048,0.05,sgd,45,0.01,0.6343,0.2244
378,1024,40,256,0.5,2048,0.05,sgd,45,0.01,0.6343,0.2111
55,512,40,64,0.5,2048,0.005,adam,45,0.05,0.6341,0.1342
40,512,40,64,0.5,512,0.05,sgd,40,0.01,0.634,0.1708
377,1024,40,256,0.5,2048,0.05,sgd,40,0.05,0.6337,0.1439
324,1024,40,256,0.1,512,0.005,adam,40,0.01,0.6336,0.2234
441,1024,75,64,0.5,2048,0.05,sgd,40,0.05,0.6335,0.1044
414,1024,75,64,0.1,2048,0.05,adam,45,0.01,0.6334,0.1142
387,1024,75,64,0.1,512,0.005,sgd,45,0.05,0.6331,0.1138
342,1024,40,256,0.1,2048,0.005,adam,45,0.01,0.6326,0.2238
345,1024,40,256,0.1,2048,0.05,sgd,40,0.05,0.6325,0.1558
389,1024,75,64,0.1,512,0.005,adam,40,0.05,0.6325,0.1272
379,1024,40,256,0.5,2048,0.05,sgd,45,0.05,0.6324,0.1966
294,1024,40,64,0.5,512,0.005,adam,45,0.01,0.6323,0.1822
106,512,40,256,0.5,512,0.05,sgd,45,0.01,0.6323,0.1551
240,512,75,256,0.5,2048,0.005,sgd,40,0.01,0.6322,0.1089
347,1024,40,256,0.1,2048,0.05,sgd,45,0.05,0.6321,0.216
212,512,75,256,0.1,2048,0.005,adam,40,0.01,0.6321,0.133
120,512,40,256,0.5,2048,0.05,sgd,40,0.01,0.6319,0.1992
90,512,40,256,0.1,2048,0.05,sgd,45,0.01,0.6319,0.1709
407,1024,75,64,0.1,2048,0.005,adam,45,0.05,0.6318,0.1291
105,512,40,256,0.5,512,0.05,sgd,40,0.05,0.6317,0.1565
270,1024,40,64,0.1,512,0.05,adam,45,0.01,0.6317,0.1538
449,1024,75,256,0.1,512,0.005,sgd,40,0.05,0.6314,0.1335
376,1024,40,256,0.5,2048,0.05,sgd,40,0.01,0.6312,0.2351
195,512,75,256,0.1,512,0.005,sgd,45,0.05,0.6312,0.1377
478,1024,75,256,0.1,2048,0.05,adam,45,0.01,0.6311,0.112
475,1024,75,256,0.1,2048,0.05,sgd,45,0.05,0.631,0.1257
194,512,75,256,0.1,512,0.005,sgd,45,0.01,0.6307,0.1636
491,1024,75,256,0.5,512,0.05,sgd,45,0.05,0.6306,0.1337
277,1024,40,64,0.1,2048,0.005,adam,40,0.05,0.6304,0.1478
209,512,75,256,0.1,2048,0.005,sgd,40,0.05,0.6303,0.1431
226,512,75,256,0.5,512,0.005,sgd,45,0.01,0.6301,0.1108
59,512,40,64,0.5,2048,0.05,sgd,45,0.05,0.6299,0.1263
118,512,40,256,0.5,2048,0.005,adam,45,0.01,0.6296,0.1641
308,1024,40,64,0.5,2048,0.005,adam,40,0.01,0.6295,0.2198
262,1024,40,64,0.1,512,0.005,adam,45,0.01,0.6293,0.2287
140,512,75,64,0.1,512,0.05,adam,40,0.01,0.6293,0.1014
489,1024,75,256,0.5,512,0.05,sgd,40,0.05,0.6291,0.1228
403,1024,75,64,0.1,2048,0.005,sgd,45,0.05,0.629,0.1103
293,1024,40,64,0.5,512,0.005,adam,40,0.05,0.6289,0.1604
21,512,40,64,0.1,2048,0.005,adam,40,0.05,0.6289,0.144
283,1024,40,64,0.1,2048,0.05,sgd,45,0.05,0.6287,0.193
394,1024,75,64,0.1,512,0.05,sgd,45,0.01,0.6287,0.1378
147,512,75,64,0.1,2048,0.005,sgd,45,0.05,0.6283,0.1087
416,1024,75,64,0.5,512,0.005,sgd,40,0.01,0.6281,0.1168
213,512,75,256,0.1,2048,0.005,adam,40,0.05,0.6281,0.1142
298,1024,40,64,0.5,512,0.05,sgd,45,0.01,0.6279,0.1734
72,512,40,256,0.1,512,0.05,sgd,40,0.01,0.6278,0.2448
136,512,75,64,0.1,512,0.05,sgd,40,0.01,0.6277,0.1495
